DateTime,AddedIPs,RemovedIPs
1497262508,0,1
1497264909,71,0
1497265809,1,0
1497283808,0,1
1497287709,0,3
1497289209,0,1
1497289508,16,0
1497290412,0,1
1497291914,5,0
1497292809,16,0
1497295809,0,1
1497305110,0,1
1497306009,0,1
1497321909,0,1
1497331210,0,1
1497338409,0,1
1497342609,0,1
1497363310,0,1
1497364209,0,1
1497366008,0,2
1497368710,0,1
1497371409,24,1
1497372610,6,1
1497374715,0,1
1497378008,0,1
1497383708,0,1
1497384009,0,1
1497384908,0,2
1497385208,0,3
1497385510,0,4
1497385808,0,3
1497386109,0,2
1497386408,0,2
1497386709,0,1
1497387010,0,3
1497387309,0,2
1497387609,11,0
1497387909,0,1
1497392109,0,1
1497396015,12,0
1497398408,0,1
1497407115,0,1
1497408908,0,1
1497411308,0,1
1497414609,0,1
1497415808,0,2
1497416109,0,1
1497427209,0,1
1497430809,0,1
1497432609,0,1
1497439809,0,1
1497445210,0,1
1497457510,0,1
1497459609,0,1
1497467109,0,1
1497468908,0,1
1497470709,0,1
1497471309,0,1
1497471609,0,1
1497472508,0,1
1497481208,0,1
1497485109,0,1
1497513908,0,1
1497519908,0,1
1497531008,0,2
1497531608,0,1
1497534308,0,1
1497534608,27,0
1497535209,1,0
1497536108,15,0
1497536711,0,1
1497538809,6,0
1497542709,0,1
1497543910,0,1
1497558317,0,1
1497565209,21,0
1497567609,0,1
1497577808,0,1
1497585009,0,1
1497599409,0,1
1497609008,0,1
1497625509,0,1
1497625809,0,2
1497628209,0,1
1497630009,0,1
1497630909,0,1
1497640509,0,1
1497644409,0,1
1497654309,0,1
1497655516,0,1
1497658509,0,1
1497672909,0,1
1497673208,0,1
1497676208,0,1
1497681609,0,1
1497684609,0,1
1497684909,0,1
1497685209,0,1
1497690309,0,1
1497692109,0,1
1497719109,0,1
1497721809,0,2
1497732310,0,1
1497776409,0,1
1497789910,0,1
1497792010,0,1
1497792315,0,2
1497793509,0,1
1497794408,0,1
