DateTime,AddedIPs,RemovedIPs
1442493308,1,0
1444780507,1,0
1448155508,145,0
1449384308,184,0
1449384608,129,0
1449441907,164,0
1449822007,0,1
1450547109,0,1
1457728510,0,1
1460061011,1,0
1460705111,0,5
1462324506,0,1
1466391607,1,0
1466539510,0,1
1472572208,0,2
1486455909,1,0
1486656308,1,0
1486656610,5,0
1488097811,1,0
1489035908,1,0
1493369708,1,0
1493371209,4,0
1493371509,1,0
1493371809,3,0
1493382008,1,0
1493425208,2,0
1493425510,2,0
1493469008,1,0
1493473509,1,0
1493486708,1,0
1493554809,1,0
1493559908,1,0
1493580909,1,0
1493581808,1,0
1493583309,1,0
1493585709,1,0
1493588108,1,0
1493595308,1,0
1493661308,1,0
1493662208,1,0
1493662808,1,0
1493663108,3,0
1493670308,1,0
1493676609,1,0
1493676908,1,0
1493679008,1,0
1493682309,1,0
1493724009,5,0
1493724609,1,0
1493724908,1,0
1493725508,1,0
1493736909,1,0
1493737509,1,0
1493738408,3,0
1493940008,1,0
1494178508,2,0
1494179108,4,0
1494179408,2,0
1494179708,3,0
1494180308,1,0
1494180608,1,0
1494207908,1,0
1494266408,1,0
1494266710,2,0
1494267008,2,0
1494316208,0,1
1495219809,0,1
1496781609,1,0
1496961908,1,0
1497567609,1,0
1497769211,1,0
1498615209,1,0
1499827209,2,0
1500384310,1,0
