DateTime,AddedIPs,RemovedIPs
1490908208,1,0
1490909709,1,0
1490911809,1,0
1490912408,1,0
1490941510,1,0
1490948709,1,0
1490952009,1,0
1490952309,1,0
1490953808,1,0
1490959209,1,0
1490964908,1,0
1490969410,0,1
1490974809,1,0
1490980508,1,0
1490989209,0,1
1490991008,1,0
1490993109,1,0
1490996409,1,0
1491023408,1,0
1491036608,1,0
1491064508,1,0
1491067808,1,0
1491078009,1,0
1491081009,1,0
1491081610,1,0
1491095709,1,0
1491096009,1,0
1491096309,1,0
1491108609,1,0
1491108908,1,0
1491136209,0,1
1491150609,1,0
1491157808,1,0
1491165909,1,0
1491197410,1,0
1491217509,2,0
1491222608,0,1
1491224710,1,0
1491226809,0,1
1491231308,1,0
1491261909,1,0
1491272709,1,0
1491294009,0,2
1491300609,1,0
1491313809,1,0
1491314409,1,1
1491315909,2,0
1491378009,1,0
1491388509,1,0
1491398708,0,1
1491401408,0,1
1491403209,1,0
1491410709,0,1
1491411008,0,1
1491440108,1,0
1491509109,1,0
1491510609,1,0
1491530709,1,0
1491534009,0,1
1491557110,1,0
1491559809,1,0
1491562510,1,0
1491582608,1,0
1491635409,0,1
1491639309,0,1
1491793208,0,1
1491830708,0,1
1491836709,0,1
1491911110,0,1
1491915909,0,1
1491926708,0,1
1491932108,0,1
1491933908,0,1
1491939009,0,1
1492016109,0,1
1492027808,0,1
1492085109,0,1
1492087809,0,1
1492194008,0,1
1492443909,0,1
1492444208,0,1
1492473908,0,1
1492498509,0,1
1492740009,0,1
1492783509,0,1
1492807508,0,1
1492817709,0,1
1493001909,0,1
1493060409,0,1
1493588409,0,1
1493608208,1,0
1493610009,1,0
1493624409,1,0
1493627408,1,0
1493628308,1,0
1493629809,1,0
1493656808,1,0
1493658909,1,0
1493663708,1,0
1493665809,1,0
1493667008,1,0
1493678410,1,0
1493698808,1,0
1493706610,0,1
1493715612,1,0
1493733009,1,0
1493736909,1,0
1493737509,1,0
1493744109,1,0
1493747108,0,1
1493748908,1,0
1493754008,1,0
1493754909,0,1
1493755508,1,0
1493756409,1,0
1493774108,1,0
1493786409,1,0
1493801109,1,0
1493804409,1,0
1493807708,0,1
1493814609,1,0
1493826608,1,0
1493831408,1,0
1493835609,0,1
1493839208,1,0
1493862608,1,0
1493875808,1,0
1493883308,1,0
1493886009,1,0
1493898009,1,0
1493907908,1,0
1493908209,1,0
1493911209,0,1
1493916609,2,0
1493917509,1,0
1493928010,0,1
1493976609,0,1
1493979609,2,0
1493997909,1,0
1494005108,1,0
1494007808,0,1
1494014709,1,0
1494026408,1,0
1494072909,1,0
1494082209,0,1
1494096909,1,0
1494100508,0,1
1494114309,1,0
1494114609,1,0
1494123309,1,0
1494156309,3,0
1494159308,1,0
1494179708,1,0
1494180608,0,1
1494184208,1,0
1494187509,1,0
1494193509,1,0
1494228009,0,1
1494244808,0,1
1494299109,0,1
1494312309,0,1
1494422108,0,1
1494437708,0,1
1494438009,0,1
1494561609,0,1
1494820509,0,1
1494874210,0,1
1494912009,0,1
1495033810,0,1
1495095909,0,1
1495109109,0,1
1495140009,0,1
1495282209,0,1
1495409110,0,1
1495622108,0,1
1495764310,0,1
1495838109,0,1
1495908908,0,1
1496029508,1,0
1496029808,1,0
1496031308,1,0
1496036409,1,0
1496038809,1,0
1496044208,1,0
1496045408,1,0
1496060108,3,0
1496061309,2,0
1496064311,1,0
