DateTime,AddedIPs,RemovedIPs
1497378312,2,0
1497387609,0,1
1497391208,2,0
1497391508,57,0
1497392108,2,0
1497436508,0,1
1497451509,1,0
1497459008,0,1
1497493209,1,0
1497493513,2,0
1497516309,0,1
1497537310,0,1
1497541808,1,0
1497547808,0,1
1497551708,2,0
1497567609,1,1
1497567909,1,0
1497568508,1,0
1497570309,2,0
1497570609,4,0
1497571209,54,0
1497571509,58,0
1497571809,37,0
1497572714,50,0
1497573009,29,0
1497573308,37,0
1497573608,37,0
1497574209,48,0
1497574509,57,0
1497574808,90,0
1497575109,52,0
1497575408,80,0
1497575709,43,0
1497576310,30,0
1497576611,1,0
1497577808,23,0
1497578409,122,0
1497578709,64,0
1497579008,61,0
1497581408,10,0
1497581708,8,0
1497582609,4,0
1497583808,3,0
1497584409,1,0
1497585008,2,0
1497587409,0,1
1497615009,1,0
1497618008,51,0
1497619509,0,8
1497631209,32,0
1497633609,73,0
1497636909,8,0
1497637209,1,0
1497651308,4,0
1497703208,1,0
1497704408,1,0
1497704709,34,0
1497715809,0,1
1497720317,0,1
1497720609,12,0
1497720909,5,0
1497722409,2,0
1497722710,7,0
1497723008,1,0
1497723608,7,0
1497724508,29,0
1497724809,58,0
1497725108,3,0
1497725409,1,0
1497725708,1,0
1497726009,1,0
1497726309,1,0
1497726608,4,0
1497727208,6,0
1497727516,2,0
1497727810,1,0
1497729008,1,0
1497729608,1,0
1497729909,1,0
1497730209,3,0
1497730509,1,0
1497731116,2,0
1497731409,3,0
1497735308,2,0
1497735908,1,0
1497736208,1,0
1497736508,1,0
1497736808,1,0
1497738609,2,0
1497742211,8,0
1497742508,38,0
1497742808,51,0
1497743108,14,0
1497743708,4,0
1497744008,82,0
1497744308,4,0
1497745808,7,0
1497746109,77,0
1497746409,43,0
1497747308,33,0
1497747608,96,0
1497747908,86,0
1497748508,192,0
1497748809,83,0
1497749408,22,0
1497749709,1,0
1497753308,3,0
1497754208,8,0
1497756608,15,0
1497756909,41,0
1497757208,3,0
1497758109,34,0
1497758408,23,0
1497758709,20,0
1497759010,18,0
1497760808,14,0
1497774008,3,0
1497790811,1,0
1497796211,4,0
1497800409,7,0
1497800712,1,0
1497801009,4,0
1497801309,3,0
1497806411,3,0
1497820809,53,0
1497822608,3,0
1497824709,11,0
1497825609,134,0
1497825908,77,0
1497826208,60,0
1497827108,3,0
1497827408,1,0
1497828009,53,0
1497831009,40,0
1497831308,5,0
1497832210,70,0
1497832509,42,0
1497838209,2,0
1497838810,39,0
1497868209,1,0
1497868809,1,0
1497870310,2,0
1497875110,1,0
1497876910,1,0
1497877209,1,0
1497881410,1,0
1497893114,2,0
1497893410,13,0
1497894009,5,0
1497894609,2,0
1497905709,1,0
1497909609,1,0
1497912010,4,0
1497912609,30,0
1497912908,15,0
1497913209,10,0
1497915609,1,0
1497915909,5,0
1497918909,1,0
1497928209,2,0
1497928809,1,0
1497936609,1,0
1497937809,0,1
1497957609,2,0
1497958809,0,1
1497959109,2,0
1497959409,1,0
1497961811,1,0
1497962109,7,0
1497962408,54,0
1497963008,3,0
1497965709,1,0
1497968409,0,2
1497970508,10,0
1497972318,30,0
1497973808,51,1
1497974108,2,0
1497979515,1,0
1497982508,0,1
1497996909,5,0
1498000209,20,0
1498012208,0,1
1498032310,0,1
1498034710,1,0
1498056610,0,1
1498083308,12,0
1498083609,9,0
1498083915,30,0
1498142409,6,0
1498144809,4,0
1498145117,82,0
1498164308,36,0
1498164609,57,0
1498164909,2,0
1498165208,81,0
1498165508,33,0
1498167909,0,1
1498178408,3,0
1498178708,34,0
1498179308,122,0
1498179610,35,0
1498179909,30,0
1498180808,9,0
1498182009,1,0
1498186808,22,0
1498212909,3,0
1498213209,57,0
1498220409,0,1
1498221610,0,1
1498222809,0,1
1498224610,0,1
1498238109,63,0
1498241408,0,1
1498253710,37,0
1498254009,22,0
1498254610,14,0
1498254908,51,0
1498255209,3,0
1498256409,41,0
1498265709,16,0
1498269308,15,0
1498280108,0,1
1498292409,0,1
1498293609,0,1
1498305609,0,1
1498312808,29,0
1498337409,31,0
1498337709,59,1
1498338008,39,0
1498338308,2,0
1498338909,63,0
1498342208,27,0
1498349709,27,0
1498355708,2,0
1498359308,9,0
1498364710,1,0
1498365009,8,0
1498366209,5,0
1498366809,9,0
1498401609,0,1
1498410009,0,1
1498410908,0,1
1498415709,2,0
1498416008,1,0
1498417510,1,0
1498453208,0,1
1498459209,0,1
1498485309,0,1
1498490409,0,1
1498498209,67,0
1498498809,73,0
1498501809,23,0
1498504809,0,1
1498506608,0,1
1498509910,4,0
1498510209,22,0
1498510509,37,0
1498511410,3,0
1498515309,10,0
1498515910,20,0
1498516209,33,0
1498553111,0,1
1498553409,0,1
1498565109,2,0
1498569010,0,1
1498570209,0,1
1498570509,0,1
1498573209,0,1
1498625110,3,0
1498651209,1,0
1498651509,0,1
1498664711,25,0
1498665009,76,0
1498665309,30,0
1498678509,0,1
1498683609,0,1
1498685112,0,1
1498685409,0,4
1498695910,3,0
1498696208,1,0
1498697409,1,0
1498701309,0,1
1498715409,11,0
1498736710,0,1
1498773009,5,0
1498785916,1,0
1498786209,2,0
1498814109,0,1
1498829709,0,1
1498836310,1,0
1498836610,1,0
1498837510,7,0
1498838409,2,0
1498839009,3,0
1498859109,0,1
1498861515,0,1
1498865409,1,0
1498866010,1,0
1498868709,2,0
1498873209,1,0
1498886109,1,0
1498890009,1,0
1498905909,0,1
1498911911,0,1
1498992609,1,0
1498993210,1,0
1498999809,0,1
1499011812,1,0
1499013308,0,1
1499024409,0,1
1499041809,1,0
1499082009,0,1
1499096710,1,0
1499097009,1,0
1499097611,4,0
1499097909,4,0
1499110509,1,0
1499111109,4,0
1499112009,9,0
1499112309,1,0
1499112909,1,0
1499113511,2,0
1499113809,13,0
1499114109,2,0
1499115909,2,0
1499120717,3,0
1499127609,2,0
1499131509,1,0
1499137810,0,1
1499151909,4,0
1499152210,3,0
1499152509,17,0
1499152809,9,0
1499153116,13,0
1499153408,5,0
1499165409,0,1
1499174409,0,1
1499188209,0,1
1499196610,0,1
1499217610,0,1
1499220010,5,0
