DateTime,AddedIPs,RemovedIPs
1490595328,0,256
1490625002,512,0
1490628602,0,1024
1490645720,256,0
1490661928,0,256
1490704017,0,512
1490708731,0,256
1490710535,0,256
1490722005,256,0
1490733001,0,256
1490735717,0,256
1490740421,0,256
1490797676,0,2304
1490799601,0,256
1490802316,256,0
1490807719,0,256
1490997619,512,3840
1491027335,256,0
1491058267,768,0
1491111071,0,256
1491117325,256,0
1491144698,512,0
1491149722,256,256
1491154220,0,256
1491156920,256,0
1491197479,0,256
1491229838,0,256
1491234678,512,0
1491276632,256,0
1491313843,2048,0
1491327016,0,768
1491340506,0,256
1491350437,256,0
1491353431,256,0
1491370230,0,256
1491402603,0,256
1491413426,0,768
1491439914,256,0
1491442218,256,0
1491465011,512,0
1491474617,256,0
1491481819,256,0
1491496218,256,0
1491573039,1792,0
1491582624,256,0
1491634329,0,256
1491663075,0,512
1491745876,512,0
1491749471,0,768
1491753611,0,256
1491759015,0,256
1491764410,0,256
1491828629,768,0
1491834621,256,0
1491839470,0,1024
1491840906,0,256
1491847207,0,512
1491918701,0,768
1491922355,512,0
1491930906,0,256
1491943872,256,0
1492012812,256,0
1492036227,256,0
1492043426,0,256
1492047025,0,256
1492068627,0,256
1492079426,0,256
1492083026,0,256
1492091503,256,0
1492100105,0,256
1492109526,256,0
1492128905,0,256
1492176631,0,1792
1492177949,256,0
1492181522,0,256
1492185128,0,256
1492199548,256,0
1492221147,256,0
1492264329,1280,0
1492267934,256,0
1492275121,0,512
1492299027,256,0
1492303953,256,0
1492350731,768,512
1492365084,0,256
1492368701,256,0
1492379579,256,0
1492383169,256,0
1492432229,0,256
1492438506,0,256
1492476720,256,0
1492527105,0,512
1492530711,512,0
1492541476,256,0
1492554623,0,256
1492558228,256,0
1492561828,0,256
1492613477,256,0
1492617123,0,768
1492627936,256,0
1492647307,0,256
1492696378,0,256
1492707172,768,0
1492745429,256,0
1492781428,0,256
1492782690,1280,0
1492786355,256,0
1492789965,0,256
1492793590,256,0
1492803905,0,256
1492817425,0,256
1492847531,0,256
1492869147,0,1280
1492872800,512,0
1492883567,256,0
1492901590,0,256
1492955105,0,512
1492959240,512,0
1492962767,256,256
1492977143,256,0
1492984359,0,256
1492990224,256,0
1492991602,256,0
1493041507,0,512
1493041953,256,0
1493056340,256,0
1493070801,256,0
1493131973,512,0
1493134219,0,512
1493142744,0,256
1493164398,256,256
1493214749,768,0
1493217022,0,768
1493218402,256,0
1493220622,0,256
1493221971,256,0
1493294031,256,0
1493308376,1280,0
1493310621,0,256
1493319110,0,256
1493321416,0,256
1493391198,1280,0
1493393422,256,0
1493400623,0,768
1493407822,256,0
1493411424,256,0
1493476230,0,1024
1493477609,256,0
1493481226,0,256
1493493306,0,256
1493563506,0,256
1493566228,0,256
1493567575,256,0
1493571163,0,256
1493587823,0,256
1493646630,0,512
1493650812,512,0
1493653822,256,0
1493703026,0,256
1493740167,0,256
1493743747,256,0
1493751025,256,0
1493767824,0,256
1493819405,0,1536
1493824506,0,512
1493832621,0,256
1493868627,256,0
1493879426,0,256
1493898530,0,256
1493912947,768,512
1493919020,0,256
1493926220,0,256
1493927308,256,0
1493965830,256,0
1493992132,1024,0
1493994620,0,512
1494001818,256,0
1494048632,0,256
1494081907,0,512
1494086430,768,0
1494168600,512,0
1494172814,0,512
1494173706,0,256
1494176108,256,0
1494182707,0,256
1494253825,0,256
1494255833,512,0
1494259688,256,0
1494275422,256,0
1494282625,0,512
1494346523,512,0
1494347406,0,256
1494355506,0,256
1494374434,256,0
1494423238,0,512
1494430231,512,0
1494437456,256,0
1494442868,512,0
1494446991,512,0
1494451807,256,0
1494462662,256,0
1494466330,256,0
1494517507,0,256
1494518447,512,0
1494524707,0,256
1494525626,256,0
1494540094,0,256
1494550000,0,256
1494595827,0,1280
1494604863,256,0
1494633618,0,256
1494687629,768,0
1494691236,0,512
1494703845,256,0
1494769564,0,256
1494772220,0,512
1494783840,512,0
1494793822,256,0
1494797455,256,0
1494853224,512,0
1494861306,0,512
1494876461,256,0
1494880217,0,256
1494895021,256,0
1494950425,0,512
1494957628,256,0
1495008062,0,256
1495029622,768,0
1495032318,0,512
1495044021,256,0
1495067465,0,256
1495123236,0,1024
1495131306,0,512
1495135820,256,0
1495138506,0,256
1495143026,256,0
1495150226,0,256
1495209627,0,256
1495214256,0,256
1495224038,512,0
1495292428,0,256
1495306820,256,0
1495315056,256,0
1495382423,256,512
1495388049,256,0
1495393225,0,256
1495398612,0,256
1495458029,0,1024
1495497640,0,256
1495519232,0,256
1495548448,768,0
1495563306,0,512
1495647906,0,512
1495648826,256,0
1495652426,256,0
1495675008,256,0
1495682541,256,0
1495724115,1024,0
1495733421,256,0
1495735073,0,256
1495739706,0,256
1495746091,0,256
1495756834,256,0
1495814966,512,0
1495818381,0,256
1495821619,512,0
1495836906,0,256
1495844106,0,256
1495863024,0,256
1495897570,1536,0
1495901232,0,256
1495908422,256,0
1495911712,256,256
1495986307,0,256
1495987221,512,0
1496023225,256,0
1496044835,256,0
1496066759,256,0
1496074011,0,256
1496105513,0,256
1496153049,0,256
1496157306,256,0
1496158218,256,0
1496174134,256,0
1496238755,768,0
1496253611,0,256
1496271032,256,0
1496278813,0,256
1496327428,0,1536
1496331925,0,256
1496341819,1280,0
1496347231,0,256
1496411451,256,0
1496419215,0,256
1496425978,0,256
1496431819,256,0
1496440817,0,256
1496474106,0,256
1496478631,256,0
1496502010,0,512
1496505166,0,256
1496512422,256,0
1496515803,0,256
1496518216,0,256
1496519724,256,0
1496525418,0,256
1496584311,768,0
1496592010,0,512
1496599219,0,256
1496602210,256,0
1496613306,0,256
1496664011,0,256
1496670715,768,0
1496683823,256,0
1496703863,0,256
1496705425,256,0
1496760731,0,768
1496764340,256,0
1496776506,0,256
1496784618,0,256
1496789106,0,256
1496842229,0,256
1496847058,0,256
1496854240,0,256
1496871018,256,0
1496875507,0,256
1496899817,256,0
1496943906,0,768
1497016302,0,256
1497027160,0,256
1497072623,256,0
1497109978,1024,0
1497113403,256,0
1497117155,0,256
1497189103,0,256
1497191422,0,256
1497199892,1024,0
1497203516,256,0
1497207208,0,256
1497245423,0,256
1497271926,1280,0
1497274212,0,512
1497276007,256,0
1497281415,256,0
1497288617,0,256
1497290007,0,256
1497380051,512,0
1497382218,0,256
1497400220,256,0
1497457816,0,256
1497538391,1024,0
1497541903,0,256
1497544217,256,0
1497552900,512,0
1497574214,256,0
1497628452,512,0
1497630615,0,256
1497668359,256,0
1497677425,0,256
1497714709,768,512
1497720615,0,256
1497729279,256,0
1497736513,256,0
1497801167,768,0
1497804306,0,512
1497807020,0,256
1497814218,0,256
1497815638,256,0
1497828621,0,256
1497875421,0,768
1497878106,0,512
1497883982,256,0
1497963007,0,256
1497970404,512,0
1497972617,256,0
1497978009,0,256
1497984936,0,768
1497999614,0,512
1498013485,0,256
1498060441,256,0
1498062619,256,0
1498073420,0,256
1498103452,0,256
1498141822,0,512
1498147211,768,0
1498157697,256,512
1498168815,0,256
1498233136,768,512
1498236756,0,256
1498244073,0,256
1498318227,0,512
1498323174,1792,0
1498333850,0,256
1498348727,0,256
1498395954,512,0
1498404944,0,768
1498410907,256,0
1498418105,0,256
1498488307,0,256
1498489384,256,0
1498498221,256,0
1498501823,0,512
1498575034,0,768
1498577421,256,0
1498600330,256,0
1498650764,256,0
1498665289,0,256
1498675868,0,256
1498751702,0,768
1498755196,0,256
1498762524,0,256
1498773624,1024,0
1498775418,256,256
1498780702,256,0
1498787888,256,0
1498794707,256,0
1498838020,0,512
1498848795,256,256
1498856093,0,256
1498924189,256,0
1498926615,0,512
1498942336,256,0
1498996278,768,0
1499008505,0,256
1499011205,256,0
1499014812,0,256
1499026506,0,256
1499027421,256,0
1499031023,256,0
1499032655,0,256
1499039377,0,256
1499094020,0,512
1499100687,256,256
1499108105,256,0
1499117422,256,0
1499121018,0,256
1499179932,0,512
1499190654,512,0
1499194427,512,0
1499254221,0,256
1499258707,0,256
1499267707,0,256
1499275826,0,512
1499277623,1024,0
1499297096,0,256
1499364029,768,0
1499367630,256,0
1499377509,0,512
1499378431,256,0
1499384708,0,256
1499449505,0,256
1499452204,0,768
1499473817,0,256
1499500948,256,0
1499522475,256,0
1499526169,256,0
1499538619,256,0
1499600965,0,256
1499621418,0,256
1499629795,1024,0
1499631307,0,256
1499634905,0,256
1499683905,256,0
1499694831,512,0
1499699083,512,0
1499705511,256,512
1499711418,0,256
1499733020,0,256
1499741448,0,256
1499774416,512,0
1499795580,0,1024
1499800507,0,256
1499806494,0,256
1499821218,0,256
1499871621,0,256
1499874617,256,0
1499901306,0,256
1499964537,512,0
1499968816,0,256
1499972418,0,256
1499987705,0,256
1500054669,256,0
1500066037,0,512
1500078619,256,0
1500127217,0,512
1500138016,0,256
1500142504,0,256
1500186627,0,256
1500223793,768,0
1500234571,0,256
1500238243,256,0
1500248964,256,0
1500303086,0,768
1500306568,1024,0
1500330623,0,256
1500337821,256,0
1500375122,768,0
1500376507,0,512
1500384617,256,0
1500409828,256,0
