DateTime,Entries,UniqueIPs
1490625002,74,20736
1490628602,70,19712
1490645720,71,19968
1490661928,70,19712
1490704017,68,19200
1490708731,67,18944
1490710535,66,18688
1490722005,67,18944
1490733001,66,18688
1490735717,65,18432
1490740421,64,18176
1490797676,56,15872
1490799601,55,15616
1490802316,56,15872
1490807719,55,15616
1490997619,42,12288
1491027335,43,12544
1491058267,46,13312
1491111071,45,13056
1491117325,46,13312
1491144698,48,13824
1491149722,48,13824
1491154220,47,13568
1491156920,47,13824
1491197479,46,13568
1491229838,45,13312
1491234678,47,13824
1491276632,48,14080
1491313843,49,16128
1491327016,46,15360
1491340506,45,15104
1491350437,44,15360
1491353431,45,15616
1491370230,44,15360
1491402603,43,15104
1491413426,40,14336
1491439914,41,14592
1491442218,42,14848
1491465011,43,15360
1491474617,44,15616
1491481819,45,15872
1491496218,46,16128
1491573039,53,17920
1491582624,54,18176
1491634329,53,17920
1491663075,54,17408
1491745876,56,17920
1491749471,55,17152
1491753611,54,16896
1491759015,54,16640
1491764410,54,16384
1491828629,57,17152
1491834621,58,17408
1491839470,54,16384
1491840906,53,16128
1491847207,51,15616
1491918701,49,14848
1491922355,51,15360
1491930906,50,15104
1491943872,51,15360
1492012812,52,15616
1492036227,53,15872
1492043426,52,15616
1492047025,51,15360
1492068627,50,15104
1492079426,52,14848
1492083026,52,14592
1492091503,52,14848
1492100105,51,14592
1492109526,52,14848
1492128905,53,14592
1492176631,48,12800
1492177949,49,13056
1492181522,48,12800
1492185128,47,12544
1492199548,48,12800
1492221147,49,13056
1492264329,54,14336
1492267934,54,14592
1492275121,53,14080
1492299027,54,14336
1492303953,55,14592
1492350731,55,14848
1492365084,54,14592
1492368701,55,14848
1492379579,56,15104
1492383169,57,15360
1492432229,56,15104
1492438506,55,14848
1492476720,56,15104
1492527105,54,14592
1492530711,56,15104
1492541476,57,15360
1492554623,56,15104
1492558228,57,15360
1492561828,56,15104
1492613477,57,15360
1492617123,54,14592
1492627936,55,14848
1492647307,54,14592
1492696378,53,14336
1492707172,56,15104
1492745429,57,15360
1492781428,56,15104
1492782690,60,16384
1492786355,59,16640
1492789965,58,16384
1492793590,58,16640
1492803905,57,16384
1492817425,56,16128
1492847531,55,15872
1492869147,50,14592
1492872800,52,15104
1492883567,53,15360
1492901590,52,15104
1492955105,50,14592
1492959240,52,15104
1492962767,52,15104
1492977143,53,15360
1492984359,52,15104
1492990224,53,15360
1492991602,54,15616
1493041507,52,15104
1493041953,53,15360
1493056340,54,15616
1493070801,55,15872
1493131973,56,16384
1493134219,54,15872
1493142744,54,15616
1493164398,54,15616
1493214749,57,16384
1493217022,54,15616
1493218402,55,15872
1493220622,54,15616
1493221971,55,15872
1493294031,56,16128
1493308376,59,17408
1493310621,58,17152
1493319110,57,16896
1493321416,56,16640
1493391198,58,17920
1493393422,59,18176
1493400623,59,17408
