DateTime,AddedIPs,RemovedIPs
1496663763,3,2
1496671443,2,1
1496679123,60,72
1496686803,4,4
1496694484,1,1
1496698322,3,2
1496706004,1,0
1496713682,52,60
1496721363,6,7
1496729044,7,7
1496736724,2,2
1496744403,1,0
1496752083,1,2
1496759763,1,1
1496767443,2,2
1496771284,3,5
1496779218,7,6
1496787123,3,3
1496795043,80,68
1496802722,41,43
1496810404,2,2
1496818082,5,4
1496825764,5,5
1496829604,6,5
1496837283,2,2
1496844962,2,1
1496852883,2,1
1496860563,0,1
1496868242,5,5
1496876164,4,3
1496883843,3,4
1496887682,25,30
1496895363,2,2
1496903042,5,6
1496918402,3,3
1496926082,3,3
1496933764,3,2
1496941443,3,4
1496945284,2,2
1496952961,3,3
1496960644,3,1
1496968322,3,3
1496976003,21,22
1496983922,0,1
1496991603,5,5
1497006962,2,2
1497010815,2,2
1497018483,4,4
1497033843,59,71
1497041763,1,1
1497049442,2,2
1497057122,27,30
1497064802,7,5
1497072483,5,6
1497076322,2,4
1497084003,2,1
1497091682,2,1
1497099363,2,2
1497107284,2,2
1497130803,3,3
1497138482,6,5
1497142323,72,59
1497150005,3,3
1497157682,20,29
1497165362,28,32
1497173043,8,8
1497180723,5,6
1497188403,1,2
1497196082,1,2
1497203771,1,1
1497207604,3,4
1497223204,2,2
1497231123,34,35
1497238804,5,5
1497246482,5,5
1497254164,4,5
1497262085,6,4
1497265923,6,7
1497273603,4,2
1497281282,2,2
1497288962,3,3
1497296643,4,4
1497304323,4,2
1497312007,3,3
1497315842,18,20
1497323523,8,6
1497331203,2,1
1497338885,4,2
1497346563,3,2
1497354243,5,5
1497361922,3,3
1497369843,0,1
1497373686,2,2
1497381363,2,1
1497389044,1,2
1497396722,3,3
1497404404,21,26
1497412082,3,2
1497419763,3,2
1497427443,1,1
1497435123,1,1
1497438966,4,2
1497446644,2,3
1497454322,2,2
1497470164,2,1
1497477843,2,1
1497485524,6,7
1497493202,20,25
1497500883,2,2
1497508562,4,3
1497516243,1,1
1497520082,6,5
1497527764,0,1
1497535443,2,3
1497543123,3,4
1497558484,4,4
1497566162,2,2
1497574082,3,3
1497581763,24,26
1497589443,2,2
1497593282,2,3
1497601202,4,4
1497608882,3,3
1497616562,1,1
1497624243,1,0
1497631923,2,2
1497639613,1,1
1497643444,2,2
1497651363,4,3
1497659043,2,1
1497666722,22,26
1497674406,3,1
1497682082,0,1
1497689763,3,2
1497697443,2,2
1497701283,2,3
1497708962,2,2
1497716643,2,1
1497724323,2,1
1497732003,3,3
1497739682,4,4
1497747364,1,1
1497755284,16,16
1497763203,4,4
1497767044,3,3
1497774722,5,3
1497782403,5,4
1497790083,3,2
1497797764,2,2
1497805443,4,4
1497813124,5,3
1497821284,4,5
1497825124,3,3
1497833043,22,19
1497840723,3,2
1497848403,4,4
1497856324,2,2
1497864003,3,3
1497871683,1,1
1497879363,2,2
1497883207,3,1
1497890882,2,2
1497898807,1,2
1497907202,3,2
1497914883,3,3
1497922563,23,23
1497930243,4,3
1497937923,3,3
1497941763,3,4
1497949443,1,1
1497957123,4,3
1497964802,7,6
1497972483,4,3
1497987843,3,2
1497995522,3,4
1498003208,6,7
1498007283,18,19
1498014964,6,5
1498022643,3,3
1498030323,6,4
1498038002,4,4
1498045683,4,3
1498053364,2,2
1498061043,1,2
1498064883,3,2
1498072563,0,1
1498080244,4,4
1498087923,3,3
1498095603,16,14
1498103282,5,5
1498110963,1,0
1498118643,14,12
1498126323,1,1
1498130162,4,3
1498138084,1,1
1498145763,0,2
1498153442,3,6
1498161122,3,2
1498168805,1,1
1498176963,2,0
1498184884,25,26
1498192564,2,0
1498200483,1,1
1498208163,2,3
1498212009,5,4
1498219922,4,5
1498227603,4,3
1498235284,2,2
1498242962,2,2
1498250644,2,2
1498258322,1,1
1498266244,1,1
1498270083,22,26
1498277762,3,2
1498285684,2,2
1498293362,2,2
1498309212,4,3
1498313043,2,3
1498320723,4,4
1498328403,4,3
1498336571,4,4
1498344242,1,1
1498351923,0,1
1498359604,26,24
1498363444,3,2
1498371123,1,1
1498378802,2,2
1498386483,2,2
1498394163,4,3
1498402083,5,5
1498409763,4,4
1498417442,2,4
1498425362,1,2
1498429208,1,1
1498436882,3,3
1498444562,29,24
1498452243,5,4
1498459924,5,6
1498467606,1,1
1498475282,3,3
1498483202,0,1
1498487043,2,2
1498495204,1,1
1498503610,1,1
1498512243,3,5
1498516083,1,2
1498524003,28,24
1498531683,2,1
1498539364,5,5
1498562403,3,3
1498570083,6,6
1498577762,3,3
1498581604,3,3
1498589283,1,2
1498597207,4,4
1498604883,4,2
1498612803,26,25
1498620723,7,7
1498628402,4,4
1498636083,2,3
1498639922,3,3
1498647604,3,3
1498655282,3,1
1498662964,2,1
1498670643,1,2
1498678323,5,4
1498686003,1,0
1498693922,2,2
1498697763,27,31
1498705443,1,1
1498713124,1,1
1498720803,3,3
1498728723,1,2
1498736402,1,2
1498744082,1,1
1498751764,1,2
1498763283,1,1
1498770962,1,1
1498778644,1,1
1498786563,21,20
1498794242,9,11
1498801922,3,1
1498809844,3,4
1498813683,3,3
1498821603,2,1
1498829523,1,1
1498837204,3,4
1498844884,1,0
1498852563,1,1
1498860243,4,3
1498864083,2,2
1498871763,25,29
1498879444,2,2
1498887362,1,1
1498895043,3,3
1498902722,1,1
1498910410,4,4
1498918083,4,4
1498921922,1,1
1498929843,2,1
1498937522,5,5
1498945203,1,1
1498952882,1,1
1498960565,26,25
1498968243,2,2
1498979763,1,1
1498987444,2,2
1498995122,6,5
1499002804,2,2
1499010482,5,6
1499018164,7,5
1499026083,2,2
1499034250,3,2
1499041924,4,4
1499045762,23,26
1499053443,4,5
1499061122,2,1
1499068840,2,2
1499076723,3,4
1499084413,1,2
1499092083,1,1
1499099763,0,1
1499107443,1,2
1499111523,1,1
1499119213,0,1
1499126884,2,1
1499134563,15,18
1499142243,4,3
1499149923,5,4
1499157843,6,4
1499165523,1,1
1499173212,5,5
1499177283,1,1
1499184963,3,2
1499192883,2,2
1499200565,2,2
1499216163,4,5
1499224083,26,24
1499228191,4,3
1499243763,5,4
1499251442,2,2
1499259363,4,3
