DateTime,AddedIPs,RemovedIPs
1437021011,69,97
1437107407,43,56
1437366606,75,168
1437453007,59,65
1437539406,43,68
1437625808,38,74
1437712206,39,62
1437971407,106,165
1438057806,59,36
1438144207,43,42
1438230605,31,44
1438317006,49,38
1438489806,129,63
1438576208,62,56
1438662606,64,53
1438749006,37,49
1438921806,133,75
1439181009,189,114
1439267406,50,34
1439353809,61,31
1439440207,74,52
1439526607,47,47
1439785809,152,111
1439872208,63,35
1439958607,71,27
1440045006,58,39
1440131407,40,37
1440390606,116,130
1440477009,52,37
1440563406,54,45
1440649807,53,59
1440736206,42,47
1440995407,141,142
1441081807,36,65
1441168208,40,61
1441254607,39,47
1441341008,106,30
1441686619,199,233
1441773009,38,48
1441859407,51,37
1441945813,73,67
1442032207,44,55
1442205009,87,93
1442291419,33,51
1442377808,47,44
1442550611,84,113
1442723415,70,95
1442809807,42,43
1442896211,33,35
1442982607,38,43
1443069008,31,48
1443155410,32,63
1443414608,126,174
1443501008,38,45
1443587407,26,20
1443673809,30,38
1443760207,25,38
1444019409,98,212
1444105806,24,61
1444192208,39,52
1444278606,35,35
1444365007,26,41
1444624206,103,170
1444710605,33,41
1444797010,44,30
1444883412,26,21
1444969805,29,49
1445056208,56,51
1445229007,79,69
1445315405,31,40
1445401809,36,45
1445488208,32,35
1445574610,43,47
1445747407,62,93
1445833806,31,45
1445920205,50,37
1446006609,52,41
1446093005,35,57
1446179409,39,33
1446265806,49,39
1446442206,79,59
1446528610,34,45
1446615011,37,37
1446701409,47,23
1446787809,34,37
1447047008,109,99
1447133408,24,39
1447219805,41,37
1447306206,36,42
1447392605,31,30
1447651807,96,89
1447738206,33,53
1447824606,40,34
1447911007,28,35
1447997405,31,36
1448256605,135,98
1448343006,39,40
1448515805,81,60
1448861407,138,148
1448947805,38,39
1449034209,41,40
1449120606,40,37
1449207007,30,32
1449379805,61,85
1449466209,37,36
1449552606,30,30
1449639005,28,42
1449725406,47,22
1449811806,44,40
1450071006,102,106
1450243811,82,77
1450330206,34,41
1450416606,41,39
1450675808,87,108
1450762207,26,42
1450848608,36,53
1450935008,34,36
1451280607,147,141
1451367007,32,39
1451453407,34,35
1451626208,55,77
1451885405,111,91
1451971809,31,30
1452058207,34,46
1452144607,35,31
1452231005,38,34
1452403809,76,88
1452490212,48,30
1452576610,38,41
1452749408,75,67
1452835807,38,39
1453008610,70,62
1453095008,47,28
1453181409,27,21
1453267811,38,34
1453354213,38,36
1453440615,30,32
1453699806,91,106
1453786205,42,31
1453872605,28,40
1453959005,23,31
1454045406,31,35
1454304605,119,88
1454391006,44,38
1454477408,37,33
1454563806,38,31
1454650206,31,38
1454909407,120,97
1454995808,40,48
1455082210,52,28
1455168608,60,36
1455255009,48,33
1455341406,48,45
1455514210,69,79
1455600606,41,23
1455687008,34,45
1455773405,39,28
1455859806,43,41
1456032606,78,69
1456119008,40,35
1456205407,32,29
1456291806,30,22
1456378209,31,36
1456464606,27,39
1456637408,70,64
1456723808,39,32
1456810208,32,27
1456896606,30,42
1456983006,25,45
1457069406,40,36
1457242206,69,74
1457328606,37,29
1457415006,31,33
1457501406,67,48
1457587809,38,38
1457674206,46,48
1457760606,37,59
1457929809,115,82
1458016210,38,41
1458102606,26,37
1458189011,30,33
1458275406,51,42
1458361807,17,47
1458534606,74,78
1458621006,38,41
1458707408,54,37
1458793805,48,34
1458880207,33,34
1459053006,67,61
1459139406,30,37
1459225806,45,49
1459312208,45,41
1459398608,42,35
1459485006,41,23
1459657805,61,67
1459744206,42,36
1459830606,23,46
1459917007,38,27
1460003407,37,38
1460089806,28,59
1460435407,134,166
1460521806,27,54
1460608207,30,37
1460694606,28,39
1460953808,121,107
1461040206,41,35
1463504073,953,920
1463545813,35,38
1463632210,39,36
1463718608,37,35
1463977831,107,94
1464064219,42,37
1464150607,35,36
1464237011,39,40
1464323406,38,45
1464669006,135,167
1464755406,43,33
1464841808,52,23
1464928207,62,31
1465187408,113,132
1465273810,32,34
1465360210,36,26
1465446607,25,30
1465533007,50,39
1465619411,44,39
1465705807,25,27
1465792213,35,47
1465878606,31,39
1465965008,38,36
1466051410,52,43
1466137809,40,40
1466397007,112,115
1466483407,38,41
1466569817,53,36
1466656210,26,55
1466742612,44,37
1466915422,85,78
1467001807,32,40
1467088206,30,47
1467174625,33,27
1467261026,28,36
1467347418,36,45
1467693008,154,169
1467779406,34,35
1467865806,35,34
1467952206,39,34
1468211406,69,119
1468297822,29,30
1468384206,38,38
1468470607,31,35
1468557073,30,34
1468816209,76,117
1468902611,41,27
1468989006,40,42
1469075410,30,38
1469161806,30,42
1469421007,91,100
1469507407,28,48
1469593807,34,25
1469680211,41,32
1469766609,26,29
1470112207,130,138
1470198606,45,42
1470285007,58,48
1470371406,37,33
1470630606,93,107
1470717006,30,29
1470803409,17,23
1470889806,40,29
1470976207,47,36
1471235406,106,105
1471321806,42,22
1471408206,37,38
1471494609,58,42
1471581007,60,45
1471840210,187,96
1471926606,52,28
1472013013,53,29
1472099408,48,37
