DateTime,Entries,UniqueIPs
1438057810,6250,6250
1438144209,6150,6150
1438230610,6120,6120
1438317009,6140,6140
1438489809,6240,6240
1438576210,6080,6080
1438662610,6100,6100
1438749009,6170,6170
1438921810,6210,6210
1438921810,6210,6210
1438921810,6210,6210
1438921810,6210,6210
1438921810,6210,6210
1439181009,6200,6200
1439267410,6190,6190
1439353809,6080,6080
1439440210,6140,6140
1439526610,6170,6170
1439526610,6170,6170
1439785810,6150,6150
1439872209,6010,6010
1439958610,6120,6120
1440045010,6010,6010
1440045010,6010,6010
1440131410,6050,6050
1440390609,6040,6040
1440477009,6150,6150
1440563410,6150,6150
1440563410,6150,6150
1440649810,6040,6040
1440736209,6140,6140
1440995409,6130,6130
1441081810,6100,6100
1441168210,6260,6260
1441254609,6270,6270
1441341010,6300,6300
1441686617,6160,6160
1441773011,6250,6250
1441859411,6220,6220
1441945816,6220,6220
1442032209,6130,6130
1442205010,6140,6140
1442291418,6400,6400
1442377810,6290,6290
1442550613,6230,6230
1442723410,6280,6280
1442809809,6360,6360
1442896211,6220,6220
1442982611,6250,6250
1443069009,6240,6240
1443155409,6260,6260
1443414609,6320,6320
1443501008,6300,6300
1443587408,6330,6330
1443673808,6360,6360
1443760208,6400,6400
1444019408,6440,6440
1444105807,6390,6390
1444192213,6300,6300
1444278608,6320,6320
1444365011,6300,6300
1444624208,6250,6250
1444710609,6270,6270
1444797012,6260,6260
1444883408,6240,6240
1444969808,6260,6260
1445056207,6250,6250
1445229008,6270,6270
1445315407,6270,6270
1445401808,6290,6290
1445488207,6300,6300
1445574608,6300,6300
1445747408,6330,6330
1445833808,6350,6350
1445920208,6360,6360
1446006608,6360,6360
1446093007,6360,6360
1446179408,6320,6320
1446265902,6510,6510
1446442208,6620,6620
1446528608,6470,6470
1446615015,6470,6470
1446701410,6450,6450
1446787808,6440,6440
1447047007,6460,6460
1447133412,6460,6460
1447219812,6490,6490
1447306212,6540,6540
1447392609,6460,6460
1447651810,6460,6460
1447738208,6460,6460
1447824610,6490,6490
1447911009,6520,6520
1447997409,6540,6540
1448256609,6520,6520
1448343009,6500,6500
1448515810,6500,6500
1448861409,6480,6480
1448947810,6580,6580
1449034209,6650,6650
1449120608,6610,6610
1449207008,6680,6680
1449379809,6680,6680
1449466211,6670,6670
1449552608,6730,6730
1449639008,6740,6740
1449725408,6740,6740
1449811808,6760,6760
1450071009,6730,6730
1450243810,6750,6750
1450330208,6730,6730
1450416608,6750,6750
1450675808,6750,6750
1450762210,6750,6750
1450848608,6720,6720
1450935009,6680,6680
1451280609,6650,6650
1451367009,6690,6690
1451453410,6700,6700
1451626208,6750,6750
1451885409,6870,6870
1451971808,6920,6920
1452058210,6910,6910
1452144608,6890,6890
1452231007,6980,6980
1452403809,7080,7080
1452490210,6890,6890
1452576608,6900,6900
1452749409,6910,6910
1452835808,6900,6900
1453008609,6890,6890
1453095009,6880,6880
1453181409,6930,6930
1453267809,6940,6940
1453354209,6950,6950
1453440611,6910,6910
1453699811,7030,7030
1453786213,6880,6880
1453872621,6890,6890
1453959022,6910,6910
1454045425,6880,6880
1454304632,6920,6920
1454391032,7010,7010
1454477417,7020,7020
1454563818,7090,7090
1454650227,7080,7080
1454909416,7040,7040
1454995814,7050,7050
1455082214,7010,7010
1455168616,7010,7010
1455255016,6990,6990
1455341412,6990,6990
1455514216,6970,6970
1455600636,6970,6970
1455687042,7010,7010
1455773426,6990,6990
1455859825,6990,6990
1456032613,6970,6970
1456119013,6960,6960
1456205413,6980,6980
1456291811,6960,6960
1456378210,6970,6970
1456464617,6950,6950
1456637407,6910,6910
1456723808,6890,6890
1456810211,6970,6970
1456896614,7020,7020
1456983009,7010,7010
1457069408,7030,7030
1457242210,6980,6980
1457328610,6980,6980
1457415012,7040,7040
1457501415,6970,6970
1457587813,6950,6950
1457674211,6920,6920
1457760611,6930,6930
1457929817,6860,6860
1458016212,6910,6910
1458102612,6900,6900
1458189014,6920,6920
1458275413,6910,6910
1458361816,6940,6940
1458534615,6910,6910
1458621016,6920,6920
1458707416,6930,6930
1458793813,6900,6900
1458880214,6960,6960
1459053013,6890,6890
1459139418,6910,6910
1459225814,6870,6870
1459312215,6880,6880
1459398623,6860,6860
1459485007,6960,6960
1459657809,6980,6980
1459744213,6980,6980
