DateTime,Entries,UniqueIPs
1500319232,35277,38216
1500319469,35276,38214
1500320181,35344,38306
1500321152,35463,38433
1500322103,35485,38440
1500322562,35512,38468
1500323051,35590,38558
1500323312,35598,38565
1500324013,35550,38493
1500324981,35792,38784
1500325266,35792,38784
1500325957,35759,38742
1500326162,35778,38762
1500326913,35990,39007
1500327134,35990,39007
1500327866,35894,38893
1500328905,36019,38960
1500329309,36017,38958
1500330229,36200,39162
1500331228,36092,39069
1500332192,36115,39089
1500333172,35980,38895
1500333362,36022,38939
1500334107,36017,38930
1500334589,36028,38940
1500335073,35848,38734
1500336089,35853,38755
1500337004,35770,38654
1500337955,35093,37986
1500338934,35130,38009
1500339875,35335,38226
1500340832,35562,38475
1500341810,35264,38144
1500342270,35279,38160
1500342744,35560,38470
1500343703,35598,38516
1500344162,35635,38556
1500344662,35674,38610
1500345639,35455,38372
1500346591,35706,38676
1500347571,35547,38497
1500347762,35592,38543
1500348508,35772,38742
1500349466,35780,38772
1500350479,35835,38825
1500351386,35802,38777
1500352360,35766,38729
1500353316,35906,38891
1500354289,35775,38746
1500355238,35969,38963
1500356204,35764,38737
1500357154,35945,38942
1500358118,35673,38654
1500358562,35750,38735
1500359064,35824,38824
1500360049,35653,38620
1500360984,35852,38842
1500361968,35664,38635
1500362162,35751,38729
1500362911,35912,38911
1500363875,35627,38607
1500364890,35766,38776
1500365784,35766,38777
1500366036,35612,38608
1500366987,35521,38401
1500367699,35518,38398
1500367954,35641,38532
1500368905,35734,38643
1500369635,35791,38701
1500369857,35834,38716
1500370819,35832,38722
1500371544,35825,38717
1500371792,35799,38646
1500372747,35770,38643
1500372961,35850,38724
1500373454,35849,38723
1500373709,35737,38571
1500374671,35833,38682
1500375380,35836,38685
1500375683,35913,38764
1500376849,35852,38696
1500377321,35857,38701
1500377796,35822,38649
1500378745,35960,38816
1500379320,35965,38820
1500379702,35971,38831
1500380162,36056,38919
1500380656,36009,38873
1500381158,36007,38872
1500381634,36041,38890
1500382596,35992,38832
1500383073,35996,38836
1500383551,35935,38759
1500383762,36016,38843
1500384518,36037,38860
1500384999,36038,38859
1500385465,36019,38848
1500386505,36201,39040
1500386924,36202,39041
1500387616,36311,39143
1500388591,36157,38934
1500388831,36161,38938
1500389544,36367,39169
1500390492,36360,39169
1500390761,36364,39173
1500390962,36441,39255
1500391470,36386,39199
1500392435,36232,39024
1500392649,36239,39030
1500393391,36430,39261
1500394361,36198,39026
1500394850,36284,39113
1500395307,36496,39348
1500396264,36552,39407
1500396743,36557,39412
1500397332,36388,39213
1500398432,36442,39276
1500398665,36445,39278
1500399383,36600,39442
1500400340,36633,39473
1500400582,36636,39476
1500401292,36595,39431
1500402285,36672,39504
1500403263,36674,39498
1500404185,36657,39482
1500405169,36604,39417
1500405362,36652,39465
1500406106,36628,39424
1500407080,36571,39358
1500408118,36633,39419
1500408989,36636,39422
1500409231,36769,39567
1500410186,36865,39668
1500410900,36868,39671
1500411154,36797,39588
1500412110,36750,39527
1500412829,36791,39568
1500413065,36800,39596
1500414048,36784,39564
1500414740,36790,39569
1500414990,36887,39669
1500415951,36803,39581
1500416162,36900,39678
1500416650,36905,39683
1500416921,37011,39811
1500417862,37107,39926
1500418571,37112,39931
1500418915,37309,40166
1500420042,37460,40332
1500420522,37464,40337
1500421008,37566,40448
1500421946,37567,40453
1500422525,37569,40455
1500422940,37570,40453
1500423392,37546,40429
1500423861,36494,39354
1500424351,36494,39354
1500424829,36421,39267
1500425807,36374,39225
1500426282,36373,39224
1500426761,36266,39095
1500427229,36301,39133
1500427711,36186,39021
1500428202,36189,39024
1500428683,36008,38800
1500429719,35996,38777
1500430124,35997,38778
1500430829,35990,38766
1500431306,35961,38738
1500431825,35998,38766
1500432284,35999,38766
1500432743,35962,38715
1500433704,35912,38658
1500434450,35944,38691
1500434666,35967,38719
1500435636,35965,38724
1500436344,35970,38729
1500436584,35959,38706
1500437579,36012,38772
1500437762,36050,38810
1500438257,36050,38810
1500438515,36004,38749
1500439461,35956,38682
1500440186,35958,38684
1500440507,35998,38734
1500441417,35957,38684
1500442104,36005,38734
1500442358,36066,38813
1500443305,35994,38742
1500444137,36000,38749
1500444522,35847,38573
1500444962,35941,38671
1500445462,36175,38950
1500445960,36173,38948
1500446439,36177,38957
1500447404,36042,38788
1500447883,36039,38785
1500448354,36163,38917
1500448562,36244,39000
1500449316,36111,38855
1500449795,36110,38854
1500450272,36213,38971
1500451293,36106,38827
1500451738,36106,38826
1500452211,36270,39037
1500453155,36386,39190
1500453626,36388,39192
1500454130,36371,39185
1500455083,36455,39284
1500455550,36458,39286
1500456038,36497,39309
1500457004,36570,39406
1500457461,36573,39409
1500457943,36520,39347
1500458923,36583,39428
1500459409,36586,39431
1500459869,36753,39589
1500460829,36748,39590
1500461584,36748,39590
1500461811,36777,39605
1500462750,36677,39509
1500462962,36744,39578
1500463715,36841,39701
1500464676,36741,39591
1500465379,36737,39589
1500465716,36823,39702
1500466614,36828,39707
1500467119,36880,39728
1500467563,36886,39735
1500468034,36990,39865
1500468521,36985,39860
1500468997,37070,39984
1500469499,37081,39996
1500469969,36878,39747
1500470460,36946,39816
1500470915,37113,40006
1500471386,37124,40017
1500471874,37059,39913
1500472371,37064,39918
1500472967,37127,39983
1500473316,37130,39986
1500474038,37313,40194
1500474543,37321,40202
1500475016,37294,40172
1500475480,37291,40169
1500475953,37264,40143
1500476625,37265,40144
1500476910,37253,40072
1500477404,37257,40076
1500477635,37313,40135
1500477861,37672,40538
1500478857,37442,40235
1500479323,37440,40233
1500479802,37530,40362
1500480763,37495,40331
1500481248,37541,40377
1500481712,37613,40443
1500482676,37500,40298
1500483163,37495,40293
1500483684,37724,40568
1500484593,37743,40593
1500485047,37823,40677
1500485560,37912,40779
1500486526,37945,40821
1500486994,37941,40817
1500487886,37841,40691
1500488163,37896,40747
1500488904,38084,40967
1500489865,38097,40979
1500490887,38268,41173
1500492038,38347,41261
1500492763,38350,41264
1500492992,38332,41252
1500493953,38367,41293
1500494928,38226,41102
1500495362,38262,41141
1500495866,38233,41092
1500496845,38124,40960
1500497792,38210,41055
1500498750,38155,41005
1500498963,38188,41038
1500499718,38336,41216
1500500684,38113,40968
1500501693,38261,41105
1500502601,38214,41031
1500503558,38337,41160
1500504528,38286,41074
1500505472,38230,41003
1500506444,38290,41065
1500507394,38448,41254
1500508364,38346,41153
1500509317,38431,41253
1500509762,37020,39797
1500510263,36971,39749
1500511235,36817,39572
1500512209,36971,39742
1500513156,37067,39850
1500513362,37096,39880
1500514113,36986,39755
1500515064,37163,39952
1500516133,36832,39584
1500517229,37036,39823
1500517953,37039,39825
1500518182,37249,40054
1500519144,36984,39746
1500519876,36982,39744
1500520093,37048,39815
1500520563,37076,39849
1500521061,36918,39636
1500521777,36922,39640
1500522031,36837,39537
1500522992,36556,39213
1500523696,36556,39213
1500523970,36627,39299
1500524163,36659,39331
1500524902,36551,39236
1500525621,36549,39234
1500525862,36419,39096
1500526912,36559,39254
1500527543,36558,39253
1500528126,36641,39355
1500529231,36662,39378
1500529721,36660,39376
1500530193,36779,39520
1500531162,36647,39375
1500531647,36721,39451
1500532105,36818,39574
1500533081,36666,39439
1500533557,36669,39442
1500534054,36789,39587
1500534989,36807,39627
1500535456,36895,39718
1500535945,37090,39908
1500536913,37035,39864
1500537377,37037,39866
1500537879,36993,39819
1500538853,37103,39924
1500539309,37103,39924
1500539800,37125,39941
1500540769,37191,40026
1500541318,37192,40028
1500541694,37186,40008
1500542163,37268,40092
1500542661,37317,40145
1500543168,37316,40144
1500543633,37283,40122
1500544610,37225,40049
1500545080,37225,40049
1500545548,37107,39899
1500545763,37191,39984
1500546517,37356,40176
1500547006,37357,40178
1500547467,37313,40140
1500548552,37396,40247
1500549621,37511,40386
1500550591,37544,40421
1500551541,37500,40386
1500552500,37457,40342
1500552747,37466,40351
1500552963,37553,40439
1500553454,37741,40661
1500554422,37750,40670
1500554668,37749,40669
1500555380,37767,40684
1500556356,37778,40698
1500556573,37779,40700
1500557311,37897,40808
1500558265,37942,40857
1500558500,37943,40858
1500559318,37926,40831
1500560435,37959,40832
1500561396,37997,40878
1500562356,38062,40962
1500563321,37874,40731
1500564268,38099,40967
1500565240,38175,41066
1500566190,38216,41115
1500567149,38225,41117
1500567362,38328,41221
1500568382,38198,41047
1500569312,38126,40955
1500570272,38114,40946
1500571239,38135,40951
1500572201,38139,40973
1500573151,38268,41119
1500574250,38404,41276
1500574563,38476,41352
1500575302,38487,41361
1500576315,38502,41353
1500577307,38652,41504
1500578194,38655,41508
1500578446,38834,41710
1500579393,38799,41669
1500580110,38801,41671
1500580344,39032,41930
1500581320,38989,41888
1500582017,39031,41930
1500582269,39069,41937
1500583228,39169,42052
1500583932,39173,42056
1500584201,39191,42081
1500585150,39358,42262
1500585363,39396,42302
1500585854,39396,42304
1500586110,39412,42312
1500587072,39523,42443
1500588094,39316,42208
1500589228,39396,42279
1500589692,39395,42279
1500590185,39372,42263
1500591133,39490,42402
1500591675,39493,42406
1500592110,39461,42371
1500592563,39494,42407
1500593063,39603,42524
1500593297,39586,42508
1500594034,39507,42424
1500594994,39716,42660
1500595715,39713,42657
1500595949,39581,42499
1500596163,38203,41069
1500596916,38346,41245
1500597614,38346,41246
1500597877,38299,41189
1500598916,38405,41307
1500599533,38414,41319
1500600029,38327,41218
1500600983,38351,41246
1500601454,38353,41248
1500601932,38432,41347
1500602912,38198,41105
1500603403,38196,41103
1500603862,38277,41190
1500604834,38226,41124
1500605320,38230,41128
1500605793,38394,41315
1500606762,38379,41299
1500607247,38427,41350
1500607712,38565,41515
1500608681,38624,41584
1500609172,38624,41584
1500609677,38706,41688
1500610597,38789,41794
1500611071,38844,41853
1500611559,38818,41830
1500612530,38680,41682
1500613478,38456,41401
1500614444,38681,41666
1500614919,38681,41666
1500615637,38284,41250
1500616593,38442,41440
1500616921,38444,41442
1500617557,38455,41449
1500617763,38550,41545
1500618502,38473,41468
1500618769,38472,41468
1500619480,38461,41460
1500620500,38102,41059
1500620915,38101,41058
1500621638,38018,40941
1500622595,37895,40795
1500622818,37900,40800
1500623543,37869,40777
1500624522,37696,40593
1500625013,37697,40595
1500625463,37798,40720
1500626426,37636,40540
1500626923,37643,40547
1500627405,37681,40612
1500628334,37543,40460
1500628830,37601,40521
1500629298,37657,40578
1500630269,37695,40612
1500630763,37695,40614
