DateTime,AddedIPs,RemovedIPs
1499967121,9,0
1499967722,2,3
1499968322,6,8
1499969003,5,4
1499969523,45,65
1499970121,2,1
1499970721,1,15
1499971321,2,0
1499971921,4,3
1499973122,7,45
1499973721,0,4
1499974321,8,0
1499975532,59,31
1499976145,6,1
1499977322,0,4
1499977922,29,19
1499978643,76,120
1499979122,1,13
1499979722,1,99
1499979803,0,6
1499980922,10,25
1499981521,2,14
1499981581,1,0
1499982483,56,4
1499983403,10,1
1499983922,0,8
1499985126,51,73
1499985362,0,132
1499985722,2,0
1499987003,13,33
1499987521,2,0
1499988121,6,59
1499988721,3,3
1499988962,79,0
1499989322,17,19
1499989921,30,11
1499990543,1,13
1499991121,1,0
1499991722,3,11
1499992321,4,0
1499992803,41,14
1499992923,4,6
1499993282,14,56
1499993522,1,6
1499994157,20,10
1499994722,4,2
1499995323,0,20
1499995922,3,1
1499996521,7,13
1499997122,2,66
1499997721,2,1
1499997803,1,1
1499998322,3,1
1499998564,49,0
1499999043,0,86
1499999522,6,0
1500000121,1,0
1500000483,73,0
1500000722,34,2
1500001322,10,36
1500001344,0,1
1500002522,14,3
1500003181,3,26
1500003722,3,5
1500004321,1,0
1500004812,65,90
1500005003,11,7
1500005521,1,0
1500006244,2,150
1500006722,4,8
1500008164,81,0
1500008603,8,12
1500009121,2,6
1500009722,2,0
1500010562,5,74
1500010922,2,23
1500011521,6,20
1500012009,80,0
1500012121,4,1
1500012722,0,1
1500012949,3,1
1500013322,7,9
1500013924,59,20
1500014522,3,0
1500015122,0,3
1500015744,19,18
1500016323,0,88
1500016922,4,13
1500017521,1,1
1500017763,33,1
1500018122,2,6
1500019417,8,44
1500020522,1,2
1500021122,11,3
1500021605,42,4
1500021721,3,0
1500022082,1,69
1500022944,2,23
1500023522,7,0
1500024121,7,7
1500024722,1,3
1500024781,1,2
1500025444,52,51
1500025921,11,0
1500026521,2,0
1500026604,0,2
1500027121,2,6
1500027848,1,69
1500028322,1,61
1500029285,46,5
1500030121,3,5
1500030204,0,3
1500030721,9,10
1500031321,3,50
1500031922,7,43
1500031981,26,15
1500032521,1,7
1500033123,51,0
1500033721,2,42
1500033804,0,3
1500034922,4,18
1500035521,3,0
1500035762,1,46
1500036121,1,0
1500036721,0,5
1500036965,43,0
1500037346,4,82
1500037921,2,0
1500038522,2,2
1500039122,3,6
1500039722,0,16
1500040321,2,12
1500040812,61,5
1500041006,7,35
1500041524,0,80
1500042121,3,15
1500042722,9,27
1500044644,53,56
1500045122,5,0
1500045722,1,4
1500046322,5,15
1500046803,38,4
1500046922,10,4
1500047522,4,0
