DateTime,AddedIPs,RemovedIPs
1456097710,2304,5120
1456184106,256,16384
1456270504,1280,31232
1456356907,1280,24576
1456443308,1280,39168
1456529705,1536,19712
1456616103,1024,26112
1456702503,512,9216
1456788904,512,22016
1456875304,0,21248
1456961703,131072,36608
1457048103,135424,57856
1457134504,131072,40448
1457220903,1024,27136
1457307305,1024,6144
1457393705,13824,12800
1457480113,256,23552
1457566505,0,30208
1457652904,6912,47104
1457739305,0,32512
1457825703,0,20736
1457912104,6400,2048
1457998506,2432,12544
1458084905,512,290304
1458171304,0,34560
1458257704,0,27136
1458344105,0,29696
1458430509,1536,93440
1458516904,0,10240
1458603304,0,18688
1458689705,1536,27648
1458776105,4608,26880
1458862510,2048,20480
1458948905,0,14336
1459035303,8448,7168
1459208105,2560,3328
1459294504,512,20224
1459380903,1792,52736
1459467306,512,43520
1459553706,4608,56320
1459640104,1024,52224
1459726505,256,0
1459812907,0,44032
1459899304,1024,27904
1459985704,1280,52736
1460072104,512,31232
1460158505,256,258816
1460244906,0,23808
1460331306,256,2048
1460417705,256,16384
1460504103,32,41472
1460590504,1280,47360
1460676903,1280,28160
1460763304,1024,22528
1460849706,0,22528
1460936103,768,4096
1461022504,256,14336
1461108903,512,56576
1461195306,5120,252160
1461281705,1024,49920
1461368106,1024,40704
1461454506,1280,14336
1461540906,2304,1024
1461627308,0,70400
1461713707,0,36608
1461800109,0,77312
1461886508,1280,1080064
1461972907,0,49664
1462059308,0,20480
1462145706,0,4096
1462232110,0,15360
1462318508,1024,39168
1462404905,1536,72192
1462491309,1024,27648
1462577708,0,30208
1462664107,0,21504
1462750511,1024,0
1462836912,0,50432
1462923309,0,42752
1463009708,3072,75264
1463096105,1536,33536
1463182506,256,65280
1463268907,4096,40960
1463355309,0,7168
1463441705,0,23296
1463528107,768,32512
1463614505,1024,46336
1463744103,0,68096
1463830503,256,73984
1463916905,768,14336
1464089703,0,29952
1464176103,1024,33792
1464262503,0,37376
1464348904,0,45568
1464435305,2304,35584
1464521703,1024,0
1464608106,0,30720
1464694507,53760,122368
1464780905,1280,43264
1464867306,2304,73984
1464953704,2048,39424
1465040105,4352,118016
1465126504,1024,6144
1465212906,0,30720
1465299314,0,175104
1465385706,30208,95232
1465472107,512,89600
1465558507,256,45568
1465995028,3328,86784
1466081404,4096,66048
1466167805,2560,29696
1466254205,0,46592
1466340604,1024,2816
1466513403,1024,24832
1466599804,1024,50944
1466686203,89856,26624
1466772604,1024,60160
1466859004,1024,36864
1466945404,15360,4096
1467118203,1024,20992
1467204603,3584,15104
1467219003,0,52224
1467737403,9216,103424
1467823803,30976,41728
1467910204,1280,14336
1467996604,0,27136
1468083004,256,29696
1468169404,0,12544
1468255803,0,34304
1468342203,0,10496
1468428615,2816,20480
1468515004,7424,30976
1468601403,1024,42752
1468687804,4096,20736
1468774204,4608,8192
1468860604,0,25856
1468947003,0,16384
1469033404,18432,28416
1469119806,3840,24576
1469206204,1024,31488
1469292604,0,20480
1469379004,3840,10496
1469465404,0,7424
1469551803,0,19968
1469638204,4864,32256
1469724604,1024,34048
1469811004,0,51712
1469897404,2048,20480
1469983803,0,4096
1470070204,0,8704
1470156604,0,24064
1470243003,768,66560
1470329406,0,94464
1470415803,1024,22784
1470502204,1024,22784
1470588603,1280,9216
1470675004,0,12800
1470761406,0,23808
1470847804,2048,32000
1470934204,11520,33024
1471020604,4864,31232
1471107003,1280,25600
1471193404,0,1280
1471279804,0,10496
1471366204,0,48640
1471452607,2048,37376
1471539003,1024,44544
1471625403,3584,30976
1471711804,0,25856
1471798203,1280,7168
1471884603,0,3072
1471971003,256,35840
1472057403,3328,30464
1472143803,1536,107520
1472230203,0,30720
1472316603,1792,51456
1472403004,0,5120
1472489404,2304,15104
1472575805,0,17408
1472662207,37120,546048
1472748604,0,26624
1472835004,16640,30720
1472921404,17408,83456
1473007804,512,2304
1473094203,0,30976
1473180604,16384,22784
1473267003,256,28160
1473353403,32768,22784
1473439804,16640,55040
1473526204,256,23552
1473612605,1024,5376
1473699004,0,6144
1473785404,0,27648
1473871803,3328,43008
1473958203,0,36864
1474044604,6656,35072
1474131003,768,23552
1474217405,256,10496
1474303804,0,12288
1474390204,0,44800
