DateTime,AddedIPs,RemovedIPs
1499368581,31,30
1499370530,30,25
1499372437,34,26
1499374351,17,20
1499376260,26,26
1499378189,27,32
1499380108,44,28
1499382184,9,27
1499384232,536,0
1499386144,34,16
1499388054,14,12
1499389978,17,10
1499391868,24,24
1499393793,24,19
1499395700,19,16
1499397670,23,15
1499399576,27,31
1499401714,23,15
1499403736,22,18
1499405579,30,40
1499409418,20,20
1499411347,34,47
1499415157,37,43
1499417065,13,27
1499419018,20,25
1499420948,12,27
1499422838,12,1212
1499424779,10,37
1499426673,608,0
1499428614,31,16
1499430781,27,46
1499432675,46,30
1499436545,28,38
1499438434,38,25
1499440385,136,38
1499442268,71,22
1499444205,20,14
1499446118,40,36
1499448045,26,30
1499449952,35,24
1499451855,9,17
1499454152,23,62
1499457880,16,14
1499459789,44,18
1499461728,53,36
1499463641,31,29
1499465972,21,38
1499467942,22,35
1499470124,521,0
1499472074,12,13
1499473949,14,29
1499475873,11,15
1499477792,9,11
1499479714,14,27
1499481625,33,49
1499485461,37,15
1499487379,14,28
1499489317,13,23
1499491240,8,32
1499493143,13,23
1499495049,6,13
1499496989,17,26
1499498913,10,25
1499500868,4,8
1499502744,10,17
1499504673,16,15
1499506589,23,46
1499508497,9,1528
1499510435,22,15
1499512354,529,0
1499514266,60,51
1499516181,28,25
1499518101,18,12
1499520029,21,23
1499521950,11,19
1499523863,21,26
1499525789,14,22
1499527702,11,29
1499529708,25,30
1499531545,28,24
1499533473,81,34
1499537308,28,47
1499539232,15,24
1499541149,14,12
1499543049,36,12
1499545245,14,15
1499547148,22,17
1499549060,23,20
1499550990,17,14
1499552890,25,13
1499554862,475,0
1499558932,80,66
1499562753,31,32
1499564665,9,15
1499566579,10,27
1499568499,33,13
1499570433,28,24
1499572336,40,26
1499574257,39,21
1499576183,55,24
1499578124,33,16
1499580072,22,21
1499581969,97,40
1499583873,31,16
1499585795,37,13
1499587724,16,13
1499591548,44,36
1499593457,25,10
1499595887,37,1048
1499597793,10,18
1499599719,340,0
1499601693,18,6
1499603560,28,17
1499605476,39,11
1499607394,133,29
1499611228,107,37
1499613159,55,12
1499615066,29,8
1499617002,76,9
1499618920,80,16
1499620861,20,9
1499622754,18,10
1499624658,26,14
1499626574,18,13
1499628511,14,14
1499630498,27,11
1499632368,106,11
1499634517,85,23
1499636420,39,13
1499638757,32,13
1499640729,15,21
1499642650,287,0
1499644578,50,10
1499646501,16,10
1499648463,13,8
1499650339,32,15
1499652274,39,29
1499656091,50,21
1499658019,49,9
1499659950,42,12
1499661861,19,5
1499663780,21,12
1499665705,32,11
1499667637,27,15
1499669549,19,10
1499671459,36,17
1499673388,61,13
1499675300,21,6
1499677265,14,13
1499679145,23,13
1499681069,34,1357
1499682981,13,15
1499686826,733,0
1499688762,33,27
1499690661,50,29
1499692597,32,11
1499694513,34,19
1499696426,32,11
1499698329,25,28
1499700257,68,31
1499702177,38,43
1499704117,39,27
1499706533,41,84
1499708446,21,33
1499710367,16,36
1499712276,13,44
1499714182,27,29
1499716126,30,48
1499718037,26,31
1499719955,28,55
1499721862,17,20
1499723784,34,27
1499725717,45,34
1499727763,43,13
1499729778,707,0
1499731692,57,70
1499733621,27,22
1499735543,17,10
1499737452,16,13
1499739410,31,14
1499741320,26,29
1499743245,30,25
1499745395,25,38
1499747305,23,33
1499749308,29,47
1499751147,15,14
1499753074,36,61
1499757437,41,71
1499760315,21,37
1499762950,35,78
1499766313,73,43
1499769432,43,1635
1499772556,645,0
1499775202,91,43
1499778808,48,37
1499782641,66,50
1499786238,52,56
1499788984,26,40
1499791649,53,57
1499793926,22,24
1499795776,22,30
1499799181,68,48
1499801113,51,30
1499802995,114,70
1499804909,20,26
1499806934,14,10
1499809488,19,22
1499812142,39,42
1499814156,41,16
1499815963,596,0
1499817874,30,12
1499819784,21,22
1499821712,39,21
1499823641,18,37
1499825805,21,12
1499827709,47,35
1499829890,14,20
1499831785,14,39
1499833708,17,32
1499835712,9,23
1499837564,24,23
1499839475,34,28
1499841398,115,38
1499844055,40,28
1499846572,16,58
1499848372,16,31
1499850293,21,9
1499852187,21,20
1499854133,52,28
1499856028,30,1417
1499857964,654,0
1499859868,55,50
1499861796,27,28
1499863715,26,18
1499866146,26,19
1499868297,39,44
1499870202,22,23
1499872098,12,39
1499874039,19,28
1499876218,12,36
1499878102,20,50
1499880042,35,31
1499881948,21,24
1499883866,20,16
1499885788,27,23
1499887708,17,20
1499889731,16,18
1499892050,34,36
1499894226,26,29
1499896122,26,58
