DateTime,Entries,UniqueIPs
1499580072,2351,2351
1499581969,2408,2408
1499583873,2423,2423
1499585795,2447,2447
1499587724,2450,2450
1499591548,2458,2458
1499593457,2473,2473
1499595887,1462,1462
1499597793,1454,1454
1499599719,1794,1794
1499601693,1806,1806
1499603560,1817,1817
1499605476,1845,1845
1499607394,1949,1949
1499611228,2019,2019
1499613159,2062,2062
1499615066,2083,2083
1499617002,2150,2150
1499618920,2214,2214
1499620861,2225,2225
1499622754,2233,2233
1499624658,2245,2245
1499626574,2250,2250
1499628511,2250,2250
1499630498,2266,2266
1499632368,2361,2361
1499634517,2423,2423
1499636420,2449,2449
1499638757,2468,2468
1499640729,2462,2462
1499642650,2749,2749
1499644578,2789,2789
1499646501,2795,2795
1499648463,2800,2800
1499650339,2817,2817
1499652274,2827,2827
1499656091,2856,2856
1499658019,2896,2896
1499659950,2926,2926
1499661861,2940,2940
1499663780,2949,2949
1499665705,2970,2970
1499667637,2982,2982
1499669549,2991,2991
1499671459,3010,3010
1499673388,3058,3058
1499675300,3073,3073
1499677265,3074,3074
1499679145,3084,3084
1499681069,1761,1761
1499682981,1759,1759
1499686826,2492,2492
1499688762,2498,2498
1499690661,2519,2519
1499692597,2540,2540
1499694513,2555,2555
1499696426,2576,2576
1499698329,2573,2573
1499700257,2610,2610
1499702177,2605,2605
1499704117,2617,2617
1499706533,2574,2574
1499708446,2562,2562
1499710367,2542,2542
1499712276,2511,2511
1499714182,2509,2509
1499716126,2491,2491
1499718037,2486,2486
1499719955,2459,2459
1499721862,2456,2456
1499723784,2463,2463
1499725717,2474,2474
1499727763,2504,2504
1499729778,3211,3211
1499731692,3198,3198
1499733621,3203,3203
1499735543,3210,3210
1499737452,3213,3213
1499739410,3230,3230
1499741320,3227,3227
1499743245,3232,3232
1499745395,3219,3219
1499747305,3209,3209
1499749308,3191,3191
1499751147,3192,3192
1499753074,3167,3167
1499757437,3137,3137
1499760315,3121,3121
1499762950,3078,3078
1499766313,3108,3108
1499769432,1516,1516
