DateTime,Entries,UniqueIPs
1493106512,18864,18864
1493121132,18876,18876
1493135812,18884,18884
1493150475,18890,18890
1493172772,18903,18903
1493187402,18909,18909
1493202022,18918,18918
1493216933,18924,18924
1493231544,18936,18936
1493246454,18944,18944
1493261058,18951,18951
1493275736,18960,18960
1493290336,18969,18969
1493305363,18976,18976
1493320120,18989,18989
1493334747,18998,18998
1493349399,19003,19003
1493364011,19010,19010
1493378674,19022,19022
1493393334,19034,19034
1493407936,19043,19043
1493422630,19048,19048
1493437222,19062,19062
1493451852,19069,19069
1493466652,19075,19075
1493481232,19083,19083
1493496121,19091,19091
1493510661,19098,19098
1493525333,19113,19113
1493539943,19121,19121
1493554614,19136,19136
1493569494,19143,19143
1493584129,19148,19148
1493598753,19154,19154
1493613657,19161,19161
1493628250,19169,19169
1493642909,19176,19176
1493657573,19186,19186
1493672174,19190,19190
1493686903,19200,19200
1493701707,19210,19210
1493716368,19216,19216
1493731005,19229,19229
1493745699,19240,19240
1493760260,19247,19247
1493774912,19256,19256
1493789554,19263,19263
1493804179,19270,19270
1493818844,19281,19281
1493833461,19293,19293
1493848112,19299,19299
1493862767,19307,19307
1493877393,19317,19317
1493892121,19328,19328
1493906686,19335,19335
1493921317,19343,19343
1493935950,19347,19347
1493950589,19356,19356
1493965210,19366,19366
1493979845,19375,19375
1493994499,19381,19381
1494009153,19385,19385
1494024055,19394,19394
1494038650,19398,19398
1494053293,19401,19401
1494067973,19411,19411
1494082576,19417,19417
1494097295,19423,19423
1494112116,19425,19425
1494126745,19431,19431
1494141379,19441,19441
1494156035,19450,19450
1494170662,19458,19458
1494185315,19468,19468
1494199955,19477,19477
1494214592,19483,19483
1494229217,19490,19490
1494243860,19503,19503
1494258517,19511,19511
1494273150,19522,19522
1494287793,19527,19527
1494302504,19531,19531
1494317068,19533,19533
1494331695,19539,19539
1494346600,19546,19546
1494361212,19550,19550
1494375847,19557,19557
1494390509,19566,19566
1494405152,19572,19572
1494419792,19581,19581
1494434665,19590,19590
1494449294,19606,19606
1494463932,19613,19613
1494478576,19622,19622
1494493324,19628,19628
1494515296,19637,19637
1494529957,19653,19653
1494544583,19664,19664
1494559446,19666,19666
1494574103,19675,19675
1494588749,19681,19681
1494603392,19691,19691
