DateTime,AddedIPs,RemovedIPs
1459952687,757,731
1460110678,708,508
1460132013,426,498
1460205693,390,395
1460379236,554,479
1460398381,464,473
1460476852,359,343
1460563204,494,474
1460648064,500,448
1460735024,422,459
1460799387,434,418
1460910131,488,507
1460993175,363,311
1461079399,488,485
1461166467,899,983
1461252353,342,327
1461337423,598,421
1461413018,553,817
1461586527,667,679
1461666168,691,720
1461696901,699,883
1461777054,699,720
1461863437,648,472
1461943787,456,382
1462019724,611,657
1462068706,339,358
1462223086,490,464
1462298854,595,603
1462458178,800,717
1462545143,426,472
1462575303,433,445
1462716050,504,413
1462800432,250,544
1462871472,619,320
1462953060,473,516
1463039474,447,518
1463087612,570,382
1463137766,430,334
1463196953,271,346
1463425155,567,487
1463512073,526,465
1463595897,526,451
1463681146,340,417
1463757177,527,483
1463782526,433,417
1463857266,326,269
1463890874,520,544
1464042968,647,731
1464119196,556,397
1464191247,449,385
1464275132,745,692
1464360672,761,765
1464441486,575,458
1464613691,477,461
1464696613,377,375
1464777855,434,468
1464811398,502,401
1464889998,290,308
1464950951,603,628
1464987065,578,633
1465136287,413,332
1465220332,366,420
1465299553,444,346
1465314270,368,429
1465394272,539,558
1465470413,638,643
1465591200,458,431
1465652058,264,412
1465737950,462,356
1465820056,355,382
1465899900,403,325
1465958212,372,419
1466041282,388,343
1466104987,424,395
1466186887,415,372
1466252239,539,650
1466423771,685,867
1466462406,589,431
1466533677,334,333
1466620345,767,661
1466694396,795,717
1466776330,388,346
1466856447,382,506
1467028089,516,434
1467115112,399,400
1467199469,482,403
1467240114,417,774
1467319839,721,291
1467389331,343,369
1467644353,451,469
1467729755,665,682
1467816281,659,571
1467901351,350,288
1467986324,333,353
1468009652,387,342
1468075330,245,244
1468157310,304,358
1468240883,352,524
1468266713,548,356
1468336421,325,339
1468426842,426,344
1468513747,326,389
1468596144,690,660
1468677819,840,748
1468699290,407,411
1468870363,445,410
1468955335,528,486
1469040353,664,639
1469122580,648,668
1469200641,353,366
1469212675,322,302
1469374824,415,364
1469456297,354,414
1469534539,399,545
1469554743,532,363
1469640731,258,260
1469708565,364,369
1469880481,486,508
1469893476,277,350
1470067253,440,379
1470148335,440,522
1470228470,377,462
1470314635,639,470
1470350077,350,427
1470423308,514,374
1470505930,639,645
1470584527,415,357
1470670524,650,687
1470753800,452,499
1470833620,370,724
1470917753,771,431
1471004209,526,479
1471085358,410,412
1471109059,354,397
1471272851,466,382
1471300940,448,518
1471375195,419,326
1471454732,347,361
1471535786,382,350
1471618303,408,357
1471694610,444,447
1471781134,443,446
1471854461,477,448
1471896969,469,465
1471983908,670,608
1472035601,568,560
1472071613,401,493
1472137249,390,320
1472223699,331,351
1472293135,668,672
1472322180,621,599
1472388737,359,329
1472461107,382,333
1472504013,416,402
1472574404,372,303
1472638446,389,403
1472678409,450,409
1472765339,458,439
1472832459,434,400
1473091054,764,787
1473161463,637,681
1473248603,655,569
1473333856,418,394
1473350502,314,395
1473434137,305,250
1473520026,315,303
1473581015,390,379
1473615147,355,362
1473696887,335,329
1473783099,621,587
1473869084,488,419
1473952128,708,792
1474038527,538,345
1474071273,625,620
1474143260,535,549
1474217140,343,281
1474303891,426,412
1474382316,415,377
1474469544,394,505
1474556188,617,396
1474642098,557,682
1474673085,466,473
1474928644,555,453
1475014825,452,429
1475099981,476,372
1475184512,450,403
1475261764,467,359
1475328570,313,391
1475497581,505,612
1475532516,550,489
1475607119,573,428
1475682820,542,421
1475765239,834,731
1475848618,710,764
1475934534,503,395
1476048680,512,668
1476114414,493,410
1476198828,393,392
1476272912,749,618
1476358441,597,656
1476403914,453,552
1476478536,535,483
1476516477,408,388
1476629106,466,478
1476711209,421,474
1476786350,550,420
1476828129,499,579
1476913654,501,486
1476981953,550,519
1477063188,784,725
1477082852,693,682
1477226897,350,332
1477313487,344,374
1477387597,383,346
1477422226,473,567
1477509004,686,424
1477587593,438,371
1477674681,527,392
1477723140,449,385
1477800483,367,282
1477855293,317,390
1477941340,785,604
1478014703,669,827
1478095755,421,522
1478181691,690,451
1478267224,692,382
1478298465,564,406
1478358544,353,327
1478531248,384,500
1478617803,390,542
1478699272,661,478
1478779851,547,599
1478864715,724,598
1478891204,609,518
1479142845,700,525
1479226718,356,516
1479313256,618,550
1479396540,576,567
1479474200,494,498
1479485913,432,417
1479650846,473,445
1479733351,402,423
1479818121,504,444
1479865685,603,415
1479942078,614,458
1480009434,480,386
1480092866,489,423
1480177955,384,332
1480264342,385,460
1480347953,550,599
1480434954,513,435
1480521450,565,518
1480607083,477,379
1480693300,406,626
1480711383,659,437
1480795948,311,348
1480863956,457,371
1480946644,505,538
1480980556,545,573
1481062591,567,358
1481147160,540,472
1481218777,468,467
1481300706,777,673
1481372714,644,832
1481450214,536,385
1481586324,473,539
1481661119,500,443
1481742235,619,436
1481825935,652,355
1481912719,754,699
1481996874,353,349
1482071567,590,626
1482145696,421,371
1482192678,463,479
1482277383,460,390
1482361936,496,463
1482443436,455,485
1482520911,428,396
1482597953,412,339
1482625985,339,380
1482790045,409,498
1482875005,452,492
1482961228,680,564
1483040275,464,671
1483116396,618,423
1483203297,372,362
1483277791,343,353
1483361667,352,447
1483438942,463,481
1483524290,523,630
1483570486,419,450
1483633267,394,505
1483699628,544,358
1483767186,389,472
1483980068,577,585
1484060822,649,712
1484141077,744,611
1484219558,433,521
1484304344,534,346
1484334050,357,598
1484501492,677,467
1484582924,797,766
1484670058,729,708
1484754415,716,950
1484841541,926,706
1484923062,513,500
1484971033,406,530
1485018892,472,400
1485092179,462,479
1485164786,505,583
1485208688,629,512
1485290591,507,586
1485376551,530,476
1485462657,582,489
1485544530,486,492
1485579240,405,358
1485739024,428,372
1485823702,403,436
1485903298,489,474
1485987816,497,602
1486070765,502,609
1486157293,842,543
1486225496,479,807
1486289916,395,397
1486464090,942,650
1486519717,620,564
1486595367,543,532
1486673157,580,443
1486747587,517,655
1486830828,511,380
1486911442,367,457
1486985537,608,515
1487068349,603,572
1487111916,552,585
1487181459,468,506
1487265896,549,449
1487345844,540,503
1487418228,456,610
1487590400,540,574
1487676580,472,502
1487710317,477,481
1487794961,479,469
1487868301,608,606
1487935754,548,533
1488010711,614,454
1488038803,428,473
1488125149,433,386
1488209400,828,771
1488289957,878,971
1488370603,480,510
1488455368,523,535
1488512600,608,420
1488561150,490,526
1488712233,531,465
1488798547,417,443
1488820741,500,513
1488981559,577,498
1489145452,823,725
1489183598,458,682
1489256282,419,376
1489335217,437,436
1489417839,494,474
1489503213,428,484
1489568141,468,517
1489624631,492,455
1489682673,511,418
1489765596,394,422
1489784405,464,483
1489855323,347,339
1489930278,412,435
1490004769,469,506
1490055675,477,587
1490134681,696,751
1490220278,716,707
1490292077,535,542
1490372160,454,439
1490457709,393,439
1490541336,491,432
1490616220,445,446
1490696835,527,477
1490775684,444,472
1490819442,510,530
1490895515,469,442
1490975048,525,451
1490998881,407,464
1491084888,423,354
1491171120,728,507
1491233806,554,548
1491307174,396,399
1491391084,478,474
1491474983,467,499
1491561338,592,450
1491642995,453,428
1491679769,346,393
1491753511,395,365
1491836843,414,457
1491914533,469,428
1491995986,518,461
1492080358,493,535
1492160207,572,447
1492194983,409,416
1492364165,510,471
1492450700,417,424
1492537199,487,471
1492623440,459,438
1492707587,534,436
1492794401,495,457
1492820257,411,426
1492900943,369,371
1492972119,418,358
1493048421,462,481
1493135555,521,469
1493221044,569,447
1493307432,565,512
1493393738,493,465
1493406599,480,485
1493569501,532,436
1493653834,424,435
1493721621,416,444
1493806002,812,750
1493842427,793,837
1493925960,506,461
1493936009,459,465
1494090864,468,458
1494171264,390,392
1494257981,518,425
1494336324,480,465
1494423211,415,483
1494449807,567,471
1494522706,432,460
1494584376,461,462
1494688549,515,492
1494858206,470,478
1494937598,489,498
1494991091,501,484
1495043753,478,489
1495217458,609,543
1495369668,427,485
1495438355,452,490
1495488034,566,417
1495567806,471,469
1495651406,580,467
1495735759,528,501
1495822310,500,487
1495901430,422,399
1495983928,431,444
1496062911,496,517
1496134592,519,492
1496220948,986,879
1496240674,868,836
1496326502,374,403
1496412741,532,474
1496440946,477,520
1496695784,930,688
1496767806,582,619
1496852635,555,735
1496959970,666,584
1497044629,834,860
1497105796,786,812
1497277609,892,891
1497348421,978,907
1497431647,979,848
1497482057,487,531
1497551389,477,456
1497637557,497,481
1497720327,839,826
1497801988,736,802
1497885864,500,455
1497964394,649,629
1497989828,530,511
1498075890,791,799
1498161171,548,492
1498236874,870,794
1498317730,802,806
1498387048,776,849
1498472265,925,867
1498554702,968,927
1498640269,1019,976
1498694066,598,637
1498775468,567,511
1498837592,534,563
1498998493,912,904
1499082505,531,562
1499162599,946,896
1499244064,477,525
1499296016,935,867
1499381765,503,522
1499449183,494,485
1499525895,464,487
1499601141,477,443
1499681740,714,728
1499705832,919,893
1499789686,800,815
1499875288,910,854
1499959949,889,920
1500044823,940,891
1500130359,478,523
1500216814,884,869
1500311457,928,923
1500391290,552,509
