DateTime,AddedIPs,RemovedIPs
1456420127,191,117
1456504726,159,95
1456760841,222,132
1456841696,173,77
1456928603,101,106
1457005572,93,102
1457070536,181,87
1457114710,158,116
1457197031,139,75
1457365313,147,114
1457532091,354,163
1457564681,103,115
1457622393,112,55
1457657700,63,69
1457718323,138,64
1457975277,259,156
1458065133,208,154
1458227463,118,107
1458307390,190,87
1458401858,144,121
1458575642,106,121
1458661372,255,119
1458696890,103,103
1458749853,141,94
1458830907,150,117
1458913671,179,114
1458932501,86,79
1459004011,98,45
1459056113,93,69
1459173978,146,137
1459345607,133,121
1459349799,127,92
1459520499,320,102
1459671835,131,145
1459696025,193,110
1459785664,256,144
1459952679,210,119
1460032639,158,118
1460110567,151,120
1460260199,313,161
1460294108,172,98
1460405777,282,136
1460553874,273,145
1460583876,101,118
1460653421,134,86
1460720459,201,115
1460804134,175,98
1460853639,93,85
1460901082,156,83
1461075489,287,146
1461164574,331,175
1461251677,156,121
1461333604,166,130
1461420270,184,130
1461675967,304,324
1461690612,193,196
1461768742,258,122
1461851397,299,178
1461883976,139,193
1462028611,252,163
1462195400,174,158
1462281380,198,149
1462404968,208,196
1462486031,168,93
1462541160,156,94
1462574085,69,185
1462907574,455,233
1462967448,246,145
1462998062,139,134
1463150093,248,147
1463496431,271,243
1463578747,136,166
1463601303,167,144
1463669691,151,101
1463753965,172,174
1463835952,95,169
1463909894,248,119
1464016812,200,160
1464094719,134,168
1464180625,208,181
1464198696,184,167
1464284342,172,110
1464358864,172,193
1464441833,184,136
1464614418,170,167
1464700992,192,137
1464788080,155,124
1464813101,136,162
1464879582,135,108
1464947982,134,133
1465136171,231,205
1465397375,205,138
1465470928,221,137
1465573216,245,156
1465651931,138,103
1465815082,215,140
1465828109,212,145
1465912410,249,68
1465998668,192,188
1466077714,257,135
1466113164,127,206
1466175438,241,112
1466429958,234,241
1466516918,162,183
1466599064,300,129
1466617675,135,222
1466687801,236,69
1466714922,88,176
1466777486,221,71
1466856945,216,163
1466873059,134,115
1466951951,177,131
1467037602,292,151
1467118768,218,195
1467205291,289,138
1467291812,224,171
1467377716,206,154
1467388252,123,161
1467641360,394,212
1467727295,277,148
1467810955,309,186
1467896506,227,207
1467924800,243,150
1467993453,245,136
1468076630,190,116
1468158610,201,158
1468241863,340,146
1468267107,136,204
1468336030,266,114
1468509328,253,172
1468592628,268,217
1468678358,309,174
1468762033,160,199
1468842465,299,181
1468898850,177,213
1468963373,366,143
1469042482,244,217
1469118562,349,199
1469202182,219,221
1469225383,155,128
1469308737,122,156
1469376723,236,131
1469456806,185,202
1469535236,324,193
1469551565,172,225
1469626405,289,112
1469703737,216,204
1469844964,390,288
1469894161,165,160
1470051566,339,172
1470138521,161,288
1470224363,474,166
1470252281,173,257
1470314701,198,125
1470436007,236,242
1470504458,173,189
1470572313,224,181
1470653153,181,228
1470697322,250,232
1470834439,273,213
1470919626,210,245
1471005378,270,192
1471516368,433,446
1471558398,220,178
1471635605,203,119
1471698478,205,230
1471784161,263,156
1471856198,126,206
1471901847,273,152
1471986368,213,227
1472071501,385,202
1472138322,278,234
1472224663,223,144
1472244676,166,240
1472392298,345,206
1472462659,117,170
1472502625,194,134
1472572325,160,159
1472658075,235,172
1472673092,196,243
1472746546,338,159
1472820671,245,276
1472850158,239,156
1473093323,259,224
1473162226,126,196
1473247686,306,196
1473268567,188,383
1473421151,305,191
1473547947,224,176
1473618998,138,168
1473691970,304,147
1473766435,148,228
1473934922,347,299
1474031055,368,206
1474184777,157,158
1474218631,177,213
1474300795,270,200
1474386278,169,229
1474470998,290,179
1474555151,232,289
1474639549,293,244
1475086934,436,457
1475255213,168,150
1475343501,164,206
1475500894,307,212
1475585782,176,320
1475589979,332,340
1475676016,240,93
1475713594,211,229
1475791291,295,171
1475853912,328,189
1475936935,141,223
1476052682,323,231
1476114432,149,212
1476190808,248,193
1476215520,202,241
1476294194,284,157
1476528777,290,300
1476631598,313,266
1476711129,240,216
1476735577,294,217
1476802741,173,232
1476888632,311,237
1476998084,289,321
1477068024,160,213
1477087049,294,231
1477233948,305,213
1477314569,209,227
1477332194,257,209
1477407773,222,203
1477494499,323,228
1477574725,291,187
1477613664,231,296
1477688821,470,178
1477722653,169,169
1477798864,123,188
1477869704,246,186
1477941811,447,255
1478107781,546,264
1478192438,188,272
1478267293,285,204
1478297983,160,230
1478358548,224,133
1478519737,209,238
1478659003,447,333
1478737748,247,237
1478793906,347,261
1478878849,219,307
1478885991,312,237
1479132390,307,284
1479174396,214,409
1479234019,369,146
1479314539,217,335
1479397060,331,245
1479479325,292,310
1479487853,458,205
1479660652,208,216
1479746116,233,333
1479755277,354,304
1479835114,314,106
1479920000,220,230
1479940633,193,283
1480008944,267,157
1480093283,252,275
1480176589,269,168
1480261692,152,257
1480347485,420,309
1480380344,264,331
1480438207,280,313
1480507270,361,300
1480535276,306,214
1480693580,300,348
1480794074,231,252
1480872825,278,109
1481128655,633,406
1481207195,255,410
1481293399,402,325
1481338860,248,369
1481664262,522,366
1481732284,227,302
1481903777,462,310
1481941695,217,251
1482073067,583,264
1482243764,324,326
1482324830,283,444
1482365606,425,216
1482424306,159,291
1482511253,320,233
1482529581,241,218
1482624815,169,198
1482751603,224,202
1482838029,172,300
1482860151,378,409
1482942081,446,238
1483014745,325,449
1483097741,473,260
1483208234,318,244
1483369225,207,191
1483440805,155,392
1483524345,449,193
1483570587,280,325
1483657046,381,232
1483743120,315,362
1484000756,583,449
1484085921,318,270
1484172418,372,230
1484249528,397,228
1484332374,412,289
1484337582,324,185
1484506032,284,285
1484587269,375,334
1484667755,491,293
1484736520,346,444
1484823168,552,318
1484909793,399,233
1484971045,349,358
1485214687,576,354
1485291852,300,327
1485375813,346,271
1485448692,320,342
1485525886,312,319
1485564200,394,282
1485702435,397,266
1485776268,201,265
1485859059,350,261
1485879836,340,386
1486048088,567,380
1486123201,333,392
1486162557,405,239
1486226256,200,409
1486305720,355,211
1486382252,334,278
1486396307,404,383
1486480966,200,243
1486564738,512,331
1486645708,318,356
1486724146,455,324
1486739307,250,324
1486910145,361,248
1486985735,218,315
1487063470,413,305
1487115993,313,394
1487200225,510,240
1487271071,262,334
1487349231,470,224
1487386297,210,354
1487442441,295,155
1487515816,203,274
1487591018,330,222
1487676636,465,376
1487720697,500,325
1487783333,375,299
1487863934,376,265
1488196888,397,473
1488235328,384,269
1488318432,182,268
1488395265,419,504
1488479223,451,282
1488554263,463,303
1488633032,267,365
1488712675,321,226
1488798961,258,305
1488882321,383,315
1488916753,251,375
1488974604,314,187
1489068613,486,396
