DateTime,AddedIPs,RemovedIPs
1441749034,4,0
1441836021,2,0
1441923003,4,0
1442010002,4,0
1442097003,3,0
1442184059,4,0
1442271037,2,0
1442358011,2,0
1442532003,7,0
1442619302,2,0
1442706071,1,0
1442880003,7,0
1442967016,3,0
1443054034,4,0
1443141014,12,0
1443228012,1,0
1443315055,2,0
1443402012,5,0
1443489304,3,0
1443576157,2,0
1443663158,1,0
1443750321,3,0
1443924002,1,0
1444011026,4,0
1444098021,3,0
1444185026,1,0
1444359025,1,0
1444533102,2,0
1444707191,3,0
1444794085,6,0
1444968009,1,0
1445055016,1,0
1445142005,2,0
1445403019,1,0
1445490007,2,0
1445577309,4,0
1445664533,1,0
1445751342,1,0
1445838342,2,0
1445925604,2,0
1446012603,2,0
1446099605,2,0
1446447603,5,0
1446534621,3,0
1446621611,2,0
1446708607,2,0
1447056647,1,0
1447143645,4,0
1447317641,1,0
1447404639,1,0
1447491606,1,0
1447665654,1,0
1447752604,4,0
1447926660,2,0
1448274614,2,0
1448361912,5,0
1448448749,3,0
1448535605,4,0
1448709632,4,0
1448796615,5,0
1448883615,3,0
1448970617,4,0
1449057603,1,0
1449144641,1,0
1449232042,3,0
1449318635,2,0
1449405914,6,0
1449666626,6,1
1449753618,1,0
1449840616,3,0
1449927636,4,0
1450101616,4,0
1450188714,3,0
1450276072,1,0
1450362610,3,0
1450449928,2,0
1450623611,2,0
1450710630,1,0
1450797610,2,0
1450884613,5,0
1450971614,3,0
1451058610,1,0
1451232644,1,0
1451406613,1,0
1451580629,1,0
1451754612,3,0
1451841611,1,0
1451928618,2,0
1452015604,5,0
1452102650,4,0
1452189606,2,0
1452276862,1,0
1452363650,7,0
1452450618,5,0
1452537613,2,0
1452624695,2,0
1452711603,1,0
1452798618,4,0
1452885611,2,0
1452972608,4,0
1453146613,11,0
1453233609,8,0
1453320911,3,0
1453407747,2,0
1453494613,2,0
1453581648,3,0
1453668970,10,0
1453760618,7,0
1453934753,21,0
1454021930,11,0
1454108404,14,0
1454282426,10,0
1454369412,10,0
1454456427,12,0
1454543419,8,0
1454630410,8,0
1454717707,4,0
1454805008,11,0
1454892105,10,0
1454979602,8,0
1455066619,2,0
1455153613,24,0
1455240613,7,0
1455327628,6,0
1455501610,13,0
1455676028,6,0
1455849915,12,0
1455936608,6,0
1456023606,5,0
1456110613,7,0
1456197661,7,0
1456284607,4,0
1456545605,9,0
1456632662,6,0
1456806608,14,0
1456893665,3,0
1456980972,6,0
1457154615,20,0
1457502615,30,0
1457589611,6,0
1457937629,29,0
1458024626,6,0
1458111606,7,0
1458198729,6,0
1458285981,11,0
1458372605,9,0
1458459915,13,0
1458546896,10,0
1458633608,8,0
1458720905,8,0
1458808216,4,0
1458895504,10,0
1458982218,7,0
1459069205,6,0
1459156210,5,0
1459243640,4,0
1459330209,12,0
1459504808,11,0
1459591809,4,0
1459679242,4,0
1459853119,15,0
1459939874,15,0
1460026804,5,0
1460114090,3,0
1460287811,6,0
1460485970,7,0
1460573125,8,0
1460659906,5,0
1460833820,5,0
1460921239,13,0
1461007807,4,0
1461095103,9,0
1461182307,6,0
1461529967,27,0
1461616912,8,0
1461704411,5,0
1461791414,5,0
1461878869,13,0
1461965442,6,0
1462052704,9,0
1462139497,8,0
1462226405,6,0
1462313494,4,0
1462400483,4,0
1462487824,5,0
1462574437,2,0
1462661777,4,0
1462748406,8,0
1462835544,8,0
1462922861,10,0
1463009653,5,0
1463096471,10,0
1463183444,4,0
1463270405,4,0
1463357622,4,0
1463444901,2,0
1463531552,8,0
1463618705,6,0
1463705227,1,0
1463791703,8,0
1463878285,6,0
1463965028,4,0
1464051597,5,0
1464138005,12,0
1464224476,7,0
1464310945,6,0
1464397408,6,0
1464483855,6,0
1464570880,3,0
1464657464,11,0
1464744531,3,0
1464830977,7,0
1464917499,4,0
1465003954,10,0
1465090775,6,0
1465177503,5,0
1465350571,14,0
1465437585,3,0
1465524012,5,0
1465610469,7,0
1465783477,11,0
1465870178,3,3
1465956661,6,0
1466043307,5,0
1466129856,2,0
1466216308,5,0
1466303422,8,0
1466390669,6,0
1466477107,4,0
1466563563,5,0
1466650028,7,0
1466736524,6,0
1466822964,4,0
1466909889,3,0
1466996368,1,0
1467082804,4,0
1467169264,8,0
