DateTime,AddedIPs,RemovedIPs
1451491910,523,506
1451578847,546,559
1451665805,544,476
1451752819,539,560
1451839824,524,523
1451926811,578,458
1452013818,559,500
1452100804,539,544
1452187803,515,535
1452274812,599,519
1452361832,527,606
1452448813,547,365
1452535830,596,785
1452622819,511,484
1452709804,508,529
1452796815,548,546
1452883815,541,551
1452970806,523,531
1453144809,666,663
1453231805,562,518
1453318811,562,552
1453492810,675,707
1453579845,558,589
1453666804,496,466
1453753807,525,403
1453927816,805,942
1454014803,554,534
1454101811,447,470
1454275803,691,682
1454362834,582,560
1454449821,575,480
1454536808,549,542
1454623820,603,529
1454710806,535,549
1454797804,540,562
1454884822,497,465
1454971883,513,548
1455058810,541,557
1455145826,530,561
1455232803,500,483
1455319804,547,574
1455493806,669,677
1455667808,517,540
1455841804,812,786
1455928833,561,568
1456015811,544,553
1456102804,536,549
1456189812,530,527
1456276807,541,525
1456537812,792,825
1456624807,498,552
1456798806,665,672
1456885805,536,455
1456972810,602,556
1457146805,696,680
1457233817,517,542
1457581803,822,863
1457668804,462,477
1458016811,786,870
1458103808,580,536
1458190806,513,531
1458277803,646,620
1458364803,550,541
1458451804,439,444
1458538807,493,500
1458625806,546,541
1458712804,525,511
1458799803,522,565
1458886809,526,452
1458973804,474,531
1459060804,501,511
1459147815,503,487
1459234810,545,583
1459321805,508,501
1459495806,712,630
1459582803,526,494
1459669819,518,536
1459843813,671,643
1459930809,537,569
1460017804,501,465
1460104803,513,481
1460278806,593,614
1460452813,606,677
1460539805,516,507
1460626838,471,466
1460800807,624,630
1460887823,523,501
1460974823,487,483
1461061804,511,549
1461148806,516,511
1461496817,774,816
1461583802,437,464
1461670834,514,530
1461757812,486,487
1461844804,453,454
1461931807,513,519
1462018803,479,525
1462105803,549,521
1462192806,503,454
1462279807,500,563
1462366807,553,501
1462453806,509,561
1462540840,514,486
1462627805,488,534
1462714807,461,453
1462801805,500,476
1462888804,460,442
1462975821,472,519
1463062818,460,510
1463149806,547,489
1463236815,419,427
1463323807,506,536
1463410804,515,483
1463497808,482,500
1463584267,449,445
1463670724,486,489
1463757183,441,429
1463843643,486,484
1463930104,467,486
1464016563,440,429
1464103033,486,473
1464189488,507,481
1464275946,456,474
1464362425,491,493
1464448865,455,528
1464535336,439,457
1464621786,431,402
