DateTime,Entries,UniqueIPs
1451665805,6667,6740
1451752819,6646,6719
1451839824,6647,6720
1451926811,6769,6840
1452013818,6827,6899
1452100804,6825,6894
1452187803,6804,6874
1452274812,6878,6954
1452361832,6803,6875
1452448813,6984,7057
1452535830,6795,6868
1452622819,6820,6895
1452709804,6799,6874
1452796815,6803,6876
1452883815,6795,6866
1452970806,6787,6858
1453057822,6787,6858
1453144809,6789,6861
1453231805,6834,6905
1453318811,6843,6915
1453405822,6843,6915
1453492810,6812,6883
1453579845,6781,6852
1453666804,6809,6882
1453753807,6938,7004
1453927816,6793,6867
1454014803,6810,6887
1454101811,6786,6864
1454275803,6793,6873
1454362834,6816,6895
1454449821,6908,6990
1454536808,6915,6997
1454623820,6987,7071
1454710806,6973,7057
1454797804,6951,7035
1454884822,6985,7067
1454971883,6949,7032
1455058810,6937,7016
1455145826,6905,6985
1455232803,6921,7002
1455319804,6896,6975
1455493806,6886,6967
1455667808,6864,6944
1455841804,6893,6970
1455928833,6884,6963
1456015811,6876,6954
1456102804,6862,6941
1456189812,6865,6944
1456276807,6884,6960
1456537812,6854,6927
1456624807,6798,6873
1456798806,6791,6866
1456885805,6873,6947
1456972810,6915,6993
1457146805,6935,7009
1457233817,6910,6984
1457581803,6868,6943
1457668804,6852,6928
1458016811,6772,6844
1458103808,6813,6888
1458190806,6796,6870
1458277803,6821,6896
1458364803,6831,6905
1458451804,6826,6900
1458538807,6819,6893
1458625806,6823,6898
1458712804,6837,6912
1458799803,6796,6869
1458886809,6870,6943
1458973804,6817,6886
1459060804,6809,6876
1459147815,6823,6892
1459234810,6786,6854
1459321805,6793,6861
1459495806,6874,6943
1459582803,6904,6975
1459669819,6887,6957
1459843813,6916,6985
1459930809,6884,6953
1460017804,6918,6989
1460104803,6950,7021
1460278806,6930,7000
1460452813,6858,6929
1460539805,6868,6938
1460626838,6871,6943
1460800807,6864,6937
1460887823,6887,6959
1460974823,6893,6963
1461061804,6851,6925
1461148806,6858,6930
1461496817,6819,6888
1461583802,6792,6861
1461670834,6774,6845
1461757812,6773,6844
1461844804,6771,6843
1461931807,6765,6837
1462018803,6721,6791
1462105803,6748,6819
1462192806,6799,6868
1462279807,6736,6805
1462366807,6788,6857
1462453806,6738,6805
1462540840,6764,6833
1462627805,6718,6787
1462714807,6726,6795
1462801805,6752,6819
1462888804,6770,6837
1462975821,6723,6790
1463062818,6672,6740
1463149806,6729,6798
1463236815,6723,6790
1463323807,6694,6760
1463410804,6725,6792
1463497808,6706,6774
1463584267,6710,6778
1463670724,6706,6775
1463757183,6719,6787
1463843643,6721,6789
1463930104,6702,6770
1464016563,6713,6781
1464103033,6727,6794
1464189488,6751,6820
1464275946,6732,6802
1464362425,6730,6800
1464448865,6658,6727
1464535336,6639,6709
1464621786,6670,6738
1464708248,6707,6776
1464794706,6724,6792
1464881164,6771,6841
1464967627,6777,6847
1465054084,6798,6868
1465140546,6794,6864
1465313479,6807,6877
1465399933,6794,6864
1465486385,6773,6842
1465572846,6784,6852
1465745773,6784,6850
1465832230,6774,6840
1465918683,6735,6801
1466005143,6785,6877
1466091627,6792,6885
1466178082,6741,6833
1466264531,6736,6805
1466350996,6684,6751
1466437444,6704,6773
1466523910,6701,6767
1466610365,6691,6758
1466696828,6733,6801
1466783284,6765,6834
1466869745,6764,6833
1466956219,6772,6841
1467042680,6763,6833
1467129137,6772,6841
1467215584,6743,6811
1467302050,6773,6842
1467388504,6782,6851
1467474964,6791,6860
