DateTime,Entries,UniqueIPs
1436357235,2209,144915968
1436443632,2216,144924416
1436530034,2216,144928512
1436962042,2221,144935680
1437048434,2223,144940800
1437134840,2227,144947968
1437221233,2227,144952320
1437307639,2228,144956416
1437566840,2265,144937984
1437653234,2269,144943104
1437739633,2273,144950272
1437826038,2273,144954624
1437912439,2280,144966912
1438171637,2274,144972032
1438258044,2270,144978688
1438344436,2259,144990208
1438430834,2257,144993280
1438517240,2259,145001984
1438776441,2253,145011968
1438862836,2255,145021184
1438949235,2260,145028864
1439035640,2262,145033216
1439122061,2265,145041408
1439122061,2265,145041408
1439122061,2265,145041408
1439122061,2265,145041408
1439208442,2265,145041408
1439381237,2264,145046528
1439467637,2267,145053952
1439554041,2266,145061120
1439640436,2272,145069568
1439640436,2272,145069568
1439726842,2282,145038848
1439986039,2287,145048064
1440158843,2291,145063680
1440158843,2291,145063680
1440245241,2295,145072384
1440331635,2297,145078528
1440590838,2301,145084672
1440590838,2301,145084672
1440677238,2300,145088768
1440763639,2304,145096960
1440850035,2307,145101056
1440936438,2304,145104128
1441195631,2307,145108224
1441282034,2308,145116416
1441368438,2310,145121536
1441454835,2315,145128704
1441541239,2313,145136896
1441800441,2315,145138944
1441886837,2317,145147136
1441973236,2319,145149184
1442059634,2314,145158400
1442146035,2319,145167616
1442405238,2321,145169664
1442491638,2330,145184000
1443096438,2337,145212416
1443182843,2335,145216000
1443269240,2337,145220352
1443355635,2340,145224448
1443701235,2346,145239040
1443787639,2352,145249280
1443874040,2347,145253888
1444219636,2346,145258240
1444306034,2340,145261568
1444392440,2336,145263616
1444478841,2336,145266944
1444565241,2337,145272064
1444910840,2342,145281280
1444997241,2338,145285376
1445083643,2338,145287168
1445170040,2339,145293312
1445429241,2339,145299712
1445515642,2341,145304832
1445602049,2347,145312256
1445688443,2348,145316352
1445774839,2350,145318400
1446034032,2350,145326848
1446120433,2347,145331200
1446206833,2348,145337344
1446293231,2350,145342720
1446379633,2354,145348864
1446725237,2356,145354240
1446811634,2360,145366528
1446898033,2363,145369600
1446984440,2366,145374720
1447243636,2367,145377792
1447330034,2368,145380864
1447416435,2367,145385984
1447503066,2367,145397248
1447589234,2369,145398528
1447848451,2369,145402624
1447934834,2373,145405952
1448021233,2375,145409280
1448107632,2377,145416448
1448194034,2377,145417984
1448453236,2381,145426176
1448539639,2384,145434368
1448626036,2388,145442816
1448712434,2390,145453056
1448798837,2382,145457152
1449058037,2384,145459200
1449144435,2391,145470208
1449230836,2392,145476608
1449317233,2392,145479168
1449403633,2392,145485312
1449662831,2395,145490688
1449749230,2398,145496832
