DateTime,Entries,UniqueIPs
1434197235,127,183040
1434283635,127,183040
1434283635,127,183040
1434629234,127,183040
1434629234,127,183040
1435234037,128,199424
1436616437,129,199936
1437739633,130,200448
1439122061,130,200448
1439122061,130,200448
1439122061,130,200448
1439208442,130,200448
1439640436,130,200448
1440158843,130,200448
1440590838,130,200448
1448453236,129,194304
1453118828,129,194304
1453205231,129,194304
1453291628,129,194304
1453378031,129,194304
1453464429,129,194304
1453550832,129,194304
1453637228,129,194304
1453723630,129,194304
1456834083,128,193280
1459339631,129,194304
1468930035,131,196352
1475064435,132,195840
1475150841,131,195328
1475237240,130,194304
1475410041,132,193280
1477138039,132,191232
1479384444,131,190720
1485346038,132,194816
1487160468,128,190720
1487246847,127,186624
1487938047,126,185600
1488024435,124,183552
1488283657,122,181504
1488629245,120,178432
1489838863,119,177408
1490184491,118,176384
1490443703,117,175360
1490789244,116,173312
1491480449,116,171008
1491739649,115,169984
1492344438,116,171008
1492690042,113,167936
1493208449,111,166656
1493381246,112,166144
1493726843,104,158464
1493986051,102,156416
1494504468,103,156672
1495022854,103,156416
1495109244,98,151296
1496146041,97,150272
1496232443,90,143104
1497442043,83,133888
1497701247,83,133376
1498565241,78,123136
1498651645,77,122112
1499256446,77,120832
