DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,76,472576
1438136187,76,472576
1438136187,76,472576
1440631768,79,467456
1440631768,79,467456
1443512099,69,459008
1446103148,69,458496
1448836885,69,458496
1451465577,69,458240
1454025634,69,458496
1459215119,70,459264
1461880281,70,459520
1464584821,70,459264
1465357136,70,459520
1467243763,70,459264
1469759141,71,460288
1472424244,72,460544
1475106770,73,461824
1477611060,76,463104
1479089381,75,462848
1480463219,72,461824
1483056452,70,461312
1485219556,69,461056
1488152366,70,465152
1490917929,67,465152
1493318955,78,473856
1496154684,83,474368
