DateTime,AddedIPs,RemovedIPs
1459541349,6,8
1459555954,4,0
1459585457,33,29
1459614769,29,31
1459666615,16,3
1459703619,0,63
1459807253,26,82
1459837023,16,28
1459939449,29,70
1459983396,28,11
1459998103,21,1
1460027579,24,24
1460042131,15,18
1460056838,14,15
1460071453,4,0
1460086119,1,4
1460101281,30,0
1460115847,0,26
1460130508,8,7
1460159793,6,34
1460174418,1,0
1460203716,17,31
1460218363,0,21
1460247621,17,2
1460745151,31,434
1460804474,15,48
1460819102,16,13
1460848610,33,13
1460877865,34,30
1460893023,22,0
1460922253,0,27
1460936952,21,24
1460980845,0,20
1460995451,29,19
1461010393,0,8
1461039649,0,28
1461068910,32,26
1461083559,0,19
1461142097,0,40
1461162535,30,21
1461191782,0,14
1461221061,0,23
1461235701,23,0
1461265586,0,35
1461294912,0,25
1461324278,0,26
1461338897,0,26
1461368176,0,19
1461397479,0,29
1461426750,0,28
1461485304,0,35
1461514590,0,12
1461529234,0,16
1461558511,0,4
1461588100,35,24
1461617549,0,7
1461632192,0,3
1461646821,0,4
1461661483,0,27
1461690773,0,11
1461720031,0,12
1461749311,0,2
1461763972,0,26
1461778587,0,15
1461793227,0,7
1461822503,0,27
1461837155,35,0
1461851781,0,16
1461866435,0,12
1461881067,0,13
1461924985,0,28
1461939630,31,0
1461969145,0,13
1461998432,0,28
1462027699,0,31
1462056977,0,8
1462086248,0,4
1462100918,32,30
1462115580,0,2
1462130192,0,6
1462144838,0,3
1462174094,0,34
1462188751,0,31
1462220928,0,12
1462301571,0,27
1462404028,0,9
1462433299,0,12
1462462583,35,0
1462535726,0,32
1462579697,0,17
1462608996,0,19
1462623646,31,8
1462638263,0,20
1462652923,0,4
1462696819,0,32
1462711479,0,15
1462726108,0,6
1462755376,0,1
1462770020,0,32
1462813938,0,12
1462843221,0,31
1462872480,30,0
1463224095,34,0
1463341488,0,28
1463400074,0,12
1463414653,0,29
1463443957,0,34
1463473224,0,34
1463517175,0,25
1463575707,0,29
1463648914,0,31
1463744188,0,34
1463832048,35,30
1464080825,34,0
1464169168,0,33
1464257066,33,0
1464418116,34,35
1464447375,33,0
1464535493,0,35
1464681858,0,32
1465048110,0,32
1465209375,0,32
1465253337,34,0
1465399704,30,0
1465458252,0,33
1465809630,0,35
1466014645,34,0
1466146590,35,0
1466190497,32,0
1466395706,0,33
1466557037,33,0
1466644855,0,35
1466703384,26,0
1466791240,26,0
1466835395,0,35
1466981789,28,34
1467011100,0,31
1467054983,26,0
1467845787,0,32
1467977782,0,30
1467992422,34,0
1468270581,32,0
1468592911,0,33
1468724660,0,32
1468768582,0,35
1468944255,32,0
1469119940,0,28
1469193144,33,0
1469280984,0,29
1469368889,0,28
1469544987,0,31
1469633098,0,31
1470321150,34,0
1470570260,0,33
1470848665,0,30
1471346673,35,0
1471434508,35,0
1471522364,35,32
1471610187,33,0
1471786115,0,35
1471962048,31,0
1472123359,35,0
1472226022,32,0
1472606658,33,0
1472665279,31,0
1472914342,29,35
1473075388,32,0
1473273156,34,0
1473888258,24,0
1473961473,0,35
1474005397,0,33
1474020277,20,0
1474108097,33,29
1474195938,0,32
1474298422,33,0
1474371864,31,0
1474518501,0,31
1474635664,29,0
1474694176,0,32
1474811548,0,32
1474884737,29,0
1475177781,0,19
1475243794,0,34
1475463397,0,24
1475595145,33,0
1475639064,0,34
1475844012,0,34
1475931865,34,0
1476371547,34,0
1476488909,0,32
1476606259,0,27
1476635549,31,0
1476694109,0,35
1476884430,0,34
1476942972,0,30
1476972263,34,0
1477060108,32,0
1477147942,35,0
1477221148,0,32
1477455624,0,31
1477484901,28,0
1477558098,32,0
1478173703,34,30
1478510901,34,30
1478599002,30,0
1478694527,32,0
1479046121,35,34
1479295721,29,33
1479310357,17,0
1479486495,34,0
1480021721,31,98
1480080260,34,34
1480263407,33,59
1480336821,31,0
1480542498,31,0
1480644983,33,0
1480769553,0,31
1480872256,35,0
1480945468,29,0
1481067684,27,0
1481113922,0,35
1481202753,0,32
1481305474,0,33
1481642483,0,33
1481671707,29,0
1481730261,34,0
1481803477,32,0
1481905958,0,52
1482096986,0,33
1482170472,28,0
1482331948,25,0
1482420494,26,0
1482582056,29,0
1482625957,0,29
1482684509,0,32
1482875052,0,34
1482933695,32,0
1483094906,31,0
1483109594,0,31
1483226933,0,30
1483431851,0,32
1483549293,0,30
1483637071,0,30
1484225055,27,0
1484254353,0,31
1484298526,0,24
1484401694,0,35
1484753567,0,30
1484856099,29,0
1484914841,0,26
1485002675,0,27
1485178833,0,31
1485516751,0,35
1485693197,0,27
1485971785,34,0
1486515145,33,0
1486559071,34,0
1486808659,0,33
1486911168,35,0
1486999008,24,0
1487086836,33,0
1487189578,32,0
1487204447,19,0
1487248580,30,0
1487263214,21,0
1487277866,6,0
1487292504,8,0
1487321816,33,0
1487351070,23,0
1487365708,12,0
1487380336,5,0
1487409642,3,0
1487424255,31,0
1487438923,20,32
1487453588,9,0
1487482815,2,0
1487497461,2,0
1487526748,22,0
1487556113,16,0
1487585568,27,0
1487600192,15,0
1487614827,16,0
1487629487,6,0
1487644121,5,0
1487673401,26,0
1487688021,10,0
1487717308,9,0
1487746591,3,0
1487761319,25,0
1487775868,17,0
1487790518,9,0
1487819798,9,0
1487849050,24,0
1487878348,11,0
1487907621,6,0
1487936906,27,0
1487966196,14,0
1487995725,11,0
1488024994,32,0
1488054275,13,0
1488068916,1,0
1488098223,3,0
