DateTime,AddedIPs,RemovedIPs
1446419489,1,1
1446506985,1,1
1447118315,1,1
1447205816,1,1
1447293258,1,1
1447468042,1,1
1447642819,1,1
1447904745,2,2
1448166465,1,1
1448253949,1,1
1448340984,1,1
1448515652,1,1
1448603135,1,1
1448690615,1,1
1448952855,1,1
1449040172,1,1
1449127677,1,1
1449214707,1,1
1449389385,2,2
1449564361,2,2
1449651642,2,2
1449739175,1,1
1450351114,2,2
1450438593,1,1
1450529308,1,1
1450790914,1,1
1450878405,1,1
1450965646,1,1
1451053117,1,1
1451234205,0,4
1451321692,1,1
1451408994,1,1
1451496474,0,2
1451627673,0,3
1451714988,1,3
1451889987,0,7
1451977222,0,3
1452064255,0,5
1452151656,0,3
1452239124,1,1
1452326453,1,1
1452413910,2,2
1452588465,2,2
1453025401,2,2
1453199536,1,1
1453286654,0,3
1453983620,1,2
1454070758,0,1
1454158622,1,1
1455116902,0,1
1455291166,1,1
1455378254,1,1
1455639643,1,1
1455726737,1,0
1455813862,1,1
1455900978,1,1
1456075258,1,1
1456162609,1,1
1456423925,1,1
1456598173,1,1
1456772428,2,1
1457033820,0,1
1457121074,1,0
1457295381,2,2
1457556767,1,1
1457992342,1,1
1458253693,1,1
1458427949,1,1
1458515086,1,1
1458602441,1,1
1458689550,1,1
1458776666,1,1
1458950906,1,1
1459038036,1,1
1459953859,1,1
1460041286,0,1
1460870503,35,0
1461044650,1,1
1461306009,1,1
1461654507,1,1
1461915855,4,4
1462003008,1,1
1462177217,7,7
1462612818,1,1
1463832503,2,2
1464093851,1,1
1465313547,5,5
1466010989,1,1
1466707950,1,1
1467056416,1,1
1468014738,3,3
1470367243,1,1
1471412657,1,1
1472196768,6,6
1472283855,5,5
1472632343,1,1
1472719459,1,1
1472980828,2,2
1473155056,3,3
1473329315,3,3
1474374778,1,1
1474636135,1,1
1476379706,1,1
1476989544,1,1
1477076665,2,2
1477163815,1,1
1477512515,1,1
1481825788,1,1
1482348755,1,1
1482435852,1,1
1482610364,1,1
1482958886,2,2
1484265898,3,3
1486009263,2,2
1486531955,1,1
1486619051,1,1
1487141776,1,1
1487228927,1,1
1487490255,1,1
1487838756,1,1
1487925858,1,1
1488013001,1,1
1488187213,32,0
1488274365,32,32
1488361480,31,31
1488448607,30,30
1488535727,31,31
1488622834,30,30
1488709945,27,27
1488884197,33,33
1488971344,28,28
1489058417,31,31
1489145553,27,27
1489494032,22,22
1489668262,24,24
1489755452,26,26
1490016769,25,25
1490278121,33,33
1490452353,33,33
1490539459,31,32
1490975073,33,32
1491323562,33,33
1491846532,33,33
1492194990,27,27
1492282097,27,27
1492630578,31,31
1492717716,18,18
1492891978,31,31
1492979061,32,32
1493066200,29,29
1493153330,29,29
1493240555,4,4
1493327808,28,28
1493414951,11,11
1493502041,22,22
1493589174,25,25
1493851023,32,32
1493938117,30,30
1494025298,32,32
1494287061,32,32
1494374189,28,28
1494548434,29,29
1494635542,27,27
1494722655,27,27
1494809781,29,29
1494896937,32,32
1494984060,11,11
1495071168,32,32
1495158287,32,32
1495419643,31,32
1495593878,33,32
1495768145,29,29
1495942361,27,27
1496029467,29,29
1496116584,31,31
1496377956,32,32
1496466375,24,24
1496553400,31,31
1496640519,32,32
1496727627,30,30
1496814769,30,30
1496989004,30,30
1497076121,28,29
1497337493,32,31
1497424609,32,33
1497511740,32,31
1497598862,31,31
1497773088,31,31
1497947361,26,26
1498208651,28,28
1498295791,19,19
1498818522,31,31
1498905625,28,28
1499080130,33,33
1499167245,29,29
1499428628,33,33
1499689951,33,33
1499778824,31,31
1499953228,30,30
1500040357,24,24
1500301954,30,30
1500389053,31,31
