DateTime,Entries,UniqueIPs
1451117708,501906,501906
1451204940,504577,504577
1451292311,509293,509293
1451379607,516099,516099
1451467208,521317,521317
1451554516,520420,520420
1451641516,518409,518409
1451728820,511994,511994
1451816408,505693,505693
1451903719,498203,498203
1451993409,498262,498262
1452080706,494957,494957
1452168006,491277,491277
1452255604,470585,470585
1452342917,449033,449033
1452429905,429831,429831
1452517206,413133,413133
1452604801,402069,402069
1452692417,376973,376973
1452779704,341139,341139
1452872696,315768,315768
1452965400,286375,286375
1453052693,281690,281690
1453139698,280540,280540
1453226992,276157,276157
1453313996,273316,273316
1453400993,272822,272822
1453487992,267206,267206
1453575229,261491,261491
1453662291,252335,252335
1453749596,244482,244482
1453836822,236461,236461
1453923886,226615,226615
1454010895,229933,229933
1454098190,224474,224474
1454185214,218338,218338
1454272189,214237,214237
1454359187,211399,211399
1454393387,210476,210476
1454741684,185824,185824
1454828387,178533,178533
1454915380,168339,168339
1455002078,160197,160197
1455089077,151976,151976
1455176084,143744,143744
1455263080,137660,137660
1455350073,128909,128909
1455437075,122558,122558
1455524372,114683,114683
1455611372,110304,110304
1455698377,153667,153667
1455785377,183519,183519
1455872383,211304,211304
1455959405,224471,224471
1456046387,221409,221409
1456133382,221661,221661
1456220080,225484,225484
1456307081,227724,227724
1456394082,229644,229644
1456481090,232732,232732
1456568085,229574,229574
1456655082,225842,225842
1456742084,226212,226212
1456829083,227321,227321
1456916083,230510,230510
1457003084,229123,229123
1457090386,228453,228453
1457177393,229418,229418
1457264387,229709,229709
1457351391,229912,229912
1457438384,230053,230053
1457525385,233506,233506
1457612388,249873,249873
1457699395,302327,302327
1457786100,327537,327537
1457873107,346328,346328
1457960099,370252,370252
1458047099,388369,388369
1458134101,416251,416251
1458221107,436884,436884
1458308099,408819,408819
1458438602,388722,388722
1458525602,379070,379070
1458612597,430594,430594
1458699372,629573,629573
1458785898,776232,776232
1458873036,853937,853937
1458960041,897166,897166
1459047066,906615,906615
1459134070,915892,915892
1459208980,1017030,1017030
1459295772,1128776,1128776
1459382873,1269446,1269446
1459470232,1340806,1340806
1459557303,1430474,1430474
1459644256,1440466,1440466
1459731293,1445276,1445276
1459818391,1501471,1501471
1459905566,1537330,1537330
1459992498,1583793,1583793
1460079559,1614717,1614717
1460210629,1596031,1596031
1460297368,1558310,1558310
1460384535,1542419,1542419
1460471526,1563738,1563738
1460558802,1570717,1570717
1460645805,1595746,1595746
1460732952,1588508,1588508
1460863543,1572689,1572689
1460950373,1564128,1564128
1461037315,1554886,1554886
1461124306,1580976,1580976
1461211315,1559620,1559620
1461298304,1383248,1383248
1461385294,1249644,1249644
1461472317,1164970,1164970
1461559295,1135377,1135377
1461646288,1130642,1130642
1461733285,1126942,1126942
1461820126,1228835,1228835
1461907061,1327331,1327331
1461993995,1269702,1269702
1462081175,1207674,1207674
1462168286,1111225,1111225
1462255282,1107637,1107637
1462342314,1297289,1297289
1462429107,1346069,1346069
1462516002,1484288,1484288
1462602705,1544791,1544791
1462689576,1514641,1514641
1462776714,1514306,1514306
1462863710,1515713,1515713
1462950416,1682324,1682324
1463037421,1799468,1799468
1463124220,1831053,1831053
1463211241,1795362,1795362
1463298116,1778588,1778588
1463385114,1761459,1761459
1463472133,1880622,1880622
1463558945,1951283,1951283
1463645983,1949382,1949382
1463732997,1906951,1906951
1463819804,1895100,1895100
1463906433,1888040,1888040
1463993466,1872752,1872752
1464080485,1855084,1855084
1464167443,1842440,1842440
1464298260,1830820,1830820
1464385305,1716831,1716831
1464469910,1512374,1512374
1464472836,1511083,1511083
1464646609,1371738,1371738
1464733247,1366039,1366039
1464819931,1358325,1358325
1464906930,1234995,1234995
1464993950,1129877,1129877
1465080957,953832,953832
1465167981,757716,757716
1465254746,755940,755940
1465341331,766918,766918
1465428377,771790,771790
1465515316,673956,673956
1465602271,455738,455738
1465689276,367906,367906
1465776277,358094,358094
1465863239,353789,353789
1465950240,350101,350101
1466037239,278284,278284
1466124268,52125,52125
1466211264,52071,52071
1466298270,52052,52052
1466385274,52011,52011
1466472268,51929,51929
1466559288,209102,209102
1466646297,383116,383116
1466733325,524043,524043
1466820619,679428,679428
1466907633,753422,753422
1466994631,817233,817233
1467081641,945865,945865
1467168654,1108530,1108530
1467255718,1277677,1277677
1467342686,1366181,1366181
1467429732,1404660,1404660
1467516727,1442925,1442925
1467603699,1497057,1497057
1467690699,1624853,1624853
1467777779,1695015,1695015
1467864755,1755258,1755258
1467951719,1829266,1829266
1468038722,1878826,1878826
1468125727,1874293,1874293
1468212726,1891235,1891235
1468299736,1960309,1960309
1468386473,2094400,2094400
1468473179,2197824,2197824
1468560163,2288715,2288715
1468647204,2436325,2436325
1468734222,2445021,2445021
1468821186,2452854,2452854
1468908241,2557338,2557338
1468995214,2658352,2658352
1469081690,2743780,2743780
1469168649,2811339,2811339
1469255615,2769699,2769699
1469342295,2702552,2702552
1469516294,2595228,2595228
1469603301,2698227,2698227
1469690319,2714467,2714467
1469777302,2699687,2699687
1469864354,2640469,2640469
1469951366,2627339,2627339
1470038016,2613126,2613126
1470124743,2730410,2730410
1470255293,2812569,2812569
1470341960,2857534,2857534
1470472468,2919724,2919724
1470559425,2848957,2848957
1470646420,2809284,2809284
1470732835,2869680,2869680
1470906845,2903492,2903492
1471080891,2785348,2785348
1471167825,2670867,2670867
1471254853,2514089,2514089
1471341805,2573402,2573402
1471428813,2588009,2588009
1471603110,2476139,2476139
1471733644,2365689,2365689
1471820289,2294748,2294748
1471906749,2378879,2378879
1471993375,2460397,2460397
1472080088,2591172,2591172
1472166780,2595211,2595211
1472253765,2542327,2542327
1472340491,2502826,2502826
1472427178,2342204,2342204
1472513612,2476990,2476990
1472600295,2647756,2647756
1472687024,2771765,2771765
1472774013,2692250,2692250
1472948083,2380743,2380743
1473035107,2253830,2253830
1473209447,2243137,2243137
1473296278,2187819,2187819
1473383232,2115926,2115926
1473470007,2074990,2074990
1473556671,2007906,2007906
1473686656,1940784,1940784
1473773106,2103331,2103331
1473859473,2294549,2294549
1473946452,2438908,2438908
1474032886,2551291,2551291
1474119824,2541830,2541830
1474250347,2504721,2504721
1474336807,2718457,2718457
1474423168,2918494,2918494
1474509619,3034387,3034387
1474596330,3171219,3171219
1474682622,3135631,3135631
1474769246,3047823,3047823
1474899546,2887387,2887387
1474986297,3043162,3043162
1475072667,3087627,3087627
1475159394,3205831,3205831
1475246080,3126675,3126675
1475420311,3092409,3092409
1475507317,3218430,3218430
1475594338,3418116,3418116
1475681361,3615951,3615951
1477510415,2697823,2697823
1477597381,2674809,2674809
1477727602,2515693,2515693
1477814539,2339639,2339639
1477901524,2170622,2170622
1477988555,2353539,2353539
1478119375,2428636,2428636
1478206352,1791497,1791497
1478422964,2108501,2108501
1478553733,2200178,2200178
1478640467,2391172,2391172
1478727240,2632503,2632503
1478814198,2849056,2849056
1478901252,3023937,3023937
1478988232,3091706,3091706
1479075244,3101111,3101111
1479162227,3103010,3103010
1479249230,3112843,3112843
1479423223,3105189,3105189
1479510279,3121208,3121208
1479597252,3082688,3082688
1479684238,3127356,3127356
1479771287,3316185,3316185
1479858260,3441326,3441326
1479945269,3539095,3539095
1480032286,3600610,3600610
1480119292,3576864,3576864
1480206259,3454909,3454909
1480293246,3280464,3280464
1480379686,2962548,2962548
1480466669,3620028,3620028
1480553685,3644451,3644451
1480640761,3653842,3653842
1480727675,3704868,3704868
1480814674,3564615,3564615
1480901665,3391060,3391060
1480989292,3454675,3454675
1481076891,3688470,3688470
1481163882,3731924,3731924
1481250866,3709766,3709766
1481337891,3602953,3602953
1481424809,3456391,3456391
1481555026,3095171,3095171
1481642029,3476415,3476415
1481728437,3569931,3569931
1483557804,3197249,3197249
1483644797,2951636,2951636
1483731795,2793349,2793349
1483818790,2596785,2596785
1483905486,2359788,2359788
1483992177,2327798,2327798
1484078879,2015771,2015771
1484166176,2192759,2192759
1484296953,1930628,1930628
1484384016,1654835,1654835
1484470932,1446943,1446943
1484557923,1048253,1048253
1484644923,1028025,1028025
1484731925,1028123,1028123
1484818920,882651,882651
1484905903,623357,623357
1484993205,510437,510437
1485080196,504156,504156
1485167196,499235,499235
1485254202,498810,498810
1485341216,497552,497552
1485428203,486056,486056
1485515193,490782,490782
1485602211,492877,492877
1485689191,483255,483255
1485776193,472635,472635
1485863192,472177,472177
1485950193,466438,466438
1486037190,460317,460317
1486124187,452123,452123
1486211190,459958,459958
1486298189,457339,457339
1486385188,460965,460965
1486472193,463534,463534
1486559216,465349,465349
1486646493,459192,459192
1486733484,454544,454544
1486820490,446966,446966
1486907475,443362,443362
1486994471,438253,438253
1487081473,440973,440973
1487168771,440499,440499
1487255771,440161,440161
1487342760,433742,433742
1487429761,462570,462570
1487516762,480129,480129
1487603762,496973,496973
1487690759,511630,511630
1487777749,513779,513779
1487864760,506398,506398
1487951746,505611,505611
1488038751,506517,506517
1488125747,505825,505825
1488213045,507596,507596
1488300042,529050,529050
1488430839,546943,546943
1488517843,546905,546905
1488604838,553584,553584
1488691838,563850,563850
1488778837,570960,570960
1488865837,585637,585637
1488952845,596926,596926
1489039843,612812,612812
1489126848,622571,622571
1489213849,631380,631380
1489300856,641981,641981
1489387858,651556,651556
1489474865,657213,657213
1489561865,658147,658147
1489648889,666231,666231
1489735880,675019,675019
1489822886,682460,682460
1489909885,688712,688712
1489996903,691368,691368
1490084211,866696,866696
1490171217,962871,962871
1490258241,1058722,1058722
1490345260,1165457,1165457
1490431987,1246562,1246562
