DateTime,AddedIPs,RemovedIPs
1453645022,2,24
1453731421,1,2
1453817821,0,17
1453904222,3,15
1453990622,1,15
1454077022,3,42
1454163422,0,42
1454249821,3,49
1454336221,0,3
1454422622,0,4
1454509021,0,3
1454595422,0,4
1454681821,0,4
1454768222,0,5
1454854622,0,5
1454941022,0,6
1455027422,0,4
1455113821,0,4
1455200222,0,5
1455286622,0,6
1455373022,0,4
1455459422,0,4
1455545821,0,4
1455632221,0,2
1455718621,0,3
1455805021,0,6
1455891421,0,11
1455977822,0,9
1456064221,0,3
1456150621,0,3
1456237022,0,8
1456323421,0,9
1456496221,0,8
1456669022,0,9
1456841821,0,39
1457014622,0,26
1457187422,58,0
1457273822,17,0
1457360222,12,0
1457446621,17,1
1457533021,21,0
1457619421,15,0
1457705822,10,0
1457792222,14,0
1457875021,12,0
1457961422,12,0
1458047822,9,0
1458134221,2,0
1458220622,21,0
1458307022,15,1
1458393421,17,0
1458479822,9,0
1458566222,7,0
1458652622,8,0
1458739022,5,2
1458825422,7,0
1458911822,15,0
1458998222,14,0
1459084622,18,0
1459171022,12,0
1459257422,4,0
1459343823,3,0
1459430223,8,0
1459516622,23,0
1459603022,20,0
1459689422,24,0
1459775822,70,18
1459862222,7,14
1459948622,2,5
1460035022,2,20
1460121423,1,17
1460207823,2,11
1460294223,5,7
1460380623,2,19
1460467022,1,6
1460553422,3,14
1460639823,2,18
1460726223,1,4
1460812623,0,8
1460899023,1,16
1460985423,0,14
1461071823,1,10
1461158223,2,3
1461244622,2,8
1461331022,0,10
1461417423,3,9
1461503822,3,14
1461590222,0,12
1461676623,3,5
1461763022,2,16
1461849423,1,14
1461935824,1,4
1462022222,1,16
1462108623,1,11
1462195024,0,29
1462281423,1,21
1462367823,0,52
1462454223,1,3
1462627023,1,1
1462713423,0,1
1462799823,1,1
1462886223,4,0
1462972623,1,1
1463059023,2,2
1463145423,2,2
1463231823,0,1
1463318224,1,1
1463404623,0,1
1463491024,0,2
1463577423,1,0
1463663824,0,2
1463750223,0,1
1463836623,1,3
1463923023,0,1
1464009423,1,0
1464095823,0,1
1464182223,0,1
1464268624,1,0
1464355023,1,2
1464441423,1,3
1464527823,0,1
1464614224,0,1
1464700624,1,2
1464787023,0,1
1464873423,1,0
1464959824,0,2
1465046224,1,0
1465132624,1,2
1465219024,0,2
1465305424,1,2
1465391824,2,1
1465478224,1,1
1465564624,3,1
1465651024,2,1
1465737423,0,1
1465910224,1,1
1466083024,1,1
1466169423,1,0
1466255823,0,1
1466342223,1,0
1466428623,1,0
1466515024,1,0
1466601425,0,1
1466687823,1,3
1466774224,0,1
1466860623,1,2
1466947024,1,1
1467033424,1,0
1467119823,2,0
1467206223,0,2
1467292624,1,0
1467379024,1,2
1467465423,0,2
1467551824,1,1
1467638224,1,0
1467724623,1,1
1467811024,1,1
1467897423,2,1
1467983823,1,1
1468070224,0,1
1468156624,1,2
1468243024,1,1
1468329424,1,0
1468415824,1,0
1468502224,1,1
1468761424,0,1
1468847823,0,2
1468934224,0,1
1469107023,0,4
1469193424,0,1
1469279824,0,1
1469452623,0,2
1469625423,0,1
1469711824,0,1
1469798223,0,2
1469884623,0,1
1469971024,0,1
1470057423,0,1
1470143824,0,1
1470230224,0,2
1470316624,0,1
1470403024,0,2
1470489423,0,1
1470575824,0,1
1470662224,0,3
1470748623,0,3
1470835024,0,3
1470921423,0,1
1471007824,0,2
1471094223,0,1
1471180623,0,2
1471267023,0,18
1471439823,0,1
1472563024,4,3
1472649424,13,22
1472735824,6,0
1472822224,4,0
1472908624,6,0
1472995023,3,0
1473081424,5,0
1473167824,4,0
1473254224,14,0
1473340624,15,0
1473427024,13,1
1473513424,12,0
1473599824,23,0
1473686224,21,0
1473772624,10,0
1473859024,15,0
1473945424,8,0
1474031824,20,0
1474118224,24,0
1474204624,14,0
1474291024,12,0
1474463824,10,0
1474550225,15,4
1474636625,18,0
1474723024,15,2
1474809425,13,0
1474895824,11,0
1474982224,11,0
1475068624,12,5
1475155024,17,5
1475241425,12,4
1475327825,20,4
1475414225,17,4
1475500624,17,6
1475587025,16,2
1475673425,6,3
1475759824,11,3
1475846224,14,8
1475932624,6,16
1476019025,11,10
1476105424,10,9
1476191825,13,13
1476278224,13,21
1476364624,10,8
1476451025,8,6
1476537424,11,10
1476623825,13,12
1476710225,11,15
1476796624,8,12
1476883025,17,6
1476969425,11,8
1477055824,5,3
1477142225,20,10
1477228625,5,13
1477315024,4,8
1477401425,7,11
1477487825,8,21
1477574225,3,13
1477660625,5,11
1477747025,4,12
1477833425,11,15
1477919825,15,20
1478006225,11,20
1478092625,4,8
1478179025,5,15
1478265425,11,16
1478351825,10,15
1478441825,2,11
1478528224,1,13
1478614625,5,7
1478701025,5,14
1478787425,6,14
1478873825,4,14
1478960225,6,9
1479046625,6,11
1479133025,12,7
1479219425,8,13
1479305825,8,12
1479392225,9,10
1479478625,7,12
1479565025,8,16
1479651425,10,9
1479737825,1,20
1479824225,0,8
1479910625,3,4
1479997025,7,14
1480083425,10,12
1480169825,15,4
1480342621,23,12
1480429021,12,5
1480515422,13,19
1480601821,9,11
1480688222,11,9
1480774622,10,8
1480861021,7,6
1480947421,2,10
1481033821,4,5
1481120221,6,0
1481206621,9,5
1481293022,5,4
1481379422,4,7
1481465822,9,5
1481552222,4,3
1481638621,6,3
1481725021,5,7
1481811422,15,13
1481897822,25,7
1481984221,9,7
1482070621,8,14
1482157022,3,6
1482243421,6,11
1482329822,5,1
1482416222,2,0
1482502622,4,5
1482589021,7,14
1482675422,8,9
1482761822,4,13
1482848222,2,6
1482934622,2,8
1483021022,2,15
1483107422,2,16
1483193822,1,15
1483280222,3,13
1483366621,2,7
1483453022,2,8
1483539422,1,3
1483625821,2,2
1483712222,1,6
1483798622,0,6
1483885022,2,11
1483971422,1,6
1484057822,0,8
1484144222,1,4
1484230621,0,8
1484317022,1,4
1484403422,1,20
1484489821,1,16
1484576222,1,13
1484662623,0,8
1484749021,0,4
1484835422,2,6
1484921822,1,5
1485008222,1,6
1485094621,1,11
1485181021,1,10
1485267422,0,24
1485353822,0,2
1485440222,1,2
1485526622,0,2
1485613022,2,2
1485699421,1,2
1485785822,1,0
1485872222,1,2
1485958622,1,2
1486045021,1,1
1486131421,1,1
1486217822,1,1
1486304221,1,1
1486477022,1,0
1486563422,1,1
1486649822,0,1
1486736221,3,1
1486822622,2,0
1486909022,1,1
1486995421,1,0
1487081822,1,1
1487168221,2,1
1487254622,2,1
1487341022,1,0
1487427422,1,1
1487513821,1,1
1487600222,1,1
1487686622,1,0
1487773022,1,1
1487859422,2,1
1487945822,1,1
1488032221,1,1
1488118621,0,1
1488205022,1,2
1488291422,1,1
1488377822,0,1
1488464221,1,1
1488550622,1,1
1488723421,1,2
1488809822,1,1
1488896222,0,1
1488982621,1,0
1489069021,1,2
1489155422,1,1
1489241822,1,2
1489324621,1,1
1489411021,1,2
1489497422,1,2
1489583822,1,1
1489670222,1,2
1489756621,1,2
1489843022,1,1
1489929421,1,1
1490015822,1,1
1490102222,1,1
1490188622,1,1
1490275021,1,1
1490361422,1,1
1490447822,1,0
1490534222,1,2
1490620622,1,1
1490707021,1,0
1490793422,1,1
1490879821,0,1
1490966222,1,1
1491052622,2,1
1491139022,1,1
1491225421,2,1
1491311822,2,1
1491398222,0,1
1491484622,2,0
1491571022,1,1
1491657422,1,1
1491743822,2,1
1491830222,1,1
1491916622,1,1
1492003022,0,1
1492089422,1,0
1492175822,1,1
1492262221,2,1
1492348623,1,1
1492435022,1,1
1492521422,1,1
1492607822,1,1
1492694222,1,1
1492780622,1,1
1492867022,1,1
1492953422,1,1
1493039822,1,1
1493126223,0,1
1493212622,1,0
1493299022,1,1
1493385422,1,2
1493471822,1,1
1493558222,1,2
1493644622,1,2
1493731022,1,1
1493817422,1,1
1493903823,2,1
1493990222,2,0
1494076622,2,1
1494163022,0,2
1494249423,1,0
1494335823,3,1
1494422223,0,1
1494508622,0,1
1494595022,1,1
1494681422,0,1
1494767822,1,1
1494854223,1,1
