DateTime,Entries,UniqueIPs
1457222429,2549,2549
1457308826,2558,2558
1457395226,2552,2552
1457481627,2573,2573
1457568027,2580,2580
1457654442,2493,2493
1457740830,2561,2561
1457827227,2493,2493
1457913626,2427,2427
1458000031,2331,2331
1458086426,2330,2330
1458172828,2315,2315
1458259226,2242,2242
1458345626,2192,2192
1458432026,2177,2177
1458518428,2156,2156
1458604827,2048,2048
1458691228,2046,2046
1458777713,2044,2044
1458864050,2036,2036
1458950429,2081,2081
1459036829,2090,2090
1459123228,2065,2065
1459209626,2048,2048
1459296027,2082,2082
1459382426,2109,2109
1459468826,2150,2150
1459555228,2143,2143
1459641629,2157,2157
1459728028,2176,2176
1459814427,2221,2221
1459900829,2251,2251
1459987226,2306,2306
1460073626,2330,2330
1460160027,2315,2315
1460246427,2311,2311
1460332826,2270,2270
1460419226,2262,2262
1460505628,2260,2260
1460592027,2266,2266
1460678427,2291,2291
1460764828,2230,2230
1460851227,2165,2165
1460937627,2152,2152
1461024029,2134,2134
1461110427,2111,2111
1461196827,2102,2102
1461283230,2100,2100
1461369629,2071,2071
1461456030,2024,2024
1461542428,2022,2022
1461628831,2072,2072
1461715231,2095,2095
1461801687,2126,2126
1461888059,2176,2176
1461974428,2239,2239
1462060839,2256,2256
1462147232,2213,2213
1462233628,2298,2298
1462320028,2349,2349
1462406428,2344,2344
1462492828,2395,2395
1462579227,2424,2424
1462665628,2383,2383
1462752029,2349,2349
1462838436,2400,2400
1462924827,2400,2400
1463011226,2421,2421
1463097627,2300,2300
1463184028,2225,2225
1463270428,2188,2188
1463356828,2101,2101
1463443228,2056,2056
1463529643,2081,2081
1463616069,2050,2050
1463702429,1953,1953
1463788828,1952,1952
1463875229,1929,1929
1463961630,1910,1910
1464048028,1922,1922
1464134434,1902,1902
1464220832,1914,1914
1464307231,1933,1933
1464393628,1922,1922
1464480028,1931,1931
1464566436,1900,1900
1464652829,1853,1853
1464739231,1885,1885
1464825677,2011,2011
1464912127,2113,2113
1464998461,2149,2149
1465084830,2189,2189
1465171235,2160,2160
1465257650,2115,2115
1465344031,2145,2145
1465428629,2169,2169
1465515030,2175,2175
1465601430,2163,2163
1465687830,2127,2127
1465774232,2058,2058
1465860629,2094,2094
1465947045,2109,2109
1466033429,2126,2126
1466119829,2208,2208
1466206239,2318,2318
1466292634,2419,2419
1466379031,2381,2381
1466465433,2362,2362
1466551830,2402,2402
1466638230,2432,2432
1466724635,2399,2399
1466811046,2443,2443
1466897437,2455,2455
1466983831,2449,2449
1467070233,2388,2388
1467156633,2303,2303
1467243033,2287,2287
1467329433,2322,2322
1467415842,2255,2255
1467502230,2232,2232
1467588631,2209,2209
1467675031,2172,2172
1467761430,2161,2161
1467847830,2152,2152
1467934231,2054,2054
1468020658,2040,2040
1468107031,1986,1986
1468193431,2117,2117
1468279831,2146,2146
1468366231,2223,2223
1468452630,2253,2253
1468539030,2275,2275
1468625430,2248,2248
1468711831,2199,2199
1468798229,2245,2245
1468884629,2259,2259
1468971031,2306,2306
1469057431,2212,2212
1469143829,2147,2147
1469230229,2093,2093
1469316631,2055,2055
1469403030,2123,2123
1469489430,2151,2151
1469575829,2137,2137
1469662230,2215,2215
1469748630,2198,2198
1469835030,2192,2192
1469921430,2183,2183
1470007830,2183,2183
1470094231,2141,2141
1470180632,2181,2181
1470267036,2114,2114
1470353430,2026,2026
1470439831,1997,1997
1470526231,1903,1903
1470612630,1848,1848
1470699030,1818,1818
1470785434,1863,1863
1470871832,1942,1942
1470958233,1974,1974
1471044633,1976,1976
1471131060,1958,1958
1471217431,1918,1918
1471303830,1888,1888
1471390231,1897,1897
1471476635,1938,1938
1471563031,1936,1936
1471649430,1945,1945
1471735830,1870,1870
1471822230,1814,1814
1471908630,1778,1778
1471995031,1811,1811
1472081433,1867,1867
1472167831,1893,1893
1472254231,1920,1920
1472340631,1910,1910
1472427031,1892,1892
1472513430,1865,1865
1472599836,1880,1880
1472686233,1971,1971
1472772631,2150,2150
1472859031,2144,2144
1472945433,2219,2219
1473031831,2363,2363
1473118235,2468,2468
1473204631,2557,2557
1473291031,2585,2585
1473377431,2603,2603
1473463831,2601,2601
1473550231,2554,2554
1473591643,2505,2505
1473768029,2185,2185
1473854439,2022,2022
1473940830,1932,1932
1474027230,1746,1746
1474113651,1678,1678
1474200032,1612,1612
1474286436,1510,1510
1474372830,1462,1462
1474459232,1505,1505
1474545646,1673,1673
1474632034,1721,1721
1474718432,1790,1790
1474804831,1826,1826
1474891231,1873,1873
1474977631,1871,1871
1475064054,1856,1856
1475150434,1904,1904
1475236838,1938,1938
1475323233,1889,1889
1475409632,1860,1860
1475496033,1814,1814
1475582448,1850,1850
1475668836,1911,1911
1475755231,1930,1930
1475841633,1974,1974
1475928048,2081,2081
1476014432,2223,2223
1476100833,2295,2295
1476187232,2323,2323
1476273632,2344,2344
1476360049,2426,2426
1476446432,2436,2436
1476532832,2418,2418
1476619233,2409,2409
1476705632,2352,2352
1476792032,2263,2263
1476878433,2144,2144
1476964833,2129,2129
1477051241,2145,2145
1477137633,2132,2132
1477224032,2092,2092
1477310434,2112,2112
1477396848,2112,2112
1477483233,2201,2201
1477569635,2326,2326
1477656033,2478,2478
1477742433,2474,2474
1477828832,2464,2464
1477915232,2453,2453
1478001631,2532,2532
1478088032,2545,2545
1478174432,2516,2516
1478260833,2496,2496
1478347232,2472,2472
1478433632,2352,2352
1478520033,2183,2183
1478606433,2216,2216
1478692832,2219,2219
1478779247,2194,2194
1478865632,2117,2117
1478952033,2146,2146
1479038439,2169,2169
1479124844,2197,2197
1479211247,2270,2270
1479297636,2408,2408
1479384033,2452,2452
1479470448,2451,2451
1479556833,2444,2444
1479643233,2463,2463
1479729634,2521,2521
1479816038,2519,2519
1479902434,2506,2506
1479988833,2544,2544
1480075233,2512,2512
1480161633,2463,2463
1480248033,2426,2426
1480334433,2382,2382
1480420833,2476,2476
1480507233,2484,2484
1480593633,2530,2530
1480680033,2544,2544
1480766433,2573,2573
1480852834,2574,2574
1480939234,2608,2608
1481025634,2645,2645
1481113835,2720,2720
1481200235,2737,2737
1481286637,2679,2679
1481373036,2690,2690
1481459434,2629,2629
1481545840,2634,2634
1481632238,2640,2640
1481718636,2637,2637
1481805038,2606,2606
1481891435,2521,2521
1481977838,2484,2484
1482064239,2481,2481
1482150636,2488,2488
1482237036,2427,2427
1482323452,2387,2387
1482409837,2326,2326
1482496248,2291,2291
1482582641,2325,2325
1482669043,2289,2289
1482755437,2380,2380
1482841838,2366,2366
1482928240,2364,2364
1483014637,2403,2403
1483101038,2361,2361
1483187437,2288,2288
1483273852,2242,2242
1483360236,2250,2250
1483446637,2182,2182
1483533047,2255,2255
1483619449,2164,2164
1483705840,2203,2203
1483792278,2196,2196
1483878643,2184,2184
1483965038,2236,2236
1484051441,2289,2289
1484137843,2377,2377
1484224237,2431,2431
1484310654,2462,2462
1484397039,2394,2394
1484483440,2345,2345
1484569846,2300,2300
1484656244,2289,2289
1484742639,2295,2295
1484829050,2363,2363
1484915441,2341,2341
1485001841,2281,2281
1485088235,2594,2594
1485174634,2602,2602
1485261044,2645,2645
1485347437,2685,2685
1485433839,2705,2705
1485520242,2681,2681
1485606640,2634,2634
1485693038,2510,2510
1485779439,2527,2527
1485865839,2601,2601
1485952241,2451,2451
1486038646,2457,2457
1486125037,2544,2544
1486211437,2572,2572
1486297841,2597,2597
1486384242,2724,2724
1486470646,2746,2746
1486557040,2818,2818
1486643439,2828,2828
1486729841,2762,2762
1486816248,2759,2759
1486902639,2717,2717
1486989040,2568,2568
1487075436,2539,2539
1487161835,2512,2512
1487248235,2532,2532
1487334635,2613,2613
1487421036,2672,2672
1487507440,2695,2695
1487593839,2575,2575
1487680237,2626,2626
1487766638,2700,2700
1487853054,2786,2786
1487939444,2873,2873
1488025849,2897,2897
1488112261,2859,2859
1488198646,2819,2819
1488281444,2782,2782
1488367845,2755,2755
1488454260,2773,2773
1488540644,2737,2737
1488627043,2650,2650
1488713442,2516,2516
1488799844,2411,2411
1488886244,2364,2364
1488972644,2276,2276
1489059044,2213,2213
1489145444,2203,2203
1489231845,2147,2147
1489318244,2083,2083
1489404644,2046,2046
1489491043,2034,2034
1489577444,2028,2028
1489663851,2095,2095
1489750245,2136,2136
1489836643,2172,2172
1489923044,2180,2180
1490009444,2153,2153
1490095844,2202,2202
1490182245,2239,2239
1490268644,2260,2260
1490355046,2233,2233
1490441446,2252,2252
1490527846,2257,2257
1490614252,2264,2264
1490700660,2254,2254
1490787049,2273,2273
1490873459,2308,2308
1490959845,2332,2332
1491046246,2339,2339
1491132647,2353,2353
1491219050,2381,2381
1491305445,2401,2401
1491391874,2370,2370
1491478244,2408,2408
1491564649,2416,2416
1491651049,2421,2421
1491737457,2384,2384
1491823862,2343,2343
1491910253,2362,2362
1491996652,2417,2417
1492083082,2529,2529
1492169450,2578,2578
1492255856,2600,2600
1492342250,2543,2543
1492428652,2575,2575
1492515054,2585,2585
1492601466,2596,2596
1492687855,2621,2621
1492774259,2578,2578
1492860675,2577,2577
1492947054,2467,2467
1493033446,2443,2443
1493119862,2496,2496
1493206323,2511,2511
1493292665,2555,2555
1493379053,2567,2567
1493465472,2640,2640
1493551855,2662,2662
1493638259,2660,2660
1493724645,2612,2612
1493811075,2625,2625
1493897457,2640,2640
1493983851,2508,2508
1494070266,2447,2447
1494156652,2343,2343
1494243049,2308,2308
1494329461,3115,3115
1494415858,3814,3814
1494502259,3958,3958
1494588668,4073,4073
1494675050,4161,4161
1494761449,4146,4146
1494847853,4249,4249
1494934254,4527,4527
1495020658,4648,4648
1495107056,4736,4736
1495193455,4014,4014
1495279856,3458,3458
1495366258,3379,3379
1495452724,3350,3350
1495539055,3370,3370
1495625456,3450,3450
1495711858,3523,3523
1495798256,3367,3367
1495885187,3378,3378
1495971047,3390,3390
1496057455,3441,3441
1496143873,3471,3471
1496230268,3433,3433
1496316673,3345,3345
1496403051,3252,3252
1496489462,3135,3135
1496575847,3017,3017
1496662248,2887,2887
1496748647,2828,2828
1496835047,2826,2826
1496921464,2683,2683
1497007852,2550,2550
1497094257,2521,2521
1497180650,2539,2539
1497267061,2560,2560
1497353456,2583,2583
1497440042,4240,4240
1497526246,4371,4371
1497612657,6469,6469
1497699061,7275,7275
1497785454,7352,7352
1497871859,7348,7348
1497958255,7376,7376
1498044662,7412,7412
1498131047,7431,7431
1498217456,7445,7445
1498303852,5887,5887
1498390250,5820,5820
1498476651,3686,3686
1498563058,2851,2851
1498649454,2839,2839
1498735853,2908,2908
1498822255,2921,2921
1498908651,2900,2900
1498995046,2980,2980
1499081451,3049,3049
1499167850,3082,3082
1499254257,3085,3085
1499340653,3106,3106
1499427059,3081,3081
1499513453,3085,3085
1499599883,3002,3002
1499686246,2997,2997
1499774448,3036,3036
1499860846,2959,2959
1499947392,2910,2910
1500033649,4590,4590
1500120048,4742,4742
1500206448,4839,4839
1500292848,4973,4973
1500379263,4983,4983
