DateTime,Entries,UniqueIPs
1500138902,24005,24005
1500139803,23997,23997
1500140703,23947,23947
1500141603,23913,23913
1500142502,24087,24087
1500143403,24126,24126
1500144303,24128,24128
1500145202,24080,24080
1500146103,24069,24069
1500147003,24108,24108
1500147903,24129,24129
1500148803,24174,24174
1500149703,24221,24221
1500150603,24213,24213
1500151503,24237,24237
1500152403,24183,24183
1500153303,24100,24100
1500154202,24186,24186
1500155103,24108,24108
1500156003,24183,24183
1500156903,24165,24165
1500157803,24209,24209
1500158703,24232,24232
1500159603,23592,23592
1500160502,23524,23524
1500161402,23317,23317
1500162302,23314,23314
1500163203,23241,23241
1500164103,23175,23175
1500165003,22980,22980
1500165903,22716,22716
1500166803,22529,22529
1500167703,22542,22542
1500168603,22453,22453
1500169503,22321,22321
1500170403,22257,22257
1500171303,22266,22266
1500172202,22443,22443
1500173103,22716,22716
1500174002,23019,23019
1500174903,23188,23188
1500175803,23035,23035
1500176703,22816,22816
1500177602,22657,22657
1500178503,22507,22507
1500179403,22320,22320
1500180302,22111,22111
1500181203,22063,22063
1500182103,21962,21962
1500183003,22049,22049
1500183902,22083,22083
1500184803,22167,22167
1500185702,22231,22231
1500186602,22073,22073
1500187502,22008,22008
1500188403,22021,22021
1500189303,21998,21998
1500190202,21985,21985
1500191103,21906,21906
1500192003,21867,21867
1500192903,21730,21730
1500193803,21713,21713
1500194703,21728,21728
1500195603,21879,21879
1500196503,21878,21878
1500197402,21937,21937
1500198303,22076,22076
1500199203,22184,22184
1500200103,22205,22205
1500201002,22186,22186
1500201903,22132,22132
1500202802,21749,21749
1500203703,21615,21615
1500204602,21535,21535
1500205503,21447,21447
1500206403,21328,21328
1500207303,21249,21249
1500208202,21179,21179
1500209102,21277,21277
1500210003,21367,21367
1500210902,21375,21375
1500211802,21265,21265
1500212702,21194,21194
1500213602,21231,21231
1500214503,21230,21230
1500215403,21135,21135
1500216302,21004,21004
1500217202,20768,20768
1500218103,20314,20314
1500219003,19927,19927
1500219902,20009,20009
1500220802,20059,20059
1500221703,20098,20098
1500222602,20063,20063
1500223503,19960,19960
1500224402,20042,20042
1500225302,19921,19921
1500226203,19745,19745
1500227103,19566,19566
1500228002,19496,19496
1500228902,19297,19297
1500229803,19072,19072
1500230702,18980,18980
1500231602,19053,19053
1500232503,19285,19285
1500233402,19542,19542
1500234302,19926,19926
1500235203,20070,20070
1500236103,19910,19910
1500237002,19734,19734
1500237903,19560,19560
