DateTime,AddedIPs,RemovedIPs
1485759306,0,2
1485773706,2,0
1485802511,3,0
1485845707,0,6
1485860107,1,0
1485888910,2,0
1485932107,0,4
1485960909,1,0
1485975311,2,0
1485989707,4,0
1486018507,0,9
1486032907,2,0
1486047309,6,0
1486104906,0,7
1486119308,3,0
1486133707,2,0
1486148109,1,0
1486162506,7,0
1486176906,1,0
1486191306,0,8
1486277706,0,1
1486364107,0,2
1486378507,2,0
1486392906,1,0
1486421706,3,0
1486450506,0,8
1486464907,6,0
1486493713,1,0
1486508105,2,0
1486536906,1,5
1486551306,1,0
1486594506,9,0
1486623306,0,7
1486637706,1,0
1486666511,1,0
1486680908,5,0
1486695306,1,0
1486709706,0,6
1486724106,2,0
1486752910,1,0
1486767307,11,0
1486781706,2,0
1486796106,0,5
1486882505,0,1
1486968905,0,1
1486997706,3,0
1487026505,3,0
1487055306,0,8
1487069707,1,0
1487112907,6,0
1487127308,4,0
1487141708,0,10
1487156107,1,0
1487213708,1,0
1487228108,0,6
1487242508,1,0
1487271311,6,0
1487300107,1,0
1487314508,0,12
1487328908,1,0
1487343308,2,0
1487386507,1,0
1487400907,0,4
1487429708,6,0
1487544907,1,0
1487602508,1,0
1487616912,2,0
1487660108,0,8
1487674509,2,0
1487703310,2,0
1487746508,0,10
1487789710,2,0
1487804109,6,0
1487832908,0,11
1487847307,1,0
1487904908,1,0
1487919309,0,20
1487933708,2,0
1487962512,2,0
1487976908,1,0
1487991309,1,0
1488005709,0,7
1488034508,5,0
1488048910,1,0
1488120913,1,0
1488192911,2,0
1488221711,1,0
1488264909,0,4
1488279308,2,0
1488322508,1,0
1488351308,0,5
1488365709,1,0
1488380109,1,0
1488408909,1,0
1488437709,1,4
1488452109,1,0
1488466508,2,0
1488480908,2,0
1488495308,8,0
1488524108,0,8
1488552908,3,0
1488581708,3,0
1488610512,0,3
1488639308,1,0
1488696909,0,2
1488754508,2,0
1488783308,1,0
1488826507,1,0
1488840908,2,0
1488869708,1,7
1488884108,1,0
1488898508,1,0
1488941708,1,0
1488956107,0,6
1488984908,2,0
1488999310,1,0
1489013708,5,0
1489028108,1,0
1489042508,0,13
1489056909,1,0
1489071309,3,0
1489085711,2,0
1489100108,7,0
1489114508,2,0
1489128908,2,6
1489143309,3,0
1489157709,4,0
1489172108,1,0
1489186510,5,0
1489200908,8,0
1489215308,0,8
1489229709,1,0
1489244112,24,0
1489258510,2,0
1489272909,1,0
1489301709,2,1
1489359308,1,0
1489388107,0,2
1489402509,1,0
1489416909,1,0
1489431310,2,0
1489445707,4,0
1489460108,1,0
1489488908,0,9
1489503308,6,0
1489517711,1,0
1489532108,13,0
1489546508,1,0
1489560908,0,2
1489575309,1,0
1489589709,4,0
1489604111,24,0
1489632908,2,0
1489647309,0,9
1489661709,1,0
1489690511,2,0
1489704909,13,0
1489733708,0,5
1489748108,2,0
1489762509,1,0
1489776915,1,0
1489791308,5,0
1489820107,0,7
1489892233,1,0
1490007435,1,0
1490036240,1,0
1490050633,8,0
1490079433,0,3
1490093833,1,0
1490108237,1,0
1490122636,3,0
1490137033,3,0
1490180238,2,6
1490209033,1,0
1490223433,4,0
1490237833,1,0
1490266637,1,8
1490281033,1,0
1490295437,13,0
1490309833,2,0
1490324233,1,0
1490353034,1,18
1490367464,1,0
1490381835,1,0
1490396234,3,0
1490425033,0,39
1490439435,2,0
1490511433,0,9
1490525834,1,0
1490612234,8,0
1490626633,2,0
1490641036,9,0
1490655434,11,0
1490684237,0,16
1490713033,1,0
1490727437,4,0
1490741833,13,0
1490785033,4,16
1490799433,2,0
1490828233,10,0
1490842633,2,0
1490857033,26,29
1490871433,1,0
1490885833,1,0
1490900238,4,0
1490929037,5,0
1490957837,1,14
1490968636,2,0
1490997307,3,7
1491011707,18,0
1491026107,0,11
1491040506,1,12
1491112507,0,1
1491141308,1,0
1491198907,1,2
1491213308,1,0
1491242107,5,0
1491256507,6,0
1491271037,1,0
1491285438,0,10
1491342907,6,0
1491357307,1,0
1491371707,1,13
1491386108,3,0
1491400508,4,0
1491414908,5,0
1491429308,5,0
1491458108,0,15
1491472507,1,3
1491486908,1,0
1491501308,2,0
1491515707,1,0
1491530107,2,0
1491544508,0,64
1491558907,2,0
1491587708,6,0
1491602108,9,0
1491630908,0,16
1491688509,1,0
1491803707,0,3
1491847038,3,0
1491890107,0,14
1491904508,3,0
1491933307,1,0
1491947708,1,0
1491976507,0,14
1491990908,0,3
1492005308,11,0
1492019708,3,0
1492034107,2,0
1492048508,3,0
1492063036,0,10
1492120508,6,0
1492163707,1,0
1492206907,3,0
1492235707,0,9
1492408507,0,1
1492437308,1,0
1492466107,1,0
1492494908,0,8
1492523707,1,0
1492538107,1,0
1492552507,1,0
1492581307,0,8
1492595707,2,0
1492624508,1,0
1492638907,1,0
1492667707,1,9
1492710907,3,0
1492754107,0,9
1492768507,3,0
1492797306,4,0
1492811709,15,0
1492826107,1,0
1492840507,0,7
1492869308,12,0
1492926907,2,0
1493013307,0,2
1493027707,1,0
1493056507,1,0
1493070907,15,0
1493099707,0,7
1493128521,2,0
1493142907,1,0
1493157308,6,0
1493171708,3,0
1493186107,1,5
1493229307,1,0
1493243708,5,0
1493272508,0,17
1493286908,2,0
1493315707,4,0
1493330107,2,0
1493358907,0,3
1493373308,2,0
1493402107,1,0
1493416508,7,0
1493445308,0,6
1493531707,0,1
1493560507,1,0
1493632508,1,0
1493661307,1,0
1493675708,1,0
1493704507,0,8
1493718907,1,0
1493762107,4,0
1493790907,1,14
1493805308,2,0
1493834107,1,0
1493877307,0,8
1493891711,1,0
1493920507,2,0
1493949308,4,0
1493963707,0,11
1493992508,2,0
1494021308,3,0
1494050108,0,16
1494064508,1,0
1494078908,1,0
1494093307,1,0
1494208507,1,0
1494266108,3,0
1494280508,5,0
1494309308,0,12
1494338107,1,0
1494352508,1,0
1494366907,1,0
1494395708,0,6
1494410108,2,0
1494438907,1,0
1494453309,3,0
1494482107,1,15
1494510907,1,0
1494525307,1,0
1494568507,0,11
1494622507,1,0
1494636908,4,0
1494651307,3,0
1494665708,0,3
1494680108,1,0
1494766508,1,0
1494852908,1,0
1494867307,1,0
1494896107,2,0
1494924911,0,1
1494953707,1,0
1495011307,1,10
1495040108,3,0
1495054507,7,0
1495097711,0,7
1495112108,1,0
1495155307,2,0
1495184107,0,13
1495212908,11,0
1495241708,1,0
1495356907,0,1
1495428907,1,0
1495472107,1,0
1495529708,0,3
1495572908,1,0
1495616107,0,2
1495659307,1,0
1495688107,1,0
1495702508,2,3
1495731307,1,0
1495745707,1,0
1495760107,2,0
1495788907,0,7
1495803307,1,0
1495832107,1,0
1495846508,1,0
1495875308,0,16
1495968907,2,1
1496012107,1,0
1496040908,3,2
1496141708,1,6
1496170507,4,0
1496184908,1,0
1496213708,0,3
1496228107,2,0
1496242508,1,0
1496300107,0,2
1496314507,1,0
1496343307,3,0
1496357707,2,0
1496386507,0,4
1496415306,1,0
1496429707,1,0
1496472908,0,9
