DateTime,AddedIPs,RemovedIPs
1493215224,62,25
1493229623,33,13
1493244023,32,30
1493258425,38,23
1493272830,17,20
1493287224,28,47
1493301623,27,16
1493316024,24,11
1493330423,16,30
1493344824,22,15
1493359228,24,10
1493373623,9,68
1493388023,44,37
1493402423,13,22
1493416823,4,46
1493431222,39,14
1493445627,27,28
1493460023,10,34
1493474423,7,21
1493488823,14,6
1493503227,37,41
1493517623,32,6
1493532027,15,16
1493546422,2,39
1493560821,9,10
1493575229,12,5
1493589634,41,56
1493604044,23,13
1493618425,20,7
1493632822,17,11
1493647222,12,18
1493661621,10,29
1493676022,12,42
1493690419,26,3
1493704827,32,3
1493719218,31,12
1493733618,48,14
1493748020,21,41
1493762420,8,21
1493776820,23,20
1493791221,34,13
1493805621,11,14
1493820019,12,9
1493834421,10,15
1493848819,18,29
1493863219,4,29
1493877624,6,37
1493892022,10,48
1493906497,34,13
1493920819,14,9
1493935222,31,32
1493949622,4,30
1493964026,9,4
1493978422,4,12
1493992822,9,15
1494007222,12,13
1494021621,9,4
1494036021,3,10
1494050425,8,13
1494064824,1,25
1494079224,33,21
1494093622,20,22
1494108021,27,6
1494122423,21,9
1494136826,5,5
1494151223,3,13
1494165620,25,8
1494180023,10,9
1494194422,28,5
1494208823,5,7
1494223236,2,2
1494237623,4,36
1494252023,35,21
1494266422,13,22
1494280822,13,20
1494295222,14,5
1494309627,6,7
1494324022,15,20
1494338432,22,15
1494352823,17,25
1494367223,31,2
1494381622,3,1
1494396027,4,12
1494410423,2,34
1494424823,25,10
1494439223,12,19
1494453626,9,9
1494468022,5,11
1494482428,10,12
1494496821,7,26
1494511222,10,28
1494525623,26,12
1494540022,17,3
1494554423,11,4
1494568827,11,2
1494583222,11,26
1494597622,7,16
1494612027,11,6
1494626427,28,8
1494640823,15,7
1494655227,13,8
1494669624,8,25
1494684023,17,13
1494698424,10,13
1494712823,21,14
1494727223,21,10
1494741627,11,12
1494756023,4,5
1494770422,4,17
1494784822,16,24
1494799223,20,18
1494813622,11,10
1494828025,9,7
1494842423,29,18
1494856822,28,12
1494871222,23,32
1494885623,47,6
1494900024,11,10
1494914427,14,6
1494928822,13,5
1494943222,30,18
1494957656,23,15
1494972024,22,10
1494986423,11,12
1495000828,4,32
1495015224,18,26
1495029623,13,27
1495044026,19,40
1495058424,27,13
1495072825,33,9
1495087228,25,16
1495101623,16,33
1495116022,11,24
1495130424,10,19
1495144823,8,8
1495159223,5,4
1495173628,17,22
1495188022,14,17
1495202428,6,18
1495216827,13,28
1495231225,26,30
1495245625,13,20
1495260028,28,17
1495274425,5,9
1495288825,3,12
1495303226,5,10
1495317624,11,11
1495332023,8,11
1495346428,7,13
1495360824,7,7
1495375225,20,18
1495389623,18,21
1495404024,5,15
1495418423,10,25
1495432824,10,4
1495447223,10,4
1495461623,17,5
1495476027,37,11
1495490424,28,11
1495504831,14,4
1495519230,5,7
1495533624,12,26
1495546336,13,11
