DateTime,Entries,UniqueIPs
1493258433,2876,2876
1493272837,2881,2881
1493287231,2870,2870
1493301630,2850,2850
1493316031,2817,2817
1493330432,2775,2775
1493344832,2750,2750
1493359235,2701,2701
1493373630,2709,2709
1493388029,2734,2734
1493402428,2466,2466
1493416831,2737,2737
1493431229,2733,2733
1493445634,2722,2722
1493460030,2720,2720
1493474429,2731,2731
1493488832,2722,2722
1493503235,2714,2714
1493517629,2752,2752
1493532034,2739,2739
1493546429,2717,2717
1493560828,2734,2734
1493575239,2674,2674
1493589650,2648,2648
1493604068,2609,2609
1493618431,2579,2579
1493632828,2506,2506
1493647228,2508,2508
1493661627,2488,2488
1493676028,2412,2412
1493690427,2392,2392
1493704833,2392,2392
1493719224,2354,2354
1493733624,2345,2345
1493748027,2334,2334
1493762426,2359,2359
1493776827,2380,2380
1493791228,2382,2382
1493805628,2368,2368
1493820026,2353,2353
1493834430,2411,2411
1493848826,2410,2410
1493863226,2383,2383
1493877630,2386,2386
1493892028,2378,2378
1493906505,2401,2401
1493920840,2417,2417
1493935228,2416,2416
1493949629,2473,2473
1493964032,2528,2528
1493978428,2489,2489
1493992827,2083,2083
1494007227,2162,2162
1494021627,2203,2203
1494036026,2248,2248
1494050431,2316,2316
1494064830,2340,2340
1494079230,2355,2355
1494093627,2370,2370
1494108028,2364,2364
1494122428,2354,2354
1494136833,2358,2358
1494151229,2473,2473
1494165628,2445,2445
1494180029,2492,2492
1494194429,2515,2515
1494208829,2500,2500
1494223250,2536,2536
1494237629,2553,2553
1494252029,2577,2577
1494266428,2580,2580
1494280828,2585,2585
1494295229,2579,2579
1494309635,2583,2583
1494324028,2593,2593
1494338439,2552,2552
1494352832,2522,2522
1494367231,2538,2538
1494381629,2449,2449
1494396033,2410,2410
1494410430,2354,2354
1494424830,2375,2375
1494439229,2352,2352
1494453632,2391,2391
1494468029,2365,2365
1494482434,2354,2354
1494496830,2361,2361
1494511229,2384,2384
1494525628,2416,2416
1494540029,2456,2456
1494554429,2445,2445
1494568833,2464,2464
1494583228,2436,2436
1494597629,2476,2476
1494612033,2537,2537
1494626436,2606,2606
1494640829,2591,2591
1494655234,2579,2579
1494669630,2554,2554
1494684030,2526,2526
1494698430,2521,2521
1494712829,2547,2547
1494727229,2547,2547
1494741632,2518,2518
1494756029,2490,2490
1494770428,2442,2442
1494784828,2390,2390
1494799229,2379,2379
1494813628,2364,2364
1494828031,2351,2351
1494842429,2336,2336
1494856827,2322,2322
1494871228,2325,2325
1494885628,2331,2331
1494900030,2350,2350
1494914434,2352,2352
1494928827,2328,2328
1494943228,2312,2312
1494957661,2187,2187
1494972030,2373,2373
1494986429,2403,2403
1495000835,2427,2427
1495015230,2435,2435
1495029630,2442,2442
1495044035,2438,2438
1495058430,2475,2475
1495072833,2574,2574
1495087235,2623,2623
1495101630,2672,2672
1495116032,3211,3211
1495130433,3197,3197
1495144832,3230,3230
1495159233,3362,3362
1495173636,3371,3371
1495188033,3423,3423
1495202436,3431,3431
1495216836,3400,3400
1495231234,3357,3357
1495245633,3302,3302
1495260037,3252,3252
1495274431,2678,2678
1495288832,2695,2695
1495303232,2338,2338
1495317629,1923,1923
1495332031,1987,1987
1495346434,2018,2018
1495360830,2078,2078
1495375230,2113,2113
1495389629,2133,2133
1495404029,2205,2205
1495418428,2245,2245
1495432831,2286,2286
1495447230,2347,2347
1495461629,2490,2490
1495476035,2672,2672
1495490430,2698,2698
1495504842,2677,2677
1495519238,2646,2646
1495533631,2645,2645
1495546342,2646,2646
1495559424,2668,2668
1495573823,2676,2676
1495588224,2654,2654
1495602623,2632,2632
1495617023,2623,2623
1495631429,2610,2610
1495645823,2623,2623
1495660224,2667,2667
1495674624,2734,2734
1495689024,2772,2772
1495703423,2798,2798
1495717836,2818,2818
1495732225,2828,2828
1495746628,2848,2848
1495761025,2872,2872
1495775424,2871,2871
1495789825,2863,2863
1495804231,2883,2883
1495818625,2842,2842
1495833024,2810,2810
1495847442,2776,2776
1495861823,2748,2748
1495876224,2690,2690
1495897826,2640,2640
1495912225,2595,2595
1495926623,2603,2603
1495941023,2606,2606
1495955424,2579,2579
1495969823,2558,2558
1495984223,2544,2544
1495998623,2554,2554
1496013022,2551,2551
1496027422,2554,2554
1496041823,2547,2547
1496056223,2566,2566
1496070622,2600,2600
1496085022,2600,2600
1496099428,2617,2617
1496113824,2892,2892
1496128223,2891,2891
1496142624,2896,2896
1496157382,1660,1660
1496171423,2628,2628
1496185823,2639,2639
1496200223,2637,2637
1496214623,2576,2576
1496229023,2557,2557
1496243422,2522,2522
1496257823,2463,2463
1496272222,2188,2188
1496286621,2175,2175
1496301021,2169,2169
1496315421,2363,2363
1496329821,2460,2460
1496344222,2482,2482
1496358622,2505,2505
1496373023,2514,2514
1496387426,2481,2481
1496401822,2465,2465
1496416221,2489,2489
1496430622,2500,2500
1496445022,2514,2514
1496459421,2500,2500
