DateTime,AddedIPs,RemovedIPs
1448761002,28,21
1448849929,25,26
1448939912,20,20
1449030452,18,44
1449118827,26,23
1449208470,28,23
1449296342,22,21
1449384344,20,33
1449471635,19,24
1449558043,19,0
1449647123,21,0
1449736040,26,0
1449822481,23,0
1449909975,23,0
1450000473,36,0
1450088302,22,22
1450178875,23,24
1450267210,19,25
1450353631,42,23
1450440031,20,22
1450529225,21,18
1450616410,26,33
1450708581,20,36
1450796422,12,32
1450884981,22,17
1450971397,22,17
1451057799,26,16
1451146259,19,23
1451231199,25,21
1451318075,34,26
1451405372,19,21
1451492321,18,22
1451579241,19,20
1451636841,0,17
1451665637,19,0
1451752598,26,24
1451842598,31,27
1451928984,20,20
1452013764,20,17
1452101780,24,17
1452191827,20,19
1452278868,20,20
1452365123,14,20
1452451541,21,25
1452537922,24,17
1452623803,24,32
1452714315,16,25
1452801272,27,28
1452888849,17,23
1452973544,16,43
1453061078,12,12
1453151290,25,28
1453237698,18,18
1453328885,28,21
1453415536,17,16
1453501215,18,15
1453589767,17,19
1453674739,18,26
1453763076,26,13
1453853289,20,26
1453938976,41,34
1454726657,26,204
1454807530,25,21
1454892256,20,17
1454980565,15,20
1455069620,19,19
1455154573,18,19
1455243382,19,26
1455328326,22,21
1455416655,21,26
1455501143,14,21
1455590405,14,19
1455674900,16,20
1455763447,14,24
1455848169,23,25
1455936490,12,31
1456023131,41,25
1456107846,19,20
1456196408,19,24
1456284737,25,23
1456371144,28,32
1456457766,27,25
1456544655,42,41
1456697299,31,0
1456767132,21,0
1456851618,25,0
1456940174,29,0
1457024889,25,0
1457113448,23,0
1457200572,17,0
1457285055,21,0
1457371474,20,12
1457458811,49,8
1457547857,16,8
1457632330,16,13
1457721678,49,17
1457808024,23,16
1457895382,16,14
1457982060,18,16
1458070570,21,19
1458155537,24,19
1458243863,27,16
1458328595,20,21
1458415211,25,18
1458503535,24,29
1458588739,22,26
1458676577,27,43
1458765389,24,24
1458851074,23,28
1458935798,20,20
1459024587,25,31
1459109068,22,26
1459197852,20,38
1459282829,27,0
1459371874,20,44
1459458139,22,23
1459542985,19,24
1459632501,18,22
1459717468,20,25
1459802666,16,16
1459891448,20,16
1459976676,31,15
1460065458,24,49
1460150211,27,19
1460237550,24,23
1460322058,24,48
1460410117,13,23
1460496984,27,20
1460582187,27,17
1460671723,21,20
1460757149,21,24
1460842584,18,23
1460928511,19,26
1461015392,28,28
1461104256,30,25
1461190575,26,21
1461280825,15,30
1461364819,34,24
1461449298,21,21
1461537615,24,20
1461622581,21,24
1461711377,21,26
1461798245,16,18
1461882980,18,26
1461969377,14,21
1462057448,25,22
1462146012,21,16
1462232417,16,13
1462318811,28,16
1462403291,17,20
1462491613,21,19
1462576104,24,31
1462664648,21,20
1462752971,17,26
1462837454,23,28
1462925795,25,26
1463011243,17,19
1463096181,19,27
1463260095,26,25
1463348647,15,22
1463433137,22,21
1463521690,34,33
1463606657,20,0
1463695225,21,28
1463781629,16,29
1463868491,33,19
1463953218,21,25
1464043450,20,50
1464127933,15,0
1464216255,12,50
1464302891,22,0
1464387610,16,16
1464475939,13,34
1464560649,13,0
1464648979,16,11
1464733455,15,29
1464821777,13,16
1464906505,19,21
1464994845,14,28
1465079539,17,17
1465168097,14,24
1465300574,19,42
1465389131,13,16
1465473627,13,29
1465561455,19,24
1465649778,25,20
1465734503,21,25
1465823064,17,0
1465907853,16,22
1465996341,20,20
1466081540,18,25
1466166494,18,34
1466254838,24,18
1466343613,15,23
1466428346,23,12
1466516657,18,34
1466601142,10,13
1466689459,19,15
1466777778,18,12
1466862253,17,17
1466950815,19,18
1467039628,12,16
1467124340,16,7
1467209053,17,15
1467297372,14,15
1467387847,46,10
1467672268,17,79
1467757214,15,0
1467845776,20,20
1467930755,19,14
1468019547,18,11
1468102584,21,15
1468191143,19,20
1468277534,19,24
1468362256,18,22
1468451781,31,19
1468536254,26,20
1468625060,18,18
1468709552,23,16
1468796431,20,14
1468882830,21,21
1468971141,26,16
1469055864,24,21
1469144196,19,19
1469228654,30,10
1469315058,24,19
1469401695,18,20
1469490013,19,19
1469578576,23,19
1469663064,22,14
1469751401,16,15
1469835851,32,14
1469924187,26,19
1470008649,22,41
1470095299,19,0
1470181703,15,0
1470270016,24,20
1470358333,20,9
1470442833,20,21
1470531138,16,17
1470615616,16,14
1470702257,15,21
1470790573,19,20
1470874911,13,14
1470963378,13,21
1471048111,13,25
1471136451,17,30
1471224736,24,20
1471309230,23,24
1471397536,20,18
1471482033,24,20
1471570589,26,27
1471655800,19,19
1471744342,21,24
1471829060,18,27
1471917862,26,23
1472004496,24,20
1472089212,17,20
1472177802,19,20
1472262317,21,19
1472349142,22,25
1472437934,17,35
1472522472,23,22
1472610982,20,23
1472695696,21,20
1472784249,17,21
1472869467,15,24
1472957778,28,19
1473042984,11,25
1473129384,23,16
1473213856,27,18
1473302180,24,18
1473390745,22,15
1473475219,18,10
1473563779,19,17
1473648502,19,15
1473734902,19,16
1473823453,24,31
1473908449,27,22
1473996983,31,20
1474081938,21,21
1474166646,30,30
1474254982,20,21
1474343304,14,24
1474428017,32,16
1474516591,21,26
1474601303,25,22
1474687943,23,18
1474772660,13,17
1474862020,15,24
1474948343,25,18
1475036660,20,23
1475121140,16,24
1475206340,20,20
1475293215,22,25
1475381793,18,14
1475470108,32,15
1475556493,19,28
1475643137,28,18
1475730251,22,22
1475816894,22,24
1475907222,30,24
1475991614,22,18
1476076334,23,20
1476162973,23,21
1476252255,21,18
1476336774,21,21
1476423142,20,21
1476511694,34,27
1476598575,25,30
1476686888,21,21
1476771620,25,26
1476860464,25,24
1476944899,29,21
1477033456,26,31
1477118416,23,17
1477208680,44,21
1477295298,27,22
1477383851,16,19
1477470251,23,17
1477554763,20,22
1477643535,25,19
1477729932,20,18
1477817290,27,21
1477902067,40,21
1477986977,19,24
1478077261,27,34
1478160743,20,21
1478249770,22,29
1478334741,19,21
1478423309,19,23
1478508250,22,27
1478592978,24,23
1478681295,24,23
1478769861,28,23
1478856509,13,23
1478941460,20,21
1479029544,20,21
1479114263,20,28
1479207177,45,24
1479292344,22,21
1479378993,17,25
1479467551,22,25
1479553955,18,22
1479639152,17,27
1479727697,31,31
1479817944,37,43
1479902512,20,25
1479987141,15,18
1480076171,20,17
1480161381,34,18
1480246598,30,24
1480334904,18,20
1480423221,23,26
1480508439,26,42
1480616652,48,19
1480682185,13,23
1480770996,16,18
1480855534,48,21
1480944737,14,23
1481031353,14,20
1481117795,25,18
1481207544,47,23
1481292750,23,20
1481377703,23,18
1481462679,31,14
1481551298,18,18
1481640265,18,22
1481724755,14,18
1481813555,20,44
1481898268,20,18
1481986573,18,16
1482071800,19,25
1482156762,18,16
1482245564,20,20
1482332204,32,30
1482417403,26,36
1482505954,26,20
1482969864,31,125
1483035148,16,20
1483125863,15,24
1483210350,20,47
1483294828,13,15
1483383149,12,20
1483467628,17,47
1483556171,12,13
1483640905,11,16
1483729291,13,22
1490858173,49,702
1490912647,50,0
1491000971,41,0
1491086187,35,0
1491174498,39,0
1491259220,36,0
1491347350,30,0
1491432267,37,0
1491517215,45,0
1491605784,40,0
1491690506,42,0
1491779307,38,0
1491864011,33,0
1491952829,35,0
1492037533,34,0
1492122515,33,0
1492211542,29,0
1492296749,29,0
1492381947,29,0
1492470747,23,0
1492559065,31,0
1492643778,29,0
1492728494,28,0
1492817552,29,0
1492902518,22,0
1492991313,19,0
1493076263,25,0
1493163627,40,0
1493248588,20,0
1493337698,22,0
1493420908,22,0
1493507781,17,67
1493597308,21,23
1493682492,21,28
1493767538,24,28
1493856510,26,22
1493940984,22,26
1494027963,29,35
1494112830,30,42
1494201864,34,35
1494286827,38,42
1494375150,30,32
1494460111,32,27
1494545052,25,36
1494633870,27,32
1494720514,37,24
1494805933,29,27
1494894992,35,19
1494979958,22,25
1495064893,34,19
1495153695,23,28
1495238544,21,21
1495326971,19,22
1495413376,21,26
1495498569,39,17
1495587152,29,18
1495673794,36,25
1495758735,27,36
1495843722,29,18
1495932265,25,19
1496017232,34,17
1496102677,22,20
1496189546,27,24
1496278884,23,24
1496362114,24,30
1496451700,24,25
1496536109,21,25
1496624911,26,27
1496709387,28,24
1496795071,27,36
1496883868,25,41
1496968340,18,32
1497053311,21,35
1497142350,24,24
1497227060,15,24
1497315867,33,28
1497400594,16,29
1497485534,25,0
1497574094,26,54
1497659068,32,23
1497747378,29,24
1497833075,22,17
1497918750,27,0
1498007325,30,39
1498091771,30,36
1498176993,46,0
1498266269,38,73
1498351449,33,29
1498440014,35,27
1498523547,30,0
1498612836,34,60
1498697791,21,29
1498782756,23,17
1498871776,12,27
1498956743,28,25
1499044829,38,26
1499130747,22,23
1499216181,24,0
1499304987,21,57
1499389950,25,19
1499475132,24,0
1499563708,17,42
1499648892,18,23
1499737225,26,20
1499822439,29,19
1499909542,28,36
1499994751,28,21
1500083308,20,27
1500167788,25,27
1500253295,20,28
1500342270,25,25
1500427229,20,25
