DateTime,AddedIPs,RemovedIPs
1449347231,38,0
1449434204,40,38
1449521677,43,81
1449606999,42,36
1449692337,40,0
1449780335,39,42
1449866726,39,37
1449952059,38,74
1450039554,41,46
1450124846,48,0
1450220064,49,81
1450300166,45,47
1450384048,45,0
1450469620,46,45
1450559379,46,84
1450644407,44,45
1450736922,41,48
1450817171,37,0
1450905544,43,89
1450991915,35,46
1451082006,37,44
1451164215,38,45
1451247559,35,0
1451342267,37,72
1451421934,35,0
1451509234,40,38
1451595624,38,33
1451636842,0,36
1451682025,32,0
1451768966,37,32
1451854839,37,76
1451941229,38,0
1452026728,42,36
1452113192,44,35
1452200971,42,42
1452286827,41,72
1452373228,45,0
1452459634,46,41
1452546562,44,86
1452632056,37,44
1452718860,42,44
1452804948,38,0
1452888851,38,41
1452977682,37,41
1453064890,43,87
1453151291,43,0
1453237700,40,81
1453323871,47,38
1453410490,47,44
1453495207,46,37
1453580167,45,0
1453669208,45,39
1453753457,43,47
1453842019,50,43
1453929377,47,91
1454726659,47,332
1454734334,46,0
1454822897,45,0
1454907618,45,0
1454992094,41,0
1455081135,37,0
1455166098,40,0
1455254897,37,0
1455339862,37,82
1455424335,42,0
1455512650,36,77
1455598089,40,37
1455686412,40,40
1455771132,40,36
1455859689,40,0
1455944165,39,39
1456031046,34,75
1456117447,36,0
1456202409,41,40
1456291206,40,41
1456374985,41,39
1456463597,42,42
1456550659,43,74
1456696090,44,36
1456723218,41,41
1456808180,42,41
1456893371,48,0
1456980008,46,81
1457066406,42,0
1457154981,43,44
1457239929,41,47
1457328497,42,89
1457411535,47,0
1457498411,45,91
1457585295,40,45
1457674586,39,40
1457758104,43,0
1457844746,41,84
1457932130,45,0
1458016807,47,86
1458105620,43,45
1458190092,46,0
1458278415,42,46
1458365289,44,83
1458449769,48,42
1458534735,43,0
1458623063,42,87
1458711155,42,44
1458796595,42,46
1458882051,40,0
1458970351,42,90
1459055313,41,44
1459140036,41,36
1459228830,45,39
1459313563,47,0
1459399709,46,45
1459485152,42,43
1459574666,43,42
1459659621,42,45
1459744812,42,42
1459837499,41,88
1459918583,38,43
1460003788,41,0
1460092360,43,85
1460177068,37,0
1460266362,41,82
1460352059,41,44
1460436989,45,0
1460524103,41,80
1460609053,47,40
1460694985,39,0
1460784263,44,75
1460869478,38,0
1460957545,36,85
1461040600,39,0
1461127231,41,45
1461213618,45,41
1461300031,41,89
1461387871,38,0
1461476175,42,75
1461560904,42,0
1461645850,39,78
1461734409,40,43
1461821297,41,45
1461906042,44,37
1461992425,45,0
1462080740,43,42
1462165220,43,42
1462251624,44,84
1462338031,44,0
1462426345,43,85
1462510825,41,0
1462599138,44,86
1462683854,43,0
1462772177,38,88
1462856780,46,41
1462944979,37,43
1463030667,47,0
1463115378,38,39
1463260096,41,90
1463287213,42,0
1463375552,44,42
1463460012,47,39
1463548816,41,41
1463633535,37,43
1463722100,43,82
1463806574,37,0
1463895377,38,86
1463980095,44,0
1464066502,39,85
1464152908,41,0
1464237860,44,36
1464327140,40,79
1464411618,37,40
1464500181,41,40
1464584652,40,0
1464673215,44,82
1464757692,37,0
1464842650,38,38
1464931696,41,45
1465016174,41,43
1465104736,41,39
1465189451,38,34
1465320742,38,81
1465370665,41,42
1465455852,40,42
1465544416,41,39
1465628895,42,43
1465717217,40,40
1465801945,36,40
1465888583,40,0
1465977144,43,78
1466061857,37,42
1466147302,42,0
1466235618,39,76
1466320575,38,0
1466409137,37,83
1466493612,35,39
1466581937,35,0
1466666416,39,39
1466754739,38,74
1466839227,38,0
1466927779,39,72
1467012737,41,0
1467097292,43,38
1467186011,43,36
1467270495,41,39
1467358818,42,45
1467445950,37,79
1467672269,46,78
1467757215,45,46
1467841940,39,45
1467930755,38,43
1468015459,40,42
1468104252,39,44
1468188737,35,0
1468275383,42,0
1468361787,39,38
1468447266,43,73
1468535778,43,39
1468620255,38,0
1468708578,36,41
1468794495,35,75
1468878977,41,0
1468967300,43,81
