DateTime,AddedIPs,RemovedIPs
1494587435,5,10
1494592835,4,23
1494598834,7,13
1494603645,6,8
1494609035,5,7
1494612032,4,16
1494615635,2,0
1494619233,0,9
1494622836,1,6
1494627035,6,20
1494632434,3,15
1494638434,5,19
1494644435,6,0
1494648635,4,33
1494654635,2,5
1494658845,5,9
1494662432,4,0
1494666035,1,0
1494669633,5,9
1494673835,5,9
1494679835,7,7
1494684635,3,15
1494689435,7,0
1494693635,5,6
1494698436,3,7
1494705632,6,18
1494709835,3,6
1494713432,2,0
1494718835,169,4
1494725435,7,5
1494732035,7,14
1494738635,18,18
1494743435,1,7
1494748234,6,0
1494753635,7,10
1494758435,22,0
1494765035,8,11
1494770436,4,7
1494774636,9,10
1494780034,13,0
1494786035,2,7
1494790835,10,7
1494796236,9,7
1494799833,8,5
1494805235,9,3
1494811235,14,9
1494817236,9,11
1494822635,4,23
1494827435,7,8
1494832835,8,0
1494838236,9,5
1494843035,6,7
1494846632,8,0
1494853235,10,14
1494858035,8,8
1494863435,3,14
1494868238,2,8
1494874238,7,5
1494879635,8,7
1494883835,9,9
1494888035,11,11
1494891634,6,0
1494895835,8,9
1494901235,1,21
1494906035,3,4
1494911434,6,11
1494916835,6,6
1494922235,8,5
1494928236,13,11
1494934236,4,6
1494939635,4,11
1494943835,6,7
1494949235,5,1
1494954636,49,7
1494960636,38,12
1494966035,12,13
1494971436,16,8
1494976235,21,12
1494982236,5,15
1494987637,6,12
1494993035,6,0
1494998438,13,4
1495003236,12,19
1495006832,4,0
1495012835,4,14
1495017635,6,9
1495023636,3,7
1495029036,4,9
1495034435,7,16
1495039235,9,6
1495044635,7,5
1495050036,14,8
1495053632,9,0
1495058436,5,17
1495062034,2,0
1495066236,5,3
1495071634,11,7
1495077635,10,5
1495083035,7,7
1495088434,3,5
1495093235,3,16
1495099235,5,8
1495104636,12,6
1495109435,7,5
1495114834,11,5
1495120837,3,11
1495125635,8,9
1495130435,3,6
1495137633,12,21
1495141235,5,6
1495145435,3,1
1495150836,5,2
1495156835,9,7
1495162236,4,5
1495167635,5,9
1495173035,6,6
1495178435,7,4
1495183837,5,6
1495189237,8,7
1495193436,8,9
1495197635,7,7
1495203636,4,12
1495209036,2,7
1495213835,11,4
1495218635,4,8
1495225835,2,3
1495233033,18,4
1495237235,5,13
1495243235,4,14
1495248635,8,0
1495254036,4,5
1495258836,5,3
1495264235,1,0
1495267832,0,9
1495270835,4,5
1495274432,1,0
1495278035,4,6
1495281645,2,9
1495285834,1,6
1495289433,5,0
1495294235,4,10
1495297242,1,0
1495305033,9,7
1495308636,4,8
1495315832,7,3
1495323032,4,9
1495327236,3,10
1495332636,3,19
1495338636,3,8
1495343436,4,9
1495348235,7,0
1495351832,6,9
1495355435,4,0
1495360235,1,10
1495365637,2,10
1495371036,3,15
1495376450,4,3
1495381837,6,4
1495386635,6,6
1495390255,7,0
1495393232,3,10
1495397444,4,12
1495401033,3,0
1495405836,2,12
1495410035,5,0
1495416036,5,13
1495422036,2,9
1495427435,3,0
1495431636,9,35
1495436435,3,0
1495440032,4,13
1495443635,1,0
1495450832,3,11
1495455036,3,11
1495460436,3,9
1495465836,3,9
1495471235,8,7
1495474833,1,0
1495478435,3,18
1495483835,2,10
1495488635,2,9
1495492232,3,11
1495495835,3,0
1495499432,5,10
1495504236,4,6
1495509035,9,7
1495514436,5,11
1495519835,3,8
1495522832,1,0
1495526435,1,12
1495530033,1,10
1495534237,2,10
1495537833,6,0
1495540835,6,9
1495544433,4,0
1495548036,1,5
1495551645,1,0
1495555230,1,10
1495558833,1,7
1495563032,4,12
1495568432,4,17
1495573235,2,10
1495576833,4,0
1495580436,8,3
1495584635,4,7
1495590636,4,8
1495596036,3,6
1495601435,2,11
1495609232,9,9
1495612836,2,12
1495617035,9,7
1495623036,17,0
1495628436,3,13
1495634436,5,0
1495639836,3,28
1495644636,2,4
1495649436,6,4
1495653033,6,0
1495658436,9,9
1495663836,4,0
1495667432,74,15
1495672835,3,8
1495678835,1,12
1495683635,7,8
1495687233,5,0
1495692635,8,7
1495698036,6,8
1495704035,3,18
1495708835,4,0
1495714235,4,9
1495719635,3,13
1495724435,7,10
1495728032,4,5
1495731636,5,0
1495735233,2,11
1495738836,4,15
1495742433,1,0
1495746035,4,3
1495749633,3,11
1495757432,3,9
1495761035,5,14
1495767036,11,12
1495771836,5,5
1495776636,2,9
1495780835,1,10
1495784433,3,0
1495790436,1,23
1495795836,18,14
1495800636,6,10
1495806036,6,4
1495811436,8,7
1495816836,2,7
1495821635,6,7
1495825232,2,0
1495828835,4,8
1495836032,11,16
1495840235,9,8
1495845635,5,5
1495851637,1,5
1495857035,1,12
1495862435,5,6
1495867836,9,5
1495872035,3,15
1495875633,6,0
1495879237,12,11
1495882833,1,2
1495886435,3,0
1495890033,1,0
1495893636,1,0
1495897836,2,6
1495902635,6,7
1495906836,1,1
1495912836,11,18
1495917638,10,0
1495921232,2,4
1495924836,1,0
1495930235,4,1
1495933833,3,0
1495939836,0,13
1495944636,2,3
1495949435,6,4
1495953033,4,0
1495956635,1,5
1495960232,1,4
1495963236,0,9
1495967456,0,3
1495971032,1,0
1495974636,1,7
1495978836,2,3
1495983636,4,4
1495987233,7,0
