DateTime,Entries,UniqueIPs
1494582635,4462,4534
1494587435,4457,4529
1494592835,4438,4510
1494598834,4431,4504
1494603645,4427,4502
1494609035,4426,4500
1494612032,4416,4488
1494615635,4418,4490
1494619233,4409,4481
1494622836,4404,4476
1494627035,4392,4462
1494632434,4382,4450
1494638434,4368,4436
1494644435,4374,4442
1494648635,4349,4413
1494654635,4346,4410
1494658845,4342,4406
1494662432,4346,4410
1494666035,4347,4411
1494669633,4343,4407
1494673835,4339,4403
1494679835,4338,4403
1494684635,4327,4391
1494689435,4333,4398
1494693635,4332,4397
1494698436,4328,4393
1494705632,4316,4381
1494709835,4313,4378
1494713432,4315,4380
1494718835,4476,4545
1494725435,4479,4547
1494732035,4472,4540
1494738635,4471,4540
1494743435,4464,4534
1494748234,4470,4540
1494753635,4466,4537
1494758435,4486,4559
1494765035,4483,4556
1494770436,4481,4553
1494774636,4480,4552
1494780034,4492,4565
1494786035,4487,4560
1494790835,4490,4563
1494796236,4492,4565
1494799833,4495,4568
1494805235,4500,4574
1494811235,4506,4579
1494817236,4505,4577
1494822635,4486,4558
1494827435,4485,4557
1494832835,4493,4565
1494838236,4497,4569
1494843035,4496,4568
1494846632,4504,4576
1494853235,4499,4572
1494858035,4499,4572
1494863435,4488,4561
1494868238,4482,4555
1494874238,4485,4557
1494879635,4486,4558
1494883835,4486,4558
1494888035,4487,4558
1494891634,4493,4564
1494895835,4492,4563
1494901235,4473,4543
1494906035,4472,4542
1494911434,4467,4537
1494916835,4468,4537
1494922235,4469,4540
1494928236,4471,4542
1494934236,4469,4540
1494939635,4462,4533
1494943835,4460,4532
1494949235,4464,4536
1494954636,4502,4578
1494960636,4528,4604
1494966035,4526,4603
1494971436,4531,4611
1494976235,4539,4620
1494982236,4530,4610
1494987637,4524,4604
1494993035,4530,4610
1494998438,4538,4619
1495003236,4530,4612
1495006832,4533,4616
1495012835,4524,4606
1495017635,4520,4603
1495023636,4516,4599
1495029036,4511,4594
1495034435,4504,4585
1495039235,4506,4588
1495044635,4507,4590
1495050036,4514,4596
1495053632,4522,4605
1495058436,4510,4593
1495062034,4512,4595
1495066236,4514,4597
1495071634,4519,4601
1495077635,4523,4606
1495083035,4523,4606
1495088434,4521,4604
1495093235,4508,4591
1495099235,4504,4588
1495104636,4510,4594
1495109435,4511,4596
1495114834,4517,4602
1495120837,4509,4594
1495125635,4509,4593
1495130435,4506,4590
1495137633,4497,4581
1495141235,4497,4580
1495145435,4499,4582
1495150836,4502,4585
1495156835,4505,4587
1495162236,4504,4586
1495167635,4500,4582
1495173035,4500,4582
1495178435,4503,4585
1495183837,4502,4584
1495189237,4504,4585
1495193436,4503,4584
1495197635,4503,4584
1495203636,4494,4576
1495209036,4489,4571
1495213835,4495,4578
1495218635,4491,4574
1495225835,4490,4573
1495233033,4504,4587
1495237235,4495,4579
1495243235,4486,4569
1495248635,4494,4577
1495254036,4493,4576
1495258836,4494,4578
1495264235,4495,4579
1495267832,4487,4570
1495270835,4485,4569
1495274432,4486,4570
1495278035,4484,4568
1495281645,4477,4561
1495285834,4473,4556
1495289433,4478,4561
1495294235,4472,4555
1495297242,4473,4556
1495305033,4475,4558
1495308636,4471,4554
1495315832,4475,4558
1495323032,4472,4553
1495327236,4466,4546
1495332636,4451,4530
1495338636,4446,4525
1495343436,4440,4520
1495348235,4447,4527
1495351832,4445,4524
1495355435,4448,4528
1495360235,4440,4519
1495365637,4433,4511
1495371036,4421,4499
1495376450,4422,4500
1495381837,4424,4502
1495386635,4425,4502
1495390255,4431,4509
1495393232,4424,4502
1495397444,4417,4494
1495401033,4420,4497
1495405836,4410,4487
1495410035,4415,4492
1495416036,4409,4484
1495422036,4403,4477
1495427435,4404,4480
1495431636,4378,4454
1495436435,4381,4457
1495440032,4372,4448
1495443635,4373,4449
1495450832,4365,4441
1495455036,4357,4433
1495460436,4352,4427
1495465836,4346,4421
1495471235,4346,4422
1495474833,4347,4423
1495478435,4334,4408
1495483835,4326,4400
1495488635,4319,4393
1495492232,4311,4385
1495495835,4314,4388
1495499432,4310,4383
1495504236,4308,4381
1495509035,4311,4383
1495514436,4304,4377
1495519835,4300,4372
1495522832,4301,4373
1495526435,4291,4362
1495530033,4283,4353
1495534237,4275,4345
1495537833,4279,4351
1495540835,4276,4348
1495544433,4280,4352
1495548036,4276,4348
1495551645,4277,4349
1495555230,4268,4340
1495558833,4262,4334
1495563032,4254,4326
1495568432,4243,4313
1495573235,4235,4305
1495576833,4239,4309
1495580436,4243,4314
1495584635,4240,4311
1495590636,4236,4307
1495596036,4232,4304
1495601435,4223,4295
1495609232,4223,4295
1495612836,4213,4285
1495617035,4215,4287
1495623036,4231,4304
1495628436,4221,4294
1495634436,4224,4299
1495639836,4198,4274
1495644636,4197,4272
1495649436,4199,4274
1495653033,4205,4280
1495658436,4205,4280
1495663836,4209,4284
1495667432,4261,4343
1495672835,4257,4338
1495678835,4247,4327
1495683635,4246,4326
1495687233,4251,4331
1495692635,4252,4332
1495698036,4249,4330
1495704035,4235,4315
1495708835,4239,4319
1495714235,4236,4314
1495719635,4226,4304
1495724435,4223,4301
1495728032,4222,4300
1495731636,4227,4305
1495735233,4219,4296
1495738836,4209,4285
1495742433,4210,4286
1495746035,4211,4287
1495749633,4204,4279
1495757432,4198,4273
1495761035,4189,4264
1495767036,4188,4263
1495771836,4188,4263
1495776636,4181,4256
1495780835,4172,4247
1495784433,4175,4250
1495790436,4155,4228
1495795836,4156,4232
1495800636,4152,4228
1495806036,4154,4230
1495811436,4153,4231
1495816836,4147,4226
1495821635,4146,4225
1495825232,4148,4227
1495828835,4144,4223
1495836032,4140,4218
1495840235,4139,4219
1495845635,4139,4219
1495851637,4135,4215
1495857035,4125,4204
1495862435,4124,4203
1495867836,4126,4207
1495872035,4114,4195
1495875633,4120,4201
1495879237,4122,4202
1495882833,4121,4201
1495886435,4124,4204
1495890033,4125,4205
1495893636,4126,4206
1495897836,4124,4202
1495902635,4123,4201
1495906836,4123,4201
1495912836,4116,4194
1495917638,4126,4204
1495921232,4124,4202
1495924836,4125,4203
1495930235,4128,4206
1495933833,4130,4209
1495939836,4120,4196
1495944636,4119,4195
1495949435,4120,4197
1495953033,4124,4201
1495956635,4120,4197
1495960232,4117,4194
1495963236,4108,4185
1495967456,4105,4182
1495971032,4106,4183
1495974636,4100,4177
1495978836,4099,4176
1495983636,4099,4176
1495987233,4106,4183
1495990835,4105,4181
1495994433,4102,4178
1495998036,4099,4175
1496001636,4091,4167
1496005236,4092,4168
1496008833,4094,4170
1496011835,4131,4207
1496016036,4121,4197
1496019633,4124,4201
1496023835,4116,4193
1496029235,4116,4193
1496034635,4109,4186
1496039436,4109,4186
1496043032,4110,4187
1496046635,4103,4179
1496050233,4092,4167
1496053837,4096,4171
1496057433,4089,4163
1496061036,4092,4166
1496064632,4089,4162
1496068836,4081,4154
1496073636,4074,4147
1496077836,4072,4145
1496082636,4074,4147
1496086232,4077,4150
1496089836,4079,4152
1496093434,4075,4147
1496097636,4078,4151
1496101232,4080,4153
1496108436,4074,4148
1496115036,4067,4141
1496119836,4054,4128
1496124636,4053,4127
1496130035,4051,4125
1496134836,4050,4124
1496138433,4054,4128
1496142036,4051,4125
1496145633,4047,4120
1496149236,4036,4109
