DateTime,Entries,UniqueIPs
1494592835,1689,1689
1494598834,1634,1634
1494603645,1627,1627
1494609035,1604,1604
1494612032,1615,1615
1494615635,1655,1655
1494619233,1690,1690
1494622836,1729,1729
1494627035,1745,1745
1494632434,1775,1775
1494638434,1778,1778
1494644435,1702,1702
1494648635,1686,1686
1494654635,1644,1644
1494658845,1645,1645
1494662432,1672,1672
1494666035,1680,1680
1494669633,1690,1690
1494673835,1718,1718
1494679835,1672,1672
1494684635,1631,1631
1494689435,1614,1614
1494693635,1623,1623
1494698436,1663,1663
1494705632,1756,1756
1494709835,1794,1794
1494713432,1827,1827
1494718835,2012,2012
1494725435,2044,2044
1494732035,1954,1954
1494738635,1883,1883
1494743435,1849,1849
1494748234,1826,1826
1494753635,1816,1816
1494758435,1835,1835
1494765035,1777,1777
1494770436,1733,1733
1494774636,1743,1743
1494780034,1742,1742
1494786035,1778,1778
1494790835,1754,1754
1494796236,1778,1778
1494799833,1823,1823
1494805235,1872,1872
1494811235,1920,1920
1494817236,1868,1868
1494822635,1824,1824
1494827435,1772,1772
1494832835,1797,1797
1494838236,1756,1756
1494843035,1757,1757
1494846632,1757,1757
1494853235,1728,1728
1494858035,1734,1734
1494863435,1702,1702
1494868238,1700,1700
1494874238,1674,1674
1494879635,1671,1671
1494883835,1689,1689
1494888035,1712,1712
1494891634,1735,1735
1494895835,1739,1739
1494901235,1710,1710
1494906035,1671,1671
1494911434,1673,1673
1494916835,1677,1677
1494922235,1736,1736
1494928236,1784,1784
1494934236,1717,1717
1494939635,1649,1649
1494943835,1637,1637
1494949235,1621,1621
1494954636,1716,1716
1494960636,1756,1756
1494966035,1779,1779
1494971436,1838,1838
1494976235,1869,1869
1494982236,1861,1861
1494987637,1826,1826
1494993035,1798,1798
1494998438,1781,1781
1495003236,1823,1823
1495006832,1832,1832
1495012835,1821,1821
1495017635,1821,1821
1495023636,1795,1795
1495029036,1741,1741
1495034435,1685,1685
1495039235,1640,1640
1495044635,1677,1677
1495050036,1720,1720
1495053632,1753,1753
1495058436,1764,1764
1495062034,1781,1781
1495066236,1789,1789
1495071634,1824,1824
1495077635,1796,1796
1495083035,1787,1787
1495088434,1752,1752
1495093235,1738,1738
1495099235,1701,1701
1495104636,1687,1687
1495109435,1658,1658
1495114834,1638,1638
1495120837,1623,1623
1495125635,1626,1626
1495130435,1635,1635
1495137633,1662,1662
1495141235,1695,1695
1495145435,1711,1711
1495150836,1788,1788
1495156835,1792,1792
1495162236,1767,1767
1495167635,1761,1761
1495173035,1724,1724
1495178435,1734,1734
1495183837,1726,1726
1495189237,1630,1630
1495193436,1620,1620
1495197635,1631,1631
1495203636,1595,1595
1495209036,1533,1533
1495213835,1564,1564
1495218635,1597,1597
1495222233,1617,1617
1495225835,1684,1684
1495233033,1725,1725
1495237235,1733,1733
1495243235,1744,1744
1495248635,1707,1707
1495254036,1650,1650
1495258836,1636,1636
1495264235,1620,1620
1495267832,1603,1603
1495270835,1565,1565
1495274432,1578,1578
1495278035,1594,1594
1495281645,1603,1603
1495285834,1604,1604
1495289433,1577,1577
1495294235,1528,1528
1495297242,1523,1523
1495305033,1570,1570
1495308636,1620,1620
1495315832,1712,1712
1495323032,1742,1742
1495327236,1751,1751
1495332636,1741,1741
1495338636,1700,1700
1495343436,1669,1669
1495348235,1680,1680
1495351832,1734,1734
1495355435,1768,1768
1495360235,1798,1798
1495365637,1765,1765
1495371036,1702,1702
1495376450,1646,1646
1495381837,1633,1633
1495386635,1633,1633
1495390255,1644,1644
1495393232,1648,1648
1495397444,1690,1690
1495401033,1730,1730
1495405836,1777,1777
1495410035,1795,1795
1495416036,1768,1768
1495422036,1727,1727
1495427435,1642,1642
1495431636,1622,1622
1495436435,1620,1620
1495440032,1620,1620
1495443635,1632,1632
1495450832,1627,1627
1495455036,1602,1602
1495460436,1586,1586
1495465836,1568,1568
1495471235,1582,1582
1495474833,1594,1594
1495478435,1600,1600
1495483835,1610,1610
1495488635,1594,1594
1495492232,1596,1596
1495495835,1606,1606
1495499432,1636,1636
1495504236,1641,1641
1495509035,1629,1629
1495514436,1614,1614
1495519835,1595,1595
1495522832,1602,1602
1495526435,1603,1603
1495530033,1593,1593
1495534237,1593,1593
1495537833,1587,1587
1495540835,1551,1551
1495544433,1551,1551
1495548036,1527,1527
1495551645,1545,1545
1495555230,1556,1556
1495558833,1579,1579
1495563032,1578,1578
1495568432,1577,1577
1495573235,1587,1587
1495576833,1642,1642
1495580436,1708,1708
1495584635,1748,1748
1495590636,1719,1719
1495596036,1655,1655
1495601435,1601,1601
1495609232,1621,1621
1495612836,1651,1651
1495617035,1677,1677
1495623036,1748,1748
1495628436,1772,1772
1495634436,1720,1720
1495639836,1700,1700
1495644636,1665,1665
1495649436,1686,1686
1495653033,1721,1721
1495658436,1732,1732
1495663836,1747,1747
1495667432,1811,1811
1495672835,1813,1813
1495678835,1782,1782
1495683635,1760,1760
1495687233,1751,1751
1495692635,1780,1780
1495698036,1762,1762
1495704035,1755,1755
1495708835,1701,1701
1495714235,1671,1671
1495719635,1624,1624
1495724435,1616,1616
1495728032,1641,1641
1495731636,1645,1645
1495735233,1666,1666
1495738836,1690,1690
1495742433,1700,1700
1495746035,1717,1717
1495749633,1735,1735
1495757432,1766,1766
1495761035,1795,1795
1495767036,1789,1789
1495771836,1774,1774
1495776636,1738,1738
1495780835,1739,1739
1495784433,1729,1729
1495790436,1705,1705
1495795836,1691,1691
1495800636,1645,1645
1495806036,1618,1618
1495811436,1621,1621
1495816836,1604,1604
1495821635,1620,1620
1495825232,1625,1625
1495828835,1651,1651
1495836032,1764,1764
1495840235,1819,1819
1495845635,1840,1840
1495851637,1800,1800
1495857035,1754,1754
1495862435,1734,1734
1495867836,1715,1715
1495872035,1686,1686
1495875633,1696,1696
1495879237,1746,1746
1495882833,1769,1769
1495886435,1772,1772
1495890033,1808,1808
1495893636,1814,1814
1495897836,1813,1813
1495902635,1817,1817
1495906836,1817,1817
1495912836,1765,1765
1495917638,1775,1775
1495921232,1796,1796
1495924836,1813,1813
1495930235,1823,1823
1495933833,1810,1810
1495939836,1746,1746
1495944636,1681,1681
1495949435,1648,1648
1495953033,1619,1619
1495956635,1599,1599
1495960232,1609,1609
1495963236,1619,1619
1495967456,1610,1610
1495971032,1588,1588
1495974636,1590,1590
1495978836,1532,1532
1495983636,1520,1520
1495987233,1553,1553
1495990835,1544,1544
1495994433,1571,1571
1495998036,1596,1596
1496001636,1618,1618
1496005236,1631,1631
1496008833,1637,1637
1496011835,1671,1671
1496016036,1691,1691
1496019633,1724,1724
1496023835,1715,1715
1496029235,1697,1697
1496034635,1663,1663
1496039436,1670,1670
1496043032,1641,1641
1496046635,1614,1614
1496050233,1615,1615
1496053837,1607,1607
1496057433,1639,1639
1496061036,1659,1659
1496064632,1682,1682
1496068836,1668,1668
1496073636,1668,1668
1496077836,1674,1674
1496082636,1689,1689
1496086232,1709,1709
1496089836,1743,1743
1496093434,1795,1795
1496097636,1865,1865
1496101232,1895,1895
1496108436,1886,1886
1496115036,1763,1763
1496119836,1690,1690
1496124636,1676,1676
1496130035,1620,1620
1496134836,1586,1586
1496138433,1581,1581
1496142036,1580,1580
1496145633,1578,1578
1496149236,1575,1575
1496152833,1563,1563
1496156435,1552,1552
1496160033,1551,1551
1496163635,1555,1555
1496167233,1647,1647
1496174434,1694,1694
1496178637,1693,1693
1496182233,1672,1672
1496187036,1686,1686
1496191235,1691,1691
1496197235,1685,1685
1496202635,1560,1560
1496207435,1519,1519
1496210432,1496,1496
1496213435,1485,1485
1496217034,1476,1476
1496220636,1485,1485
1496224835,1525,1525
1496228433,1557,1557
1496232036,1564,1564
1496236235,1519,1519
1496241635,1535,1535
1496246436,1526,1526
1496250032,1546,1546
1496253635,1545,1545
1496257233,1585,1585
1496260837,1588,1588
1496264433,1601,1601
1496268036,1605,1605
1496271634,1649,1649
1496275236,1682,1682
1496279435,1710,1710
1496285436,1679,1679
1496290836,1639,1639
1496295636,1560,1560
1496298633,1567,1567
1496302836,1576,1576
1496306433,1564,1564
1496309435,1605,1605
1496313034,1638,1638
1496317237,1623,1623
1496323236,1596,1596
1496328036,1552,1552
1496333435,1537,1537
1496335832,1548,1548
1496343633,1639,1639
1496347236,1727,1727
1496350833,1783,1783
1496354436,1821,1821
1496358636,1840,1840
1496364635,1814,1814
1496370635,1739,1739
1496375435,1668,1668
1496380835,1605,1605
1496385036,1572,1572
1496388633,1539,1539
1496392237,1567,1567
1496395852,1571,1571
1496399434,1577,1577
1496403636,1556,1556
1496407835,1515,1515
1496412635,1465,1465
1496418035,1420,1420
1496420432,1449,1449
1496424636,1518,1518
1496428233,1581,1581
1496432436,1611,1611
1499845236,1304,1304
1499852436,1245,1245
1499857235,1134,1134
1499862037,1170,1170
1499867435,1195,1195
1499873436,1141,1141
1499878237,1127,1127
1499883636,1150,1150
1499888436,1227,1227
1499894437,1322,1322
1499900437,1332,1332
1499905835,1306,1306
1499911236,1285,1285
1499916636,1224,1224
1499921435,1205,1205
1499926840,1211,1211
1499932253,1239,1239
1499937636,1202,1202
1499943036,1145,1145
1499948435,1140,1140
1499953836,1152,1152
1499959236,1127,1127
1499964636,1107,1107
1499970036,1144,1144
1499975454,1210,1210
1499980236,1247,1247
1499986237,1240,1240
1499991636,1254,1254
1499997636,1249,1249
1500003036,1184,1184
1500007836,1149,1149
1500013236,1155,1155
1500018035,1179,1179
1500024036,1162,1162
1500029436,1151,1151
1500034836,1124,1124
1500040237,1125,1125
1500045636,1112,1112
1500051036,1106,1106
1500056436,1167,1167
1500061236,1233,1233
1500067237,1318,1318
1500073237,1323,1323
1500078036,1324,1324
1500083437,1315,1315
1500089436,1271,1271
