DateTime,AddedIPs,RemovedIPs
1491292221,43,0
1491303620,13,28
1491314421,13,22
1491324622,8,23
1491340219,23,23
1491351021,6,62
1491362418,25,30
1491372618,35,22
1491384021,32,21
1491396021,19,21
1491408620,19,18
1491418221,18,20
1491428421,32,12
1491439818,18,20
1491450619,9,31
1491465021,17,11
1491475821,21,18
1491486620,30,29
1491497420,19,17
1491508219,16,27
1491519619,21,10
1491529818,9,31
1491540620,13,21
1491551421,11,21
1491562221,7,19
1491572423,13,18
1491583820,7,10
1491597618,24,23
1491608419,17,37
1491619819,9,19
1491633017,15,66
1491644420,13,25
1491658820,10,19
1491667820,3,16
1491678619,17,20
1491690619,18,37
1491702018,12,47
1491713418,14,27
1491723621,15,25
1491735620,23,29
1491745820,16,17
1491756620,22,23
1491767419,16,17
1491777621,37,35
1491789019,20,31
1491800418,42,39
1491810620,11,22
1491821420,18,0
1491832220,8,25
1491842420,30,25
1491853820,7,30
1491864620,10,25
1491879018,22,32
1491889218,25,49
1491901221,18,24
1491915020,22,35
1491925822,23,31
1491937219,42,31
1491947419,18,12
1491957619,34,14
1491969618,13,13
1491979818,29,28
1491991221,14,21
1492002020,21,33
1492012219,11,29
1492023020,14,0
1492033219,26,43
1492044619,14,35
1492055420,17,27
1492065618,16,33
1492077021,25,0
1492087821,22,40
1492099221,23,22
1492110020,11,20
1492120219,12,29
1492131019,15,17
1492141818,10,15
1492152018,16,13
1492163421,16,23
1492174221,15,16
1492185022,7,15
1492195822,21,18
1492206620,25,14
1492218019,23,14
1492228819,10,14
1492239020,23,7
1492249821,14,12
1492261221,19,10
1492271421,4,0
1492282220,10,8
1492293020,15,11
1492303819,13,11
1492314618,16,13
1492325419,14,12
1492336223,14,16
1492346421,8,13
1492357820,7,18
1492368019,9,14
1492379420,15,21
1492389619,4,29
1492400419,9,23
1492414822,14,27
1492425621,9,37
1492437021,15,33
1492447821,13,33
1492458021,14,23
1492468819,93,0
1492480819,46,19
1492491020,13,12
1492501822,17,18
1492512621,10,17
1492523420,28,26
1492534221,13,16
1492545620,17,14
1492555820,8,21
1492567219,15,12
1492578018,10,23
1492588222,13,11
1492598421,16,13
1492609821,15,16
1492620021,17,10
1492630821,14,10
1492642220,16,18
1492653620,12,16
1492663819,10,16
1492674021,17,10
1492685421,16,9
1492696221,8,17
1492706421,8,10
1492717220,21,20
1492728020,11,10
1492740019,14,18
1492750219,14,10
1492761022,12,16
1492771821,16,18
1492782621,16,21
1492793421,9,13
1492804220,14,13
1492814420,24,27
1492827021,16,13
1492840819,9,16
1492851622,13,14
1492861822,19,13
1492872021,9,12
1492883421,12,12
1492894221,9,14
1492904421,15,16
1492917619,11,10
1492930219,8,10
1492941022,5,31
1492951822,12,10
1492962623,16,11
1492972821,19,0
1492983621,10,22
1492995020,11,0
1493006420,9,34
1493016019,11,20
1493029820,7,0
1493041221,14,9
1493055021,15,14
1493065221,4,25
1493075420,16,13
1493085019,9,11
1493095819,14,0
1493110221,8,34
1493120422,6,13
1493131821,10,13
1493145019,15,16
1493158219,12,19
1493169619,15,12
1493181020,11,22
1493194220,10,9
1493205021,11,27
1493215821,6,18
1493226621,11,12
1493237421,12,6
1493251819,20,15
1493263819,12,10
1493278222,14,12
1493292621,12,8
1493302821,11,23
1493316619,11,9
1493328020,12,8
1493342419,14,12
1493352619,19,16
1493363421,18,14
1493374821,17,18
1493385621,12,13
1493396421,13,13
1493406621,16,13
1493421020,15,28
1493432419,6,26
1493442619,8,10
1493453421,7,0
1493467819,21,18
1493479221,7,18
1493489420,14,12
1493503819,25,10
1493515819,8,20
1493528418,6,25
1493538022,17,6
1493549422,11,6
1493560221,10,15
1493571021,14,5
1493581820,13,9
1493592020,7,11
1493603419,34,17
1493614819,15,10
1493625021,6,26
1493635222,7,17
1493646621,15,18
1493656820,7,19
1493671219,3,0
1493684421,15,15
1493695820,10,14
1493706019,6,8
1493716821,13,11
1493727621,9,7
1493738421,2,9
1493752219,16,14
1493764820,14,7
1493775620,4,16
1493786423,69,14
1493797221,8,10
1493808621,19,0
1493819422,7,15
1493829621,14,14
1493841021,15,8
1493854819,9,17
1493866219,7,16
1493877019,3,18
1493887221,7,19
1493897421,7,9
1493907620,7,7
1493917820,267,11
1493929821,27,0
1493939420,113,16
1493952020,30,10
1493966419,61,11
1493978422,37,15
1493989222,16,11
1494000021,26,8
1494010221,17,14
1494021021,24,10
1494033021,39,8
1494041420,3,11
1494054021,15,12
1494064221,4,9
1494075021,12,9
1494085820,8,3
1494096020,7,8
1494106823,17,15
1494116419,6,0
1494127819,7,16
1494138619,8,8
1494148822,16,8
1494160222,7,15
1494170422,5,11
1494181221,11,9
1494192022,8,12
1494206420,8,7
1494217820,11,12
1494229823,6,17
1494240622,7,10
1494250822,6,27
1494262222,11,0
1494272427,9,29
1494283227,6,0
1494294626,11,11
1494305426,9,17
1494316229,2,11
1494326429,4,25
1494337828,16,17
1494351628,18,12
1494363028,7,12
1494377426,16,5
1494388827,4,17
1494399629,3,49
1494409228,10,54
1494420628,24,13
1494430827,6,20
1494442228,9,17
1494452427,9,23
1494463826,6,12
1494475826,10,17
1494485425,7,12
1494495628,7,17
1494506429,3,15
1494518428,7,11
1494531626,21,27
1494544826,7,29
1494555626,9,81
1494567026,8,0
1494576629,5,33
1494587429,8,33
1494598828,11,21
1494612027,9,22
1494622828,5,15
1494632426,11,33
1494644427,7,18
1494658839,11,38
1494673829,11,30
1494684629,8,16
1494698429,12,13
1494709828,7,22
1494718827,172,3
1494732026,13,17
1494743426,21,13
1494753628,11,30
1494765028,27,9
1494774628,10,17
1494786028,15,0
1494799826,23,30
1494811226,23,24
1494822625,13,0
1494832829,13,28
1494846626,20,0
1494858028,14,31
1494868227,6,11
1494879627,15,16
1494891625,24,16
1494906026,13,21
1494916826,8,15
1494928229,17,17
1494939628,8,13
1494949228,11,13
1494960628,84,25
1494971428,26,19
1494982226,26,20
1494993027,10,18
1495006827,20,0
1495017629,9,33
1495029029,8,24
1495039228,18,9
1495053626,29,13
1495066227,13,8
1495077627,20,13
1495088425,8,11
1495099230,7,16
1495109429,17,11
1495120829,13,13
1495134628,13,17
1495145428,13,13
1495156827,9,11
1495167627,5,15
1495178428,10,7
1495189231,10,14
1495203628,15,14
1495213828,12,17
1495225827,7,9
1495237227,25,10
1495248626,10,18
1495258826,9,7
1495270829,5,16
1495281639,5,10
1495294228,9,15
1495308628,13,11
1495323026,12,10
1495332627,4,23
1495343426,8,19
1495355429,10,16
1495365630,4,12
1495376438,7,15
1495390248,16,10
1495401026,9,24
1495410027,7,15
1495422027,5,20
1495436429,9,32
1495450827,8,23
1495460429,6,16
1495474826,11,16
1495488627,7,44
1495499425,7,18
1495509026,8,19
1495522827,5,0
1495534230,5,37
1495548029,12,13
1495558826,4,15
1495573227,7,22
1495584626,14,10
1495596027,5,16
1495609228,10,24
1495623030,28,14
1495634429,7,31
1495644629,5,10
1495658428,18,19
1495672827,82,0
1495687225,12,31
1495698029,15,16
1495708829,7,20
1495719629,8,21
1495731628,14,26
1495746028,13,17
1495757426,5,17
1495771827,17,17
1495784428,8,11
1495795830,19,43
1495806029,7,11
1495816829,10,0
1495828828,9,14
1495840227,17,20
1495851629,6,12
1495862427,7,16
1495875628,19,13
1495890027,13,14
1495902628,9,10
1495912828,12,18
1495924828,12,0
1495933826,7,9
1495944627,2,10
1495956629,5,7
1495971027,4,14
1495983629,6,28
1495998028,9,10
1496011827,34,12
1496023827,6,16
1496034627,7,23
1496046629,10,20
1496061029,11,23
1496073629,9,19
1496086227,12,12
1496097628,19,10
1496108427,5,16
1496119828,9,19
1496130029,6,11
1496142030,6,19
1496156429,8,12
1496167227,13,11
1496178629,7,8
1496191227,6,15
1496202627,2,11
1496217028,13,11
1496228427,6,13
1496241629,13,14
1496253628,3,19
1496268028,7,18
1496279427,17,27
1496290827,5,13
1496302830,7,0
1496317230,17,16
1496328029,8,26
1496343627,9,18
1496354428,13,9
1496364628,3,26
1496375427,7,20
1496388628,16,0
1496399429,9,8
1496412628,6,26
1496424629,14,14
1496432428,7,16
1499852431,623,2481
1499867430,344,0
1499878230,139,0
1499888429,186,0
1499900430,166,0
1499911228,130,0
1499921428,76,0
1499932231,120,0
1499943030,59,0
1499953830,57,0
1499964629,83,0
1499975447,94,0
1499986230,51,0
1499997628,73,0
1500007828,44,0
1500018030,56,0
1500029430,49,0
1500040230,41,0
1500051030,27,0
1500061229,69,0
1500073230,65,0
1500083429,35,0
1500094828,11,0
1500105630,32,0
1500115830,30,0
1500126629,29,0
1500137429,21,0
1500148229,26,0
1500159028,21,0
1500170428,22,0
1500181228,16,0
1500192030,14,0
1500202831,17,0
1500213630,17,0
1500223830,14,0
1500234629,17,0
1500245430,21,0
1500256228,22,0
1500267028,8,0
1500277230,11,0
1500289230,14,0
1500300038,23,0
1500309629,16,0
1500321030,9,0
1500331228,9,0
1500343228,11,0
1500354028,8,0
1500364232,7,0
1500375031,4,0
1500386430,10,0
