DateTime,Entries,UniqueIPs
1491324622,3833,3895
1491340219,3833,3895
1491351021,3786,3839
1491362418,3780,3834
1491372618,3787,3847
1491384021,3797,3858
1491396021,3794,3856
1491408620,3794,3857
1491418221,3794,3855
1491428421,3813,3875
1491439818,3811,3873
1491450619,3789,3851
1491465021,3791,3857
1491475821,3795,3860
1491486620,3795,3861
1491497420,3798,3863
1491508219,3786,3852
1491519619,3796,3863
1491529818,3773,3841
1491540620,3765,3833
1491551421,3755,3823
1491562221,3743,3811
1491572423,3739,3806
1491583820,3737,3803
1491597618,3735,3804
1491608419,3713,3784
1491619819,3703,3774
1491633017,3653,3723
1491644420,3641,3711
1491658820,3633,3702
1491667820,3621,3689
1491678619,3618,3686
1491690619,3599,3667
1491702018,3567,3632
1491713418,3557,3619
1491723621,3548,3609
1491735620,3543,3603
1491745820,3543,3602
1491756620,3542,3601
1491767419,3542,3600
1491777621,3537,3602
1491789019,3527,3591
1491800418,3528,3594
1491810620,3518,3583
1491821420,3535,3601
1491832220,3518,3584
1491842420,3520,3589
1491853820,3497,3566
1491864620,3483,3551
1491879018,3473,3541
1491889218,3449,3517
1491901221,3443,3511
1491915020,3430,3498
1491925822,3422,3490
1491937219,3434,3501
1491947419,3440,3507
1491957619,3459,3527
1491969618,3459,3527
1491979818,3461,3528
1491991221,3449,3521
1492002020,3433,3509
1492012219,3415,3491
1492023020,3428,3505
1492033219,3411,3488
1492044619,3391,3467
1492055420,3382,3457
1492065618,3371,3440
1492077021,3396,3465
1492087821,3382,3447
1492099221,3384,3448
1492110020,3374,3439
1492120219,3358,3422
1492131019,3355,3420
1492141818,3348,3415
1492152018,3350,3418
1492163421,3342,3411
1492174221,3339,3410
1492185022,3331,3402
1492195822,3334,3405
1492206620,3344,3416
1492218019,3352,3425
1492228819,3346,3421
1492239020,3359,3437
1492249821,3359,3439
1492261221,3368,3448
1492271421,3372,3452
1492282220,3374,3454
1492293020,3377,3458
1492303819,3378,3460
1492314618,3381,3463
1492325419,3383,3465
1492336223,3380,3463
1492346421,3377,3458
1492357820,3367,3447
1492368019,3361,3442
1492379420,3354,3436
1492389619,3333,3411
1492400419,3322,3397
1492414822,3309,3384
1492425621,3281,3356
1492437021,3264,3338
1492447821,3246,3318
1492458021,3238,3309
1492468819,3329,3402
1492480819,3354,3429
1492491020,3355,3430
1492501822,3353,3429
1492512621,3346,3422
1492523420,3348,3424
1492534221,3344,3421
1492545620,3347,3424
1492555820,3335,3411
1492567219,3338,3414
1492578018,3325,3401
1492588222,3327,3403
1492598421,3329,3406
1492609821,3326,3405
1492620021,3333,3412
1492630821,3337,3416
1492642220,3335,3414
1492653620,3331,3410
1492663819,3324,3404
1492674021,3330,3411
1492685421,3337,3418
1492696221,3326,3409
1492706421,3324,3407
1492717220,3320,3408
1492728020,3321,3409
1492740019,3318,3405
1492750219,3321,3409
1492761022,3321,3405
1492771821,3324,3403
1492782621,3318,3398
1492793421,3316,3394
1492804220,3317,3395
1492814420,3316,3392
1492827021,3319,3395
1492840819,3311,3388
1492851622,3310,3387
1492861822,3318,3393
1492872021,3314,3390
1492883421,3313,3390
1492894221,3312,3385
1492904421,3311,3384
1492917619,3312,3385
1492930219,3310,3383
1492941022,3285,3357
