DateTime,AddedIPs,RemovedIPs
1491351021,143,95
1491362418,192,155
1491372618,176,117
1491384021,262,179
1491396021,124,153
1491408620,150,212
1491418221,139,173
1491428421,233,190
1491439818,164,143
1491450619,165,221
1491465021,152,185
1491475821,204,207
1491486620,133,165
1491497420,204,212
1491508219,148,129
1491519619,239,223
1491529818,103,163
1491540620,143,175
1491551421,126,121
1491562221,175,199
1491572423,141,142
1491583820,140,168
1491597618,187,189
1491608419,235,180
1491619819,90,145
1491633017,184,199
1491644420,119,100
1491658820,193,232
1491667820,49,88
1491678619,191,167
1491690619,153,97
1491702018,243,145
1491713418,129,124
1491723621,192,172
1491735620,186,126
1491745820,173,226
1491756620,165,154
1491767419,206,202
1491777621,225,147
1491789019,230,205
1491800418,187,197
1491810620,180,191
1491821420,162,227
1491832220,134,231
1491842420,165,184
1491853820,125,133
1491864620,144,160
1491879018,201,213
1491889218,142,128
1491901221,205,159
1491915020,238,172
1491925822,223,222
1491937219,146,168
1491947419,167,196
1491957619,214,139
1491969618,162,173
1491979818,218,207
1491991221,124,132
1492002020,201,192
1492012219,115,139
1492023020,196,208
1492033219,151,115
1492044619,188,200
1492055420,140,172
1492065618,178,184
1492077021,223,137
1492087821,176,146
1492099221,192,213
1492110020,153,188
1492120219,198,238
1492131019,121,130
1492141818,162,212
1492152018,142,132
1492163421,191,172
1492174221,152,165
1492185022,174,163
1492195822,212,160
1492206620,243,157
1492218019,230,222
1492228819,135,228
1492239020,205,184
1492249821,183,221
1492261221,192,238
1492271421,133,146
1492282220,193,177
1492293020,190,168
1492303819,196,212
1492314618,157,164
1492325419,162,189
1492336223,180,179
1492346421,160,220
1492357820,140,159
1492368019,181,119
1492379420,222,156
1492389619,143,184
1492400419,187,165
1492414822,191,221
1492425621,152,204
1492437021,154,153
1492447821,161,184
1492458021,166,153
1492468819,298,170
1492480819,202,151
1492491020,170,167
1492501822,140,157
1492512621,186,179
1492523420,166,152
1492534221,190,219
1492545620,221,181
1492555820,191,175
1492567219,194,238
1492578018,140,192
1492588222,207,184
1492598421,150,142
1492609821,188,208
1492620021,206,180
1492630821,170,184
1492642220,220,191
1492653620,207,173
1492663819,147,209
1492674021,190,174
1492685421,180,209
1492696221,121,187
1492706421,171,183
1492717220,250,162
1492728020,231,146
1492740019,232,220
1492750219,157,247
1492761022,227,178
1492771821,228,186
1492782621,227,176
1492793421,220,200
1492804220,248,226
1492814420,320,221
1492827021,218,232
1492840819,156,355
1492851622,220,206
1492861822,216,193
1492872021,172,213
1492883421,216,188
1492894221,208,193
1492904421,301,170
1492917619,226,263
1492930219,145,343
1492941022,164,167
1492951822,236,167
1492962623,170,267
1492972821,170,190
1492983621,221,146
1492995020,239,152
1493006420,207,235
1493016019,124,177
1493029820,236,258
1493041221,289,140
1493055021,255,333
1493065221,130,197
1493075420,203,196
1493085019,151,129
1493095819,152,244
1493110221,234,221
1493120422,198,190
1493131821,133,204
1493145019,259,207
1493158219,256,197
1493169619,239,170
1493181020,183,286
1493194220,188,241
1493205021,199,194
1493215821,141,202
1493226621,211,190
1493237421,248,163
1493251819,368,280
1493263819,224,305
1493278222,182,265
1493292621,266,238
1493302821,224,204
1493316619,249,194
1493328020,287,209
1493342419,327,290
1493352619,171,205
1493363421,220,209
1493374821,228,215
1493385621,231,221
1493396421,180,192
1493406621,211,269
1493421020,328,271
1493432419,147,203
1493442619,221,220
1493453421,251,264
1493467819,313,248
1493479221,213,228
1493489420,215,193
1493503819,460,245
1493515819,195,239
1493528418,179,307
1493538022,256,230
1493549422,206,210
1493560221,207,261
1493571021,256,233
1493581820,230,169
1493592020,222,183
1493603419,231,220
1493614819,255,242
1493625021,159,225
1493635222,185,258
1493646621,255,288
1493656820,177,189
1493671219,304,246
1493684421,406,273
1493695820,219,292
1493706019,153,204
1493716821,222,242
1493727621,208,311
1493738421,156,259
1493752219,248,234
1493764820,289,209
1493775620,242,178
