DateTime,Entries,UniqueIPs
1494257703,299,299
1494261303,298,298
1494264903,298,298
1494268502,298,298
1494272103,296,296
1494275703,298,298
1494279303,299,299
1494282903,300,300
1494286502,300,300
1494290103,300,300
1494293703,300,300
1494297302,300,300
1494300903,300,300
1494304502,300,300
1494308102,300,300
1494311703,299,299
1494315303,300,300
1494318962,300,300
1494322743,300,300
1494326343,300,300
1494330002,299,299
1494333842,299,299
1494337682,299,299
1494341523,299,299
1494345662,298,298
1494349442,300,300
1494353283,300,300
1494357182,300,300
1494360963,300,300
1494364802,300,300
1494368643,300,300
1494372482,299,299
1494376323,300,300
1494380163,298,298
1494384002,299,299
1494387843,297,297
1494391683,297,297
1494395522,296,296
1494399362,298,298
1494403263,297,297
1494407042,298,298
1494410882,300,300
1494414723,300,300
1494418563,300,300
1494422402,300,300
1494426243,298,298
1494430082,297,297
1494434163,298,298
1494438062,299,299
1494441843,299,299
1494445683,300,300
1494449522,300,300
1494453722,300,300
1494457442,300,300
1494461282,300,300
1494465123,300,300
1494468963,300,300
1494472803,300,300
1494476643,300,300
1494480482,300,300
1494484322,300,300
1494488164,300,300
1494492003,300,300
1494495843,299,299
1494499684,298,298
1494503523,299,299
1494507363,297,297
1494511262,299,299
1494515042,299,299
1494518882,299,299
1494522722,298,298
1494526563,297,297
1494530402,296,296
1494534242,297,297
1494538322,297,297
1494542162,297,297
1494546002,299,299
1494549843,299,299
1494553682,300,300
1494557522,300,300
1494561842,300,300
1494565682,300,300
1494569522,300,300
1494573363,300,300
1494577202,299,299
1494581043,298,298
1494584882,298,298
1494588722,298,298
1494592563,298,298
1494596403,298,298
1494600242,296,296
1494604082,296,296
1494607922,295,295
1494611762,296,296
1494615662,296,296
1494619442,299,299
1494623282,298,298
1494627123,298,298
1494630963,300,300
1494634803,299,299
1494638642,300,300
1494642483,300,300
1494646262,300,300
1494649923,300,300
1494653762,300,300
1494657602,300,300
1494661442,299,299
1494665283,299,299
1494669062,298,298
1494674102,298,298
1494678302,300,300
1494682022,299,299
1494685623,298,298
1494689282,297,297
1494693063,299,299
1494696722,298,298
1494700563,299,299
1494704343,299,299
1494708002,298,298
1494711842,299,299
1494715682,298,298
1494719522,298,298
1494723363,299,299
1494727262,299,299
1494731042,299,299
1494734822,298,298
1494738423,298,298
1494742083,299,299
1494745923,300,300
1494749763,298,298
1494753603,299,299
1494757382,299,299
1494762963,300,300
1494766863,300,300
1494770643,299,299
1494774423,298,298
1494778082,296,296
1494781922,298,298
1494786002,298,298
1494789782,298,298
1494793442,299,299
1494797284,299,299
1494801123,297,297
1494804962,299,299
1494808743,299,299
1494812402,298,298
1494816244,299,299
1494820083,298,298
1494823923,297,297
1494827703,299,299
1494831302,299,299
1494836883,299,299
1494840723,300,300
1494844562,299,299
1494848403,300,300
1494852242,298,298
1494856083,300,300
1494859922,299,299
1494863762,299,299
1494867662,299,299
1494871442,299,299
1494875222,299,299
1494878883,300,300
1494882723,299,299
1494886564,299,299
1494890343,299,299
1494894002,299,299
1494898082,300,300
1494901922,297,297
1494905762,298,298
1494909603,298,298
1494913382,297,297
1494917042,297,297
1494920822,299,299
1494924723,299,299
1494928562,299,299
1494932462,299,299
1494936482,298,298
1494940263,299,299
1494943923,299,299
1494947703,299,299
1494951602,299,299
1494955383,298,298
1494958983,297,297
1494962643,298,298
1494966483,299,299
1494970322,298,298
1494974162,299,299
