DateTime,Entries,UniqueIPs
1494010226,255,256
1494015026,270,271
1494021026,270,271
1494026425,253,254
1494033026,251,251
1494041425,254,254
1494048025,255,255
1494054025,254,254
1494059426,258,258
1494064226,272,272
1494069625,275,275
1494075026,275,275
1494081026,278,278
1494085825,263,264
1494090626,278,279
1494096026,276,277
1494101426,272,273
1494106829,271,272
1494112225,275,276
1494116425,275,276
1494121826,271,272
1494127825,284,285
1494133226,274,275
1494138626,288,289
1494142826,281,282
1494148825,284,285
1494154227,283,284
1494160225,277,278
1494165025,282,283
1494170426,282,283
1494175826,278,278
1494181225,280,280
1494186626,279,279
1494192026,284,284
1494196826,287,287
1494201025,289,290
1494206426,289,290
1494212426,292,293
1494217826,293,294
1494223826,292,293
1494229826,290,291
1494235226,281,282
1494240626,292,293
1494246626,278,279
1494250826,292,293
1494256826,287,288
1494262226,292,293
1494267032,292,293
1494272432,290,291
1494277832,293,294
1494283232,291,292
1494288632,282,283
1494294632,269,269
1494300631,274,274
1494305432,266,266
1494310232,263,263
1494316232,274,275
1494321032,279,280
1494326432,278,279
1494331833,273,274
1494337832,270,271
1494343231,260,261
1494347432,261,262
1494351632,274,275
1494357032,279,280
1494363032,277,278
1494367832,275,276
1494371429,290,291
1494377432,287,288
1494383436,290,291
1494388832,284,285
1494393632,279,280
1494399633,276,277
1494403832,277,277
1494409232,274,274
1494414631,279,279
1494420632,284,284
1494426033,287,287
1494430831,281,281
1494436232,282,282
1494442233,277,277
1494447032,276,276
1494452432,277,277
1494457832,271,271
1494463832,290,290
1494469832,276,276
1494475832,289,289
1494480632,282,282
1494485432,281,281
1494490832,290,290
1494495632,278,278
1494501033,287,288
1494506434,286,287
1494511832,286,287
1494518433,288,289
1494522632,277,278
1494528032,268,269
1494531630,280,281
1494535238,292,293
1494540632,277,279
1494544832,272,274
1494550232,277,279
1494555632,289,291
1494561034,280,282
1494567033,294,296
1494571232,280,282
1494576632,293,295
1494582632,293,295
1494587432,280,281
1494592833,293,294
1494598832,291,292
1494603642,277,278
1494609032,288,289
1494612030,289,290
1494615632,301,302
