DateTime,AddedIPs,RemovedIPs
1498790904,1,0
1498794738,1,1
1498798096,1,1
1498801935,1,1
1498807214,0,1
1498807937,1,0
1498844905,1,1
1498848745,1,1
1498850416,0,1
1498850895,1,0
1498852333,1,1
1498854017,0,1
1498854499,1,0
1498855933,1,1
1498858817,0,1
1498859308,1,0
1498863137,1,1
1498866495,1,1
1498871055,2,9
1498871536,10,11
1498872014,10,2
1498872738,1,5
1498873217,7,9
1498873698,7,4
1498874176,3,4
1498874654,2,2
1498875138,1,0
1498891216,0,1
1498891694,1,0
1498894816,0,1
1498895303,1,0
1498899139,1,1
1498902494,1,1
1498906337,1,1
1498909698,1,1
1498923618,0,1
1498924100,1,0
1498929617,0,1
1498930096,1,0
1498936818,0,1
1498937294,1,0
1498942096,1,1
1498952416,0,1
1498952898,1,0
1498957453,6,9
1498957937,7,10
1498958416,6,2
1498959138,4,5
1498959615,10,5
1498960102,2,4
1498960577,3,1
1498961056,1,2
1498961536,1,0
1498995617,0,1
1498996097,1,0
1498999217,0,1
1498999698,1,0
1499001617,0,1
1499002094,1,0
1499006417,0,1
1499006898,1,0
1499012895,1,1
1499019616,0,1
1499020094,1,0
1499020573,1,1
1499037616,0,1
1499038097,1,0
1499043857,5,12
1499044339,10,10
1499044821,5,5
1499045296,3,6
1499045775,11,12
1499046255,3,1
1499046741,0,2
1499047458,1,0
1499047934,1,1
1499048416,3,2
1499048898,1,2
1499060658,0,1
1499062817,0,1
1499063294,1,0
1499075302,0,1
1499075774,2,1
1499084653,1,1
1499091616,0,1
1499092102,1,0
1499094254,1,1
1499102900,2,2
1499107216,0,1
1499107700,1,0
1499109136,1,1
1499130259,6,9
1499130735,4,9
1499131216,3,6
1499131703,8,4
1499132174,9,9
1499132655,3,4
1499133133,2,0
1499134095,1,1
1499134579,2,2
1499135057,3,1
1499147295,1,1
1499150656,1,1
1499157373,0,2
1499157855,1,0
1499161217,0,1
1499161703,1,0
1499174416,1,1
1499174893,1,0
1499184498,1,1
1499186417,0,1
1499187142,1,0
1499188817,0,1
1499189293,1,0
1499197216,0,1
1499197701,1,0
1499201058,1,1
1499208016,0,1
1499208500,1,0
1499209939,1,1
1499211858,1,1
1499215217,0,1
1499215699,1,0
1499216656,7,13
1499217134,10,15
1499217622,9,4
1499218094,5,3
1499218574,11,11
1499219300,2,3
1499219773,4,2
1499220733,2,1
1499226501,1,1
1499229616,0,1
1499230098,1,0
1499253133,0,1
1499254574,1,0
1499262733,1,1
1499271860,1,1
1499272817,0,1
1499273294,1,0
1499279297,1,1
1499283617,0,1
1499284094,1,0
1499296575,0,2
1499297057,2,0
