DateTime,Entries,UniqueIPs
1498784903,5041,5041
1498785375,5037,5037
1498785856,5038,5038
1498786336,5039,5039
1498786820,5035,5035
1498787538,5039,5039
1498788497,5040,5040
1498790904,5041,5041
1498794738,5041,5041
1498798096,5041,5041
1498801935,5041,5041
1498807214,5040,5040
1498807937,5041,5041
1498844905,5041,5041
1498848745,5041,5041
1498850416,5040,5040
1498850895,5041,5041
1498852333,5041,5041
1498854017,5040,5040
1498854499,5041,5041
1498855933,5041,5041
1498858817,5040,5040
1498859308,5041,5041
1498863137,5041,5041
1498866495,5041,5041
1498871055,5034,5034
1498871536,5033,5033
1498872014,5041,5041
1498872738,5037,5037
1498873217,5035,5035
1498873698,5038,5038
1498874176,5037,5037
1498874654,5037,5037
1498875138,5038,5038
1498891216,5037,5037
1498891694,5038,5038
1498894816,5037,5037
1498895303,5038,5038
1498899139,5038,5038
1498902494,5038,5038
1498906337,5038,5038
1498909698,5038,5038
1498923618,5037,5037
1498924100,5038,5038
1498929617,5037,5037
1498930096,5038,5038
1498936818,5037,5037
1498937294,5038,5038
1498942096,5038,5038
1498952416,5037,5037
1498952898,5038,5038
1498957453,5035,5035
1498957937,5032,5032
1498958416,5036,5036
1498959138,5035,5035
1498959615,5040,5040
1498960102,5038,5038
1498960577,5040,5040
1498961056,5039,5039
1498961536,5040,5040
1498995617,5039,5039
1498996097,5040,5040
1498999217,5039,5039
1498999698,5040,5040
1499001617,5039,5039
1499002094,5040,5040
1499006417,5039,5039
1499006898,5040,5040
1499012895,5040,5040
1499019616,5039,5039
1499020094,5040,5040
1499020573,5040,5040
1499037616,5039,5039
1499038097,5040,5040
1499043857,5033,5033
1499044339,5033,5033
1499044821,5033,5033
1499045296,5030,5030
1499045775,5029,5029
1499046255,5031,5031
1499046741,5029,5029
1499047458,5030,5030
1499047934,5030,5030
1499048416,5031,5031
1499048898,5030,5030
1499060658,5029,5029
1499062817,5028,5028
1499063294,5029,5029
1499075302,5028,5028
1499075774,5029,5029
1499084653,5029,5029
1499091616,5028,5028
1499092102,5029,5029
1499094254,5029,5029
1499102900,5029,5029
1499107216,5028,5028
1499107700,5029,5029
1499109136,5029,5029
1499130259,5026,5026
1499130735,5021,5021
1499131216,5018,5018
1499131703,5022,5022
1499132174,5022,5022
1499132655,5021,5021
1499133133,5023,5023
1499134095,5023,5023
1499134579,5023,5023
1499135057,5025,5025
1499147295,5025,5025
1499150656,5025,5025
1499157373,5023,5023
1499157855,5024,5024
1499161217,5023,5023
1499161703,5024,5024
1499174416,5024,5024
1499174893,5025,5025
1499184498,5025,5025
1499186417,5024,5024
1499187142,5025,5025
1499188817,5024,5024
1499189293,5025,5025
1499197216,5024,5024
1499197701,5025,5025
1499201058,5025,5025
1499208016,5024,5024
1499208500,5025,5025
1499209939,5025,5025
1499211858,5025,5025
1499215217,5024,5024
1499215699,5025,5025
1499216656,5019,5019
1499217134,5014,5014
1499217622,5019,5019
1499218094,5021,5021
1499218574,5021,5021
1499219300,5020,5020
1499219773,5022,5022
1499220733,5023,5023
1499226501,5023,5023
1499229616,5022,5022
1499230098,5023,5023
1499253133,5022,5022
1499254574,5023,5023
1499262733,5023,5023
1499271860,5023,5023
1499272817,5022,5022
1499273294,5023,5023
1499279297,5023,5023
1499283617,5022,5022
1499284094,5023,5023
1499296575,5021,5021
1499297057,5023,5023
1499298017,5022,5022
1499298496,5023,5023
1499300416,5022,5022
1499301143,5023,5023
1499301615,5022,5022
1499302098,5023,5023
1499303061,5022,5022
1499303533,5021,5021
1499304023,5021,5021
1499304500,5023,5023
1499304978,5026,5026
1499305459,5024,5024
1499305938,5023,5023
1499306653,5025,5025
1499307138,5026,5026
1499307856,5027,5027
1499310741,5026,5026
1499311215,5027,5027
1499318898,5027,5027
1499322015,5026,5026
1499322502,5027,5027
1499322974,5026,5026
1499323456,5027,5027
1499327774,5026,5026
1499339057,5025,5025
1499339538,5026,5026
1499355617,5025,5025
1499356093,5026,5026
1499363776,5025,5025
1499364255,5026,5026
1499376016,5025,5025
1499376738,5026,5026
1499377216,5025,5025
1499377698,5026,5026
1499379616,5025,5025
1499380101,5026,5026
1499389456,5021,5021
1499389941,5024,5024
1499390417,5024,5024
1499390897,5022,5022
1499391373,5021,5021
1499391860,5018,5018
1499392334,5021,5021
1499393295,5023,5023
1499393777,5021,5021
1499403134,5019,5019
1499404099,5020,5020
1499427615,5021,5021
1499428098,5022,5022
1499431216,5021,5021
1499431698,5022,5022
1499440816,5021,5021
1499441298,5022,5022
1499445617,5021,5021
1499446102,5022,5022
1499449454,5021,5021
1499449940,5022,5022
1499458818,5022,5022
1499463617,5021,5021
1499464099,5022,5022
1499467455,5022,5022
1499475857,5014,5014
1499476334,5014,5014
1499476816,5017,5017
1499477300,5019,5019
1499477774,5017,5017
1499478253,5016,5016
1499478733,5014,5014
1499479695,5015,5015
1499480178,5017,5017
1499480653,5016,5016
1499481137,5017,5017
1499494816,5016,5016
1499495538,5017,5017
1499503216,5016,5016
1499503695,5017,5017
1499512337,5015,5015
1499512821,5017,5017
1499520017,5016,5016
1499520497,5018,5018
1499520976,5017,5017
1499526256,5016,5016
1499528175,5017,5017
1499529139,5017,5017
1499537295,5017,5017
1499539217,5016,5016
1499539698,5017,5017
1499542817,5016,5016
1499543297,5018,5018
1499549053,5017,5017
1499555055,5016,5016
1499555534,5017,5017
1499562255,5011,5011
1499562734,5008,5008
1499563218,5014,5014
1499563700,5011,5011
1499564174,5016,5016
1499564658,5017,5017
1499565133,5017,5017
1499565856,5017,5017
1499566336,5019,5019
1499566815,5020,5020
1499581217,5019,5019
1499581937,5020,5020
1499582898,5020,5020
1499586257,5020,5020
1499589616,5020,5020
1499593218,5019,5019
1499593694,5020,5020
1499599216,5019,5019
1499599696,5020,5020
1499632819,5019,5019
1499633299,5020,5020
1499642415,5019,5019
1499642894,5020,5020
1499646017,5019,5019
1499646494,5020,5020
1499648654,5016,5016
1499649135,5017,5017
1499649616,5016,5016
1499650095,5019,5019
1499650819,5011,5011
1499651296,5012,5012
1499651780,5014,5014
1499652258,5013,5013
1499652736,5011,5011
1499653220,5012,5012
1499657296,5010,5010
1499657774,5012,5012
1499666654,5011,5011
1499667135,5012,5012
1499672416,5011,5011
1499672898,5012,5012
1499678417,5011,5011
1499678894,5012,5012
1499679618,5011,5011
1499680098,5012,5012
1499689234,5012,5012
1499694017,5011,5011
1499694494,5012,5012
1499697615,5012,5012
1499706501,5012,5012
1499714417,5010,5010
1499715136,5012,5012
1499715617,5011,5011
1499716105,5012,5012
1499730016,5011,5011
1499730498,5012,5012
1499735299,5010,5010
1499735774,5006,5006
1499736258,5009,5009
1499736734,5011,5011
1499737216,5019,5019
1499737695,5017,5017
1499738177,5021,5021
1499739854,5021,5021
1499744660,5021,5021
1499750416,5020,5020
1499750899,5021,5021
1499760269,5020,5020
1499803455,5018,5018
1499803934,5020,5020
1499804416,5019,5019
1499804900,5020,5020
1499816416,5019,5019
1499816896,5020,5020
1499821455,5012,5012
1499821938,5017,5017
1499822429,5016,5016
1499822894,5017,5017
1499823618,5015,5015
1499824338,5016,5016
1499825300,5016,5016
1499825779,5017,5017
1499826976,5017,5017
1499838016,5016,5016
