DateTime,AddedIPs,RemovedIPs
1497701303,0,1
1497703940,1,0
1497705859,1,1
1497706334,0,1
1497706816,1,0
1497707779,1,0
1497710653,1,0
1497715458,0,3
1497717379,2,0
1497726258,0,2
1497739454,3,1
1497748096,0,3
1497756255,2,0
1497804494,1,0
1497804975,0,1
1497805466,0,1
1497805940,1,0
1497812658,0,2
1497820096,2,0
1497826095,0,2
1497833061,2,0
1497835938,0,1
1497841697,0,2
1497850094,2,0
1497858256,1,1
1497864017,0,1
1497865455,0,2
1497869297,0,1
1497870260,1,0
1497874097,4,2
1497882019,0,2
1497887537,0,1
1497888496,1,0
1497891374,1,1
1497897857,2,0
1497898333,1,2
1497899296,1,0
1497904818,1,1
1497905296,1,1
1497906255,1,0
1497911056,0,1
1497917296,0,2
1497920661,0,1
1497921134,2,2
1497921617,2,0
1497922098,0,1
1497923536,2,0
1497930741,0,2
1497932423,2,0
1497952337,1,0
1497953539,0,1
1497954014,1,1
1497979216,0,2
1497995538,0,1
1497997218,1,0
1497998654,3,1
1498004416,0,1
1498004898,0,2
1498007301,1,1
1498007778,0,2
1498008260,1,0
1498008735,1,0
1498009216,0,1
1498009697,1,2
1498010182,2,0
1498010656,1,0
1498011141,1,0
1498011616,1,0
1498012099,2,0
1498012577,0,1
1498014981,0,1
1498028174,0,2
1498034174,1,0
1498034656,1,1
1498035854,2,0
1498039702,0,1
1498040895,1,0
1498041854,0,1
1498042337,1,0
1498043300,0,2
1498049774,2,0
1498050258,1,1
1498058180,1,0
1498058654,1,2
1498062976,0,1
1498064900,1,0
1498066101,1,1
1498071855,0,2
1498083382,2,0
1498090579,0,2
1498093697,1,0
1498095140,0,1
1498095617,1,0
1498097539,0,1
1498102577,2,0
1498111457,0,2
1498117220,1,1
1498119616,0,1
1498123226,1,0
1498124174,2,0
1498140255,0,2
1498140743,2,0
1498155616,0,2
1498161857,2,2
1498172900,2,0
1498180334,0,1
1498180819,1,0
1498182253,0,1
1498182736,1,0
1498192581,0,1
1498198101,1,0
1498200017,1,1
1498201458,0,2
1498207454,3,1
1498232415,0,2
1498258336,2,1
1498260018,1,0
1498264334,1,1
1498270817,0,2
1498278016,3,1
1498285707,1,2
1498286174,0,1
1498288580,1,0
1498293853,3,1
1498302255,1,1
1498310657,1,1
1498318333,0,2
1498344255,2,0
1498350254,0,2
1498358658,2,0
1498369455,0,1
1498370654,1,0
1498380495,0,2
1498380974,3,1
1498388899,1,1
1498413860,2,4
1498421057,0,1
1498422497,1,0
1498432578,2,0
1498438333,0,2
1498444575,2,0
1498461378,0,1
1498462337,1,0
1498469055,2,3
1498477453,0,1
1498478898,0,1
1498479379,1,0
1498482734,0,1
1498483216,1,0
1498488015,0,1
1498488974,0,2
1498491376,1,0
1498509380,5,1
1498515863,0,3
1498522096,0,2
1498525460,0,1
1498525934,1,0
1498526421,0,1
1498526894,1,0
1498530735,2,1
1498531217,1,0
1498543696,0,3
1498567456,0,2
1498567933,2,0
1498588577,0,2
1498610897,1,0
1498611374,2,0
1498611856,0,1
1498612333,2,0
1498613294,0,1
1498613773,2,0
1498615697,2,0
1498621456,0,1
1498621939,1,0
1498630337,0,1
1498630823,1,0
1498634658,0,1
1498639217,0,2
1498640898,2,2
1498646659,2,0
1498648581,3,4
1498649533,0,1
1498650496,0,2
1498650974,1,0
1498659376,2,0
1498676655,0,2
1498698260,0,1
1498698735,1,1
1498699219,0,1
1498699941,1,0
1498700893,3,0
1498701374,0,1
1498735456,0,1
1498735938,1,0
1498746974,0,1
1498747455,1,0
1498757538,0,2
1498761137,0,1
1498761616,1,0
1498777696,1,1
1498783214,2,0
1498785375,1,0
1498786336,1,0
1498786820,0,1
1498787538,1,0
1498788497,1,0
1498810816,0,1
1498811299,1,0
1498813697,0,1
1498814180,2,0
1498832894,0,2
1498842258,2,0
1498845376,0,1
1498846337,1,0
1498849456,0,2
1498850416,0,1
1498852333,1,0
1498857859,0,1
1498871055,0,1
1498871536,2,1
1498872014,0,1
1498872738,1,0
1498874176,0,1
1498874654,0,1
1498883543,2,0
1498892174,0,2
1498901533,2,0
1498910174,0,2
1498910897,2,0
1498916173,0,1
1498918334,1,0
1498918816,0,1
1498919301,1,0
1498928654,0,2
1498942096,3,1
1498953374,0,2
1498957453,0,1
1498957937,1,0
1498959138,1,0
1498960577,2,0
1498994657,0,2
1499003543,2,0
1499012895,1,1
1499020094,0,2
1499020573,1,1
1499032337,2,1
1499033297,1,0
1499044339,0,2
1499044821,0,1
1499045296,1,0
1499045775,1,0
1499046255,2,1
1499047458,1,0
1499072899,0,1
1499075302,0,1
1499075774,2,1
1499083696,0,1
1499084182,0,2
1499084653,1,1
1499085134,1,0
1499085618,0,1
1499088261,1,0
1499089218,0,1
1499089698,1,0
1499091137,0,1
1499093534,3,0
1499094254,1,2
1499096657,1,0
1499102178,0,2
1499102900,2,2
1499105296,0,1
1499107700,1,0
1499109136,1,1
1499114898,2,0
1499130259,0,2
1499130735,0,1
1499131216,1,1
1499131703,1,0
1499132655,0,4
1499133133,2,0
1499134095,1,0
1499149222,0,3
1499150656,0,2
1499165538,2,0
1499174416,1,0
1499184498,1,1
1499191933,0,1
1499192418,1,0
1499198176,0,2
1499205856,0,1
1499208500,1,0
1499209455,2,0
1499209939,1,1
1499215699,0,2
1499216656,0,2
1499217134,3,2
1499217622,1,1
1499218094,2,0
1499230576,2,0
1499262733,1,1
1499271375,0,2
1499271860,3,2
1499272332,0,1
1499272817,1,0
1499273777,1,0
1499277375,0,1
1499277863,1,0
1499278815,0,2
1499279297,1,1
1499303061,2,1
1499303533,1,0
1499304023,0,2
1499304500,2,0
1499305459,0,1
1499306653,1,0
1499310741,0,1
1499311215,1,0
1499318898,1,1
1499322502,0,1
1499345539,0,2
1499349378,0,1
1499349855,1,0
1499355617,2,0
1499358493,0,1
1499359933,1,0
1499363776,0,3
1499364255,1,0
1499384183,2,0
1499389456,0,2
1499390417,0,1
1499390897,1,0
1499391860,0,1
1499393295,1,0
1499393777,0,1
1499394973,2,0
1499403134,0,3
1499411774,2,0
1499427615,1,0
1499428098,1,0
1499453533,0,2
1499458818,1,1
1499464099,1,1
1499475381,2,0
1499476334,0,1
1499476816,0,1
1499477300,2,0
1499478253,0,1
1499479695,1,0
1499482105,0,2
1499496973,2,0
1499510419,0,1
1499512821,0,1
1499515453,1,0
1499520497,1,0
1499520976,0,1
1499522896,1,0
1499529139,1,2
1499530097,1,0
1499537295,1,3
1499543297,1,1
1499543774,1,0
1499549053,0,1
1499555534,2,0
1499562255,0,1
1499562734,2,0
1499563218,0,1
1499563700,1,1
1499564658,1,1
1499565856,1,0
1499566336,1,1
1499589616,1,1
1499604501,0,1
1499604974,1,0
1499622736,0,2
1499638095,0,1
1499639059,1,0
1499644334,2,0
1499649616,0,2
1499650095,2,1
1499650819,1,0
1499666180,0,2
1499667135,2,0
1499673863,0,2
1499676254,2,0
1499681054,0,1
1499683933,1,0
1499689234,1,1
1499697615,1,1
1499706501,1,1
1499707457,0,2
1499729054,2,0
1499735774,0,1
1499736734,1,0
1499737216,0,2
1499737695,0,1
1499738177,1,0
1499742259,2,0
1499744660,0,1
1499745377,1,0
1499751374,0,2
1499753056,0,1
1499757388,1,0
1499760269,1,1
1499769387,2,0
1499791458,0,2
1499821938,0,1
1499822429,2,1
1499822894,1,1
1499823618,1,1
1499824338,1,1
1499825300,1,0
1499843064,0,2
1499854101,2,0
1499871133,0,2
1499878332,2,0
1499885534,0,2
1499903780,2,0
1499908095,1,2
1499908579,2,0
1499910974,1,0
1499921298,0,2
1499928739,2,0
1499933298,0,1
1499935694,1,0
1499937616,1,1
1499941219,0,1
1499941697,1,0
1499967132,0,2
1499976974,0,1
1499979134,1,0
1499980095,1,1
1499991857,2,0
1499997143,0,1
1499997860,1,1
1500001456,0,2
1500004336,2,0
1500012736,0,1
1500013943,1,0
1500017776,0,2
1500018255,2,0
1500029301,0,2
1500030498,0,1
1500032655,1,0
1500034334,2,0
1500038419,0,2
1500045616,2,0
1500056654,0,2
1500075857,2,0
1500080658,0,2
1500081134,2,0
1500082574,0,1
1500115454,0,1
1500115937,1,0
1500116653,3,3
1500119775,0,1
1500120254,1,0
1500136574,1,1
1500143774,0,2
1500163699,2,0
1500167299,0,1
1500170177,1,0
1500171618,0,1
1500172100,1,0
1500173057,0,2
1500174977,2,0
1500181456,0,2
1500183860,2,0
1500209533,0,2
1500217697,2,0
1500234981,0,2
1500243384,2,0
1500253697,1,0
1500257299,0,1
1500261134,0,2
1500263539,2,0
1500268335,0,4
1500279375,0,2
1500284896,2,0
1500306978,0,1
1500307936,1,0
1500309856,0,2
1500336500,2,0
1500340339,1,0
1500341295,0,1
1500341773,1,0
1500349939,0,2
1500350894,2,0
1500355702,0,1
1500356174,1,0
1500368653,0,1
1500369137,1,0
1500385457,2,2
1500387378,0,2
1500395298,1,2
1500395776,2,0
1500403703,0,1
1500405140,0,2
1500420973,2,0
1500440897,0,2
1500442334,2,0
