DateTime,AddedIPs,RemovedIPs
1493998202,1,0
1494000002,1,0
1494023403,0,2
1494060003,1,0
1494068402,1,0
1494080402,0,2
1494107701,1,0
1494108002,0,1
1494115202,2,0
1494339303,0,1
1494339903,1,0
1494368102,2,2
1494374702,3,0
1494399602,0,6
1494405902,2,0
1494416702,1,0
1494423302,0,3
1494455402,1,1
1494459002,1,1
1494461101,2,0
1494507002,0,1
1494510902,1,0
1494514502,0,1
1494534902,1,1
1494547202,1,0
1494590703,1,1
1494621002,1,1
1494633602,2,0
1494642602,2,2
1494684003,1,1
1494693603,1,1
1494720003,2,0
1494772803,1,1
1494806403,2,0
1494839703,1,1
1494852003,1,1
1494885003,2,2
1494892802,3,0
1494927903,1,0
1494928203,0,1
1494960903,1,1
1495022403,1,1
1495051502,1,1
1495065603,3,0
1495072203,1,0
1495104603,1,1
1495142103,1,1
1495152002,1,0
1495174502,0,1
1495238703,2,0
1495325103,4,0
1495411502,2,0
1495441503,5,0
1495441802,2,0
1495442103,6,0
1495442402,0,5
1495443602,1,0
1495447502,2,0
1495449302,1,0
1495453802,0,9
1495457103,1,0
1495464902,1,1
1495482303,1,0
1495524301,0,1
1495524602,1,0
1495525802,1,1
1495545902,1,0
1495548902,0,1
1495569902,1,1
1495575002,3,0
1495578904,0,3
1495622104,1,1
1495626602,0,1
1495626902,1,0
1495655402,1,1
1495656302,1,0
1495656602,0,1
1495670402,4,0
1495675502,1,0
1495722904,0,1
1495723203,1,0
1495780202,1,0
1495827304,0,1
1495843503,2,0
1495927203,1,1
1495931103,1,1
1495944303,1,0
1495944602,0,1
1495951803,0,11807
1495953003,11807,0
1495955703,0,11807
1495976703,11807,0
1495979104,1,0
1495979403,0,1
1496016003,1,0
1496102402,2,0
1496147104,2,2
1496188802,2,0
1496211602,1,0
1496215202,0,1
1496244002,2,2
1496275504,4,0
1496281802,2,0
1496282102,0,2
1496290803,1,0
1496291104,0,1
1496299802,1,1
1496309703,1,1
1496337303,2,2
1496361904,2,0
1496370303,1,1
1496388603,1,0
1496399403,0,1
1496407503,1,0
1496412002,0,2
1496448002,2,0
1496516403,1,1
1496534402,2,0
1496539202,1,0
1496543102,0,1
1496621103,2,0
1496643602,1,0
1496647202,0,1
1496648703,1,1
1496681703,1,0
1496684103,0,1
1496697904,1,0
1496698203,0,1
1496707202,2,0
1496735103,1,1
1496743503,1,0
1496743802,0,1
1496770203,1,1
1496776504,1,0
1496776802,0,1
1496790303,1,1
1496791202,1,0
1496794802,0,1
1496829303,1,0
1496829602,0,1
1496851202,1,0
1496856602,0,1
1496863503,2,1
1496939404,1,1
1496946603,1,1
1496966402,2,0
1496989502,1,1
1497023102,1,0
1497024904,0,1
1497052202,1,1
1497053104,3,0
1497139202,1,0
1497176103,1,1
1497180002,1,0
1497183602,1,1
1497187803,0,1
1497225603,1,0
1497312303,4,0
1497325503,0,1
1497352502,1,0
1497375303,1,1
1497387603,1,1
1497398703,1,0
1497399903,1,1
1497405903,0,1
1497413402,1,0
1497420904,1,1
1497437103,1,1
1497444603,1,1
1497485103,4,0
1497494403,1,1
1497510003,1,1
1497536102,1,2
1497538501,1,0
1497565504,1,1
1497571503,2,0
1497603002,1,1
1497612003,1,1
1497630303,2,0
1497630603,0,1
1497633903,0,1
1497657902,2,0
1497705902,1,0
1497710702,1,0
1497715502,0,1
1497739503,1,1
1497744003,2,0
1497804602,1,1
1497825003,1,0
1497828303,0,1
1497831902,1,0
1497835803,0,1
1497858302,1,1
1497873903,2,0
1497874203,0,2
1497891303,1,1
1497898202,1,1
1497904803,0,1
1497905103,1,0
1497911402,0,1
1497953703,1,0
1497954303,0,1
1497956402,0,1
1497957304,1,0
1497966002,0,1
1497966603,1,0
1497983102,0,1
1497983403,1,0
1497992402,0,1
1497992703,1,0
1497998703,1,0
1498011003,1,0
1498012503,0,1
1498019403,0,1
1498019703,1,0
1498028703,0,1
1498029603,1,0
1498038903,0,1
1498039502,1,0
1498048202,0,1
1498049102,1,0
1498050003,1,1
1498058703,2,2
1498065902,1,1
1498067102,0,1
1498067703,1,0
1498077602,0,1
1498077903,1,0
1498087503,0,1
1498087803,1,0
1498089903,5,0
1498115103,0,1
1498115703,1,0
1498116902,1,1
1498124704,0,1
1498125304,1,0
1498134002,0,1
1498134303,1,0
1498143602,0,1
1498144503,1,0
1498161903,2,2
1498162203,0,1
1498162503,1,0
1498176002,2,0
1498200303,1,1
1498207504,1,1
1498262703,2,0
1498264203,1,1
1498278304,1,1
1498285802,1,0
1498294202,1,1
1498302002,1,1
1498307102,74,11585
1498310402,1,0
1498317902,0,1
1498321802,1,0
1498339802,0,2
1498340102,2,0
1498345503,0,2
1498346103,2,0
1498349102,0,1
1498351502,0,2
1498351802,2,0
1498380902,1,0
1498388702,1,0
1498413903,1,0
1498429501,1,1
1498433102,1,1
1498446001,0,2
1498446302,2,0
1498451102,1,1
1498454702,1,0
1498458302,1,0
1498469102,2,0
1498470302,0,2
1498470602,2,0
1498509302,3,0
1498521902,0,1
1498558502,1,0
1498598102,0,1
1498599002,1,0
1498608303,0,1
1498608903,0,1
1498609202,1,0
1498611302,1,0
1498613402,1,0
