DateTime,AddedIPs,RemovedIPs
1478796469,34,11
1478830704,25,45
1478876220,25,3
1478917948,27,2
1478963246,27,2
1479004573,37,0
1479049421,19,1
1479090362,40,70
1479136513,45,18
1479176755,40,16
1479231229,24,18
1479261931,24,27
1479310940,31,12
1479349452,27,21
1479397824,40,20
1479435758,47,7
1479483416,29,30
1479522205,32,21
1479567291,41,0
1479606599,23,31
1479652619,27,25
1479694954,38,10
1479780205,46,31
1479823154,34,0
1479863515,27,32
1479909452,27,0
1479950805,36,27
1479991273,25,0
1480036003,42,8
1480082424,27,19
1480123532,44,19
1480168706,37,14
1480209505,35,8
1480254817,32,9
1480300455,29,7
1480342484,35,9
1480383211,28,2
1480427415,27,9
1480468697,37,0
1480513879,15,17
1480554323,32,7
1480599946,36,0
1480641423,28,22
1480688302,37,5
1480729945,40,7
1480774544,34,19
1480814608,28,0
1480860193,27,19
1480900934,27,0
1480946704,17,11
1480987380,33,33
1481032606,28,0
1481072490,21,18
1481118743,21,15
1481159750,22,24
1481205317,25,19
1481247449,22,27
1481291259,18,29
1481333072,25,19
1481377214,20,19
1481419327,33,19
1481464053,17,22
1481505490,19,29
1481550511,14,13
1481590998,20,31
1481637588,21,21
1481678313,18,32
1481724286,31,33
1481764456,14,35
1481809948,22,20
1481851694,27,37
1481897406,27,21
1481937921,29,19
1481982436,19,19
1482025465,28,42
1482069673,28,0
1482111480,29,36
1482152525,24,33
1482198156,29,27
1482243558,20,23
1482284238,24,34
1482329615,25,47
1482372046,25,0
1482414893,24,29
1482456907,23,44
1482501327,22,32
1482544381,20,20
1482588187,29,38
1482631154,31,31
1482674632,24,0
1482717414,22,65
1482760971,24,35
1482803067,27,32
1482846592,26,33
1482889004,26,0
1482928524,9,36
1482970336,15,32
1483014266,13,25
1483057568,21,34
1483101297,15,15
1483143785,22,31
1483187011,28,31
1483228085,21,33
1483273222,29,26
1483314288,18,33
1483358954,22,31
1483400418,21,34
1483445405,19,22
1483487588,18,36
1483532638,37,20
1483575539,39,36
1483620413,39,31
1483660595,16,37
1483707322,14,39
1483748150,23,0
1483792324,8,25
1483833724,29,24
1483878752,15,18
1483920393,26,22
1483965074,16,25
1484007728,22,48
1484052910,34,0
1484092729,14,27
1484138120,28,16
1484178617,23,24
1484224197,21,15
1484265574,30,32
1484308455,14,26
1484352585,31,26
1484397601,33,18
1484439581,27,17
1484484510,24,32
1484526191,35,34
1484572261,17,22
1484611312,18,38
1484657168,20,25
1484697829,24,28
1484743973,23,22
1484785963,19,33
1484829602,15,24
1484871089,15,25
1484915437,21,35
1484958066,9,23
1485001906,19,29
1485043926,18,19
1485088527,13,28
1485130614,21,19
1485174974,23,20
1485215642,19,36
1485261009,35,19
1485302990,43,37
1485348166,22,18
1485390373,27,34
1485434826,37,26
1485475269,31,22
1485520563,29,16
1485561422,33,45
1485607043,29,0
1485648778,37,17
1485693741,35,10
1485734886,39,38
1485826313,42,46
1485870236,52,18
1485912012,41,21
1485957183,49,26
1485998743,45,8
1486046300,48,24
1486085015,40,26
1486127822,44,35
1486170649,46,0
1486216480,40,59
1486258064,42,20
1486301823,32,28
1486343956,44,8
1486388925,35,19
1486431772,33,13
1486476414,34,24
1486516520,40,21
1486563035,36,20
1486604231,31,21
1486649327,30,33
1486691459,43,23
1486737514,30,29
1486774065,20,17
1486823508,42,24
1486863484,38,23
1486909296,47,18
1486951007,44,22
1486990891,40,30
1487035984,48,21
1487080721,46,27
1487118591,40,24
1487168025,43,20
1487207384,46,20
1487254448,47,15
1487295237,44,19
1487340686,42,29
1487381275,38,19
1487427028,36,19
1487467397,41,13
1487514757,23,13
1487554074,34,16
1487600011,27,6
1487641058,40,19
1487686201,28,25
1487726920,24,21
1487773318,29,11
1487813642,25,18
1487860349,34,33
1487898606,37,37
1487944718,36,31
1487986039,38,39
1488030903,40,31
1488071116,33,22
1488117025,39,28
1488157120,41,27
1488204797,42,26
1488245355,19,32
1488288781,24,34
1488332273,25,37
1488372673,17,0
1488417294,28,0
1488464871,15,99
1488504243,23,52
1488550390,25,44
1488591551,29,41
1488636925,25,0
1488672111,28,39
1488724408,39,80
1488766344,38,41
1488810254,37,42
1488852094,51,36
1488898421,53,44
1488938971,32,34
1488983271,37,24
1489024193,38,0
1489070266,25,71
1489110379,27,39
1489155459,26,0
1489196132,24,63
1489240398,11,0
1489283797,19,65
1489327595,26,0
1489359583,18,34
1489411781,25,28
1489451898,16,34
1489497676,29,43
1489537222,22,52
