DateTime,AddedIPs,RemovedIPs
1489641323,14,32
1489669837,30,34
1489680906,12,25
1489709751,27,22
1489727047,10,34
1489755805,36,32
1489767288,9,31
1489797672,26,25
1489814087,5,37
1489843760,36,23
1489854222,19,35
1489881977,40,30
1489900237,15,24
1489929351,36,20
1489940414,12,34
1489967750,31,28
1489986943,10,42
1490016905,44,25
1490027001,16,30
1490052835,26,32
1490073117,6,36
1490103233,34,27
1490113137,16,33
1490143600,31,33
1490160046,18,35
1490183553,38,37
1490199340,9,27
1490229353,34,31
1490245884,15,32
1490274156,31,21
1490285563,11,41
1490314321,30,38
1490332444,12,45
1490361423,34,22
1490372506,6,29
1490394930,30,21
1490418807,19,27
1490447520,29,26
1490458484,11,31
1490487921,20,22
1490505026,9,31
1490534183,20,20
1490544699,8,37
1490574515,28,24
1490591465,10,37
1490619916,22,37
1490631147,9,38
1490660049,29,35
1490677744,14,40
1490706041,35,34
1490717802,7,44
1490747020,26,39
1490763942,13,52
1490791680,23,49
1490804071,9,48
1490832568,32,45
1490851010,7,42
1490878483,24,63
1490890790,6,0
1490916179,29,24
1490937305,7,38
1490965239,25,20
1490977242,8,39
1491000658,28,19
1491023811,8,41
1491051456,38,23
1491062922,11,33
1491091045,34,21
1491109477,7,26
1491137396,26,28
1491149449,13,28
1491177536,36,22
1491196205,8,26
1491223397,32,12
1491235683,10,32
1491264143,28,19
1491283055,12,31
1491309979,31,23
1491322407,15,29
1491350979,24,23
1491368984,12,30
1491396160,30,16
1491408856,10,24
1491437441,23,27
1491455421,41,36
1491482278,32,35
1491494901,9,39
1491523731,20,26
1491541557,12,33
1491568068,33,25
1491581284,12,37
1491610636,16,23
1491629061,32,29
1491655925,24,22
1491667998,23,29
1491697063,18,22
1491714885,8,40
1491742131,44,23
1491753581,15,26
1491783127,36,17
1491800622,20,23
1491828209,37,14
1491840368,11,21
1491868757,26,15
1491887575,17,27
1491915799,22,8
1491927171,12,25
1491956931,24,42
1491974209,10,13
1492002921,28,20
1492014078,7,0
1492037912,26,19
1492061042,47,26
1492088581,30,33
1492099906,15,0
1492129557,24,10
1492146778,11,50
1492173863,30,32
1492186605,12,0
1492215555,31,15
1492233285,15,24
1492260509,18,16
1492272871,6,33
1492301928,28,0
1492319064,12,35
1492347463,34,32
1492358863,16,0
1492388804,25,10
1492405933,13,28
1492434088,32,45
1492445449,13,0
1492474193,21,14
1492491950,47,57
1492521551,25,0
1492531704,10,27
1492560899,27,17
1492578315,6,51
1492607088,36,0
1492618357,10,34
1492647122,22,54
1492664946,11,0
1492694082,26,18
1492705080,5,26
1492735517,27,49
1492752059,5,23
1492775514,40,32
1492791682,11,0
1492821274,35,43
1492838007,13,0
1492865254,34,9
1492878045,9,47
1492906515,40,26
1492924314,14,9
1492952365,30,26
1492963801,9,0
1492992979,32,37
1493010638,11,0
1493038298,34,11
1493051164,11,35
1493079680,29,21
1493097535,12,0
1493119631,42,4
1493137185,12,39
1493160167,34,0
1493183147,7,32
1493211171,43,40
1493223139,10,17
1493252403,33,31
1493270009,14,24
1493296811,37,29
1493310015,15,0
1493332702,32,22
1493356000,25,17
1493383600,27,33
1493396061,9,16
1493424095,27,26
1493442398,12,0
1493469191,32,10
1493482116,12,22
1493509312,29,17
1493529150,13,32
1493556083,45,20
1493568826,20,0
1493597684,48,36
1493615722,17,0
1493642586,54,5
1493655030,28,36
1493683932,41,0
1493701985,14,48
1493729435,33,22
1493741704,11,0
1493768674,39,24
1493788087,18,30
1493814444,52,11
1493828261,12,20
1493856392,38,35
1493874602,13,18
1493901548,48,0
1493914436,17,16
1493942201,41,15
1493961268,12,23
1493987957,47,14
1494001052,10,22
1494028317,35,12
1494047397,10,39
1494074015,39,21
1494086834,9,29
1494114717,35,39
1494133426,19,0
1494160559,30,40
1494174159,11,17
1494196120,36,0
1494220686,10,60
1494243431,50,0
1494260448,10,35
1494282437,37,10
1494307240,14,26
1494328311,46,0
1494346683,14,50
1494370095,35,0
1494393155,15,60
1494420158,32,0
1494433242,11,32
1494455714,35,14
1494479618,12,47
1494506183,31,0
1494519198,13,30
1494546724,36,0
1494565610,11,23
1494591435,33,12
1494605159,11,40
1494631216,34,0
1494652023,8,57
1494677982,32,0
1494692136,9,39
1494719150,32,30
1494738101,12,0
1494764236,36,11
1494778080,15,25
1494805311,34,15
1494824880,14,26
1494849684,35,8
1494864504,12,15
1494891032,37,7
1494911637,16,43
1494937206,34,0
1494951760,13,50
1494972489,37,0
1494997569,7,46
1495023374,36,0
1495037176,13,57
1495063634,36,0
1495083854,13,48
1495109812,36,0
1495123695,5,23
1495151890,35,26
1495170900,10,0
1495196600,36,10
1495210083,16,42
1495236840,32,0
1495256222,13,40
1495282296,31,0
1495296067,19,32
1495323533,33,0
1495342536,16,23
1495368084,39,13
1495382615,25,29
1495410066,33,21
1495429109,17,18
1495453905,39,16
1495468466,21,29
1495495292,42,21
1495514915,12,47
1495535154,42,0
1495554428,7,40
1495575323,34,0
1495601328,10,22
1495621738,34,14
1495640426,11,33
1495661602,43,14
1495687486,11,25
1495707926,40,14
1495727863,7,35
1495754329,35,28
1495774333,17,8
1495795086,31,0
1495814822,12,26
1495840922,45,10
1495861399,25,52
1495886777,32,0
1495901215,6,21
1495928310,30,48
1495947365,19,0
1495973231,34,14
1495987365,15,22
1496015323,31,9
1496034125,16,21
1496061194,33,28
1496073640,14,0
1496100520,36,43
1496120404,14,0
1496146241,32,24
1496159599,10,33
1496185259,38,18
1496206397,9,42
1496229847,32,31
1496246082,14,47
1496272778,33,22
1496293164,14,64
1496318872,35,0
1496333209,10,48
1496359975,33,0
1496379709,36,60
1496406041,28,0
1496419970,12,45
1496447866,31,46
1496466374,46,22
1496492892,25,0
1496505649,10,33
1496532992,36,21
1496552875,41,49
1496579257,29,0
1496592110,8,29
1496619763,29,14
1496638897,21,44
1496665313,32,0
1496678530,12,30
1496705741,38,20
1496725538,20,47
1496752601,26,26
1496765168,13,15
1496791908,35,25
1496811870,45,0
1496838420,27,57
1496851485,6,0
1496879192,23,55
1496898027,52,0
1496924136,39,52
1496937952,25,0
1496965407,31,55
1496984753,52,0
1497010663,31,14
1497024223,13,26
1497050612,40,43
1497071124,52,0
1497097710,33,36
1497110345,19,0
1497137869,36,16
1497157872,40,37
1497183893,38,24
1497196424,13,11
1497223865,30,28
1497244094,39,11
1497270796,31,0
1497283575,16,42
1497310610,36,0
1497330579,52,45
1497356790,35,35
1497369561,22,18
1497396889,35,0
1497416804,46,59
1497443553,29,0
1497456057,14,57
1497482930,35,0
1497502827,20,58
1497528263,25,0
1497542398,28,28
1497568053,35,52
