DateTime,AddedIPs,RemovedIPs
1489669837,99,98
1489680906,92,93
1489709751,101,96
1489727047,83,91
1489755805,101,93
1489767288,88,95
1489797672,100,94
1489814087,89,92
1489843760,102,99
1489854222,90,93
1489881977,102,97
1489900237,90,96
1489929351,101,95
1489940414,82,86
1489967750,99,95
1489986943,89,90
1490016905,100,99
1490027001,87,89
1490052835,96,93
1490073117,94,98
1490103233,100,96
1490113137,88,92
1490143600,96,94
1490160046,88,87
1490183553,104,105
1490199340,93,91
1490229353,100,99
1490245884,93,96
1490274156,103,100
1490285563,97,97
1490314321,103,104
1490332444,95,99
1490361423,103,99
1490372506,92,95
1490394930,101,97
1490418807,91,95
1490447520,94,90
1490458484,83,88
1490487921,89,86
1490505026,83,87
1490534183,88,84
1490544699,79,86
1490574515,96,88
1490591465,82,91
1490619916,83,77
1490631147,77,80
1490660049,93,89
1490677744,90,94
1490706041,101,97
1490717802,88,91
1490747020,100,95
1490763942,87,94
1490791680,92,86
1490804071,74,82
1490832568,102,93
1490851010,81,88
1490878483,85,78
1490890790,82,86
1490916179,96,92
1490937305,81,86
1490965239,91,88
1490977242,77,83
1491000658,99,90
1491023811,89,94
1491051456,97,93
1491062922,85,90
1491091045,95,91
1491109477,76,87
1491137396,97,85
1491149449,85,92
1491177536,113,108
1491196205,99,105
1491223397,108,104
1491235683,91,97
1491264143,100,94
1491283055,84,90
1491309979,100,91
1491322407,93,96
1491350979,103,100
1491368984,90,94
1491396160,102,96
1491408856,80,84
1491437441,92,89
1491455421,105,113
1491482278,91,83
1491494901,83,87
1491523731,89,87
1491541557,83,88
1491568068,102,95
1491581284,84,87
1491610636,92,90
1491629061,115,114
1491655925,85,85
1491667998,91,91
1491697063,86,86
1491714885,76,79
1491742131,93,92
1491753581,84,87
1491783127,93,89
1491800622,82,84
1491828209,95,91
1491840368,89,90
1491868757,92,95
1491887575,85,90
1491915799,92,87
1491927171,78,86
1491956931,89,82
1491974209,83,89
1492002921,87,79
1492014078,71,79
1492037912,94,85
1492061042,116,119
1492088581,85,83
1492099906,81,84
1492129557,92,88
1492146778,87,91
1492173863,92,88
1492186605,81,86
1492215555,94,88
1492233285,84,89
1492260509,86,83
1492272871,78,83
1492301928,89,82
1492319064,82,90
1492347463,105,97
1492358863,82,88
1492388804,97,91
1492405933,87,88
1492434088,96,96
1492445449,89,91
1492474193,99,97
1492491950,108,114
1492521551,96,88
1492531704,76,85
1492560899,88,83
1492578315,78,87
1492607088,93,82
1492618357,77,83
1492647122,86,80
1492664946,81,88
1492694082,87,83
1492705080,72,75
1492735517,90,84
1492752059,75,82
1492775514,98,91
1492791682,87,92
1492821274,101,97
1492838007,87,91
1492865254,98,95
1492878045,87,91
1492906515,104,96
1492924314,96,103
1492952365,102,97
1492963801,90,97
1492992979,100,94
1493010638,86,92
1493038298,103,97
1493051164,97,101
1493079680,112,110
1493097535,99,102
1493119631,107,102
1493137185,93,97
1493160167,103,100
1493183147,87,90
1493211171,97,92
1493223139,92,95
1493252403,105,105
1493270009,93,94
1493296811,102,98
1493310015,86,89
1493332702,95,92
1493356000,97,99
1493383600,92,88
1493396061,74,81
1493424095,93,87
1493442398,86,91
1493469191,92,86
1493482116,83,87
1493509312,98,96
1493529150,83,90
1493556083,113,104
1493568826,98,107
1493597684,120,110
1493615722,104,114
1493642586,124,114
1493655030,107,113
1493683932,120,114
1493701985,102,106
1493729435,120,116
1493741704,104,105
1493768674,119,118
1493788087,109,113
1493814444,118,115
1493828261,104,107
1493856392,116,112
1493874602,107,110
1493901548,117,116
1493914436,96,97
1493942201,113,112
1493961268,96,99
1493987957,100,95
1494001052,86,90
1494028317,106,103
1494047397,97,97
1494074015,109,109
1494086834,97,99
1494114717,106,104
1494133426,99,100
1494160559,108,108
1494174159,92,95
1494196120,117,114
1494220686,102,105
1494243431,111,108
1494260448,101,103
1494282437,113,112
1494307240,103,104
1494328311,108,108
1494346683,101,100
1494370095,114,112
1494393155,101,102
1494420158,106,104
1494433242,89,92
1494455714,107,105
1494479618,96,99
1494506183,98,95
1494519198,91,95
1494546724,105,101
1494565610,96,100
1494591435,105,101
1494605159,89,94
1494631216,105,100
1494652023,94,98
1494677982,108,104
1494692136,92,98
1494719150,114,109
1494738101,99,104
1494764236,112,107
1494778080,98,102
1494805311,114,110
1494824880,104,105
1494849684,115,113
1494864504,97,98
1494891032,112,112
1494911637,94,97
1494937206,110,106
1494951760,92,94
1494972489,111,109
1494997569,100,103
1495023374,101,99
1495037176,90,94
1495063634,103,100
1495083854,92,93
1495109812,99,97
1495123695,86,87
1495151890,99,99
1495170900,89,91
1495196600,96,94
1495210083,86,89
1495236840,103,99
1495256222,88,93
1495282296,101,98
1495296067,91,92
1495323533,105,103
1495342536,92,95
1495368084,106,104
1495382615,88,88
1495410066,109,109
1495429109,91,92
1495453905,106,105
1495468466,96,98
1495495292,113,110
1495514915,102,105
1495535154,105,101
1495554428,87,90
1495575323,106,103
1495601328,92,95
1495621738,105,102
1495640426,98,100
1495661602,109,107
1495687486,96,98
1495707926,107,106
1495727863,94,98
1495754329,114,109
1495774333,101,103
1495795086,104,102
1495814822,96,97
1495840922,112,111
1495861399,106,109
1495886777,106,102
1495901215,90,95
1495928310,100,96
1495947365,94,97
1495973231,109,105
1495987365,94,98
1496015323,110,107
1496034125,102,106
1496061194,115,109
1496073640,98,108
1496100520,120,110
1496120404,106,112
1496146241,112,106
1496159599,99,104
1496185259,111,106
1496206397,103,109
1496229847,111,107
1496246082,94,98
1496272778,110,105
1496293164,106,108
1496318872,102,100
1496333209,89,94
1496359975,113,107
1496379709,112,115
1496406041,95,93
1496419970,85,89
1496447866,96,91
1496466374,120,124
1496492892,95,91
1496505649,86,90
1496532992,92,90
1496552875,120,125
1496579257,96,91
1496592110,82,87
1496619763,93,87
1496638897,92,95
1496665313,92,88
1496678530,85,88
1496705741,91,89
1496725538,92,95
1496752601,104,102
1496765168,104,104
1496791908,117,117
1496811870,122,122
1496838420,92,91
1496851485,84,88
1496879192,97,93
1496898027,131,132
1496924136,100,98
1496937952,87,89
1496965407,96,94
1496984753,132,135
1497010663,91,88
1497024223,90,92
1497050612,99,97
1497071124,123,126
1497097710,92,92
1497110345,84,85
1497137869,96,95
1497157872,110,113
1497183893,93,90
1497196424,80,82
1497223865,94,91
1497244094,90,92
1497270796,98,96
1497283575,84,84
1497310610,93,94
1497330579,105,104
1497356790,97,97
1497369561,79,81
1497396889,99,97
1497416804,103,105
1497443553,97,95
1497456057,78,78
1497482930,101,101
1497502827,87,88
1497528263,90,90
1497542398,88,87
1497568053,97,97
1497589316,87,89
1497616629,97,97
1497628572,80,81
1497654590,99,98
1497675847,87,88
1497701703,92,92
1497714762,80,80
1497741660,95,92
1497761887,82,84
1497787593,96,94
1497801352,86,87
1497828120,92,90
1497848111,85,87
1497873549,101,102
1497887473,87,89
1497914434,104,102
1497934682,91,93
1497960569,109,108
1497973697,89,90
1497995238,107,105
1498019581,83,83
1498040033,99,104
1498060009,81,80
1498086135,94,94
1498106873,89,89
1498127619,96,95
1498145740,81,83
1498166066,96,93
1498192589,87,89
1498212516,95,93
1498232639,114,114
1498255073,120,114
1498279216,128,130
1498300190,98,97
1498318762,114,115
1498338397,111,110
1498365708,113,112
1498385552,96,97
1498405001,89,90
1498430279,98,99
1498453004,92,92
1498477775,101,101
1498491965,124,122
1498511894,138,138
1498538423,129,129
1498558637,99,100
1498577822,113,112
1498598378,132,132
1498624876,120,122
1498644297,97,96
1498664335,91,93
1498684455,112,110
1498711086,123,124
1498730529,98,97
1498750623,96,97
1498771183,104,104
1498797684,129,128
1498817471,95,94
1498837160,85,88
1498857481,95,93
1498884240,126,127
1498904770,102,100
1498923361,88,89
1498943875,98,97
1498970206,130,132
1498990715,107,106
1499009959,90,92
1499031016,98,96
1499057105,128,128
1499076876,94,93
1499095930,86,88
1499117727,96,95
1499142989,126,128
1499163390,95,92
1499182786,81,84
1499204299,93,91
1499229517,125,127
1499250129,96,93
1499269003,85,90
1499290807,93,91
1499316844,121,120
1499344333,100,98
1499357160,83,84
1499385041,104,106
1499404535,130,128
1499424775,105,106
1499443153,89,94
1499469041,102,98
1499490786,118,120
1499512162,97,94
1499530048,81,84
1499556856,109,105
1499577262,100,105
1499598146,99,95
1499616782,83,87
1499638384,117,116
1499663154,114,115
1499688267,103,100
1499703017,88,92
1499730150,98,94
1499750023,116,116
1499770846,97,95
1499789216,84,87
1499815317,111,108
1499836148,91,94
1499861694,98,95
1499876027,84,88
1499896700,127,124
1499922148,100,101
1499947384,105,103
1499961890,89,91
1499988294,109,107
1500009151,95,97
1500029281,105,105
1500048518,88,90
1500075709,117,115
1500095459,96,97
1500121406,96,96
1500135579,119,118
1500157218,138,134
1500180866,131,134
1500207257,98,99
1500220523,117,116
1500248150,135,132
1500268222,133,135
1500294721,115,117
1500308034,121,120
1500328796,137,134
1500354662,124,126
1500381112,105,104
1500394174,109,110
1500420749,133,131
1500441449,122,125
