DateTime,Entries,UniqueIPs
1476854400,29637,29637
1476898200,29546,29546
1476942000,29851,29851
1476985200,29392,29392
1477028401,29644,29644
1477071600,29530,29530
1477114800,28857,28857
1477158000,29126,29126
1477201200,29154,29154
1477244400,29037,29037
1477287600,29040,29040
1477330800,30205,30205
1477374000,30990,30990
1477417200,31319,31319
1477460400,33235,33235
1477503601,35927,35927
1477546801,36371,36371
1477590000,40197,40197
1477633200,41999,41999
1477676401,45610,45610
1477719600,45746,45746
1477762800,45320,45320
1477806001,45156,45156
1477849201,44927,44927
1477892400,45064,45064
1477935601,46703,46703
1477978800,46185,46185
1478022000,45196,45196
1478065201,44721,44721
1478108400,44134,44134
1478151600,43633,43633
1478194801,42202,42202
1478238601,40531,40531
1478282400,39784,39784
1478325601,38478,38478
1478368801,37364,37364
1478412000,36726,36726
1478455200,35977,35977
1478498400,35418,35418
1478541602,34921,34921
1478584800,34414,34414
1478628000,32748,32748
1478671200,31591,31591
1478714400,30668,30668
1478757600,28121,28121
1478800801,24718,24718
1478844001,23728,23728
1478887200,19296,19296
1478930401,16443,16443
1478973601,12144,12144
1479016800,11109,11109
1479060000,9844,9844
1479103200,8360,8360
1479146401,2394,2394
1479189600,2392,2392
1479232801,2383,2383
1479276000,2392,2392
1479319200,2388,2388
1479362401,2378,2378
1479405601,2379,2379
1479448800,2370,2370
1479492000,2381,2381
1479535200,2386,2386
1479578400,2373,2373
1479621601,2348,2348
1479664800,2338,2338
1479708001,2323,2323
1479751200,2305,2305
1479794400,2306,2306
1479837600,2305,2305
1479880800,2307,2307
1479924001,2304,2304
1479967200,2292,2292
1480010400,2282,2282
1480053601,2288,2288
1480096800,2281,2281
1480140000,2258,2258
1480183200,2199,2199
1480226400,2192,2192
1480269601,2120,2120
1480312801,2074,2074
1480356000,2008,2008
1480399200,2003,2003
1480442400,2004,2004
1480485600,1999,1999
1480528800,1977,1977
1480572001,1980,1980
1480615200,1974,1974
1480658401,1957,1957
1480701604,1966,1966
1480744801,1967,1967
1480788000,1973,1973
1480831200,1973,1973
1480874400,1968,1968
1480917600,1962,1962
1480960800,1956,1956
1481004000,1968,1968
1481047800,1963,1963
1481091600,1954,1954
1481135400,1957,1957
1481179200,1950,1950
1481222401,1979,1979
1481265600,1972,1972
1481308800,1972,1972
