DateTime,Entries,UniqueIPs
1499799122,4122,4226
1499800922,4119,4223
1499802121,4117,4221
1499803321,4123,4227
1499804522,4125,4229
1499805121,4129,4233
1499805722,4127,4231
1499806321,4150,4254
1499806921,4153,4258
1499808122,4151,4258
1499809322,4150,4257
1499809922,4149,4254
1499811722,4149,4254
1499812322,4145,4250
1499812922,4149,4255
1499813522,4155,4262
1499814122,4158,4265
1499814722,4161,4268
1499815321,4160,4267
1499815922,4161,4268
1499816522,4164,4271
1499818922,4174,4281
1499819521,4176,4285
1499820122,4178,4288
1499820721,4185,4295
1499821322,4188,4298
1499821921,4187,4297
1499822522,4187,4298
1499823121,4188,4299
1499824322,4188,4299
1499824922,4192,4303
1499825522,4199,4310
1499826121,4198,4309
1499826721,4203,4314
1499827322,4208,4319
1499827922,4198,4308
1499828521,4200,4310
1499829722,4205,4315
1499830321,4206,4316
1499830921,4213,4324
1499832122,4208,4319
1499833322,4212,4323
1499833921,4213,4324
1499834521,4218,4329
1499835121,4218,4329
1499836321,4219,4330
1499836922,4222,4333
1499837521,4222,4333
1499838122,4223,4334
1499839321,4225,4336
1499839922,4225,4334
1499841722,4222,4331
1499842921,4222,4331
1499843522,4224,4333
1499844122,4222,4331
1499846522,4222,4331
1499847122,4225,4330
1499847722,4226,4331
1499848321,4223,4328
1499848922,4226,4331
1499850122,4224,4329
1499850722,4222,4327
1499851322,4224,4329
1499852522,4220,4328
1499853122,4222,4330
1499853722,4223,4331
1499854321,4219,4327
1499854922,4220,4328
1499856122,4221,4328
1499857322,4219,4326
1499857922,4220,4327
1499858521,4220,4327
1499859121,4223,4330
1499859721,4223,4330
1499860321,4224,4331
1499860922,4225,4332
1499861521,4222,4327
1499862121,4223,4328
1499862722,4223,4328
1499863322,4227,4332
1499864522,4222,4327
1499865121,4223,4328
1499865721,4234,4339
1499866321,4237,4342
1499868122,4232,4337
1499869321,4233,4338
1499869921,4235,4340
1499870521,4232,4337
1499871121,4233,4338
1499871722,4237,4342
1499873522,4239,4344
1499874122,4242,4347
1499875321,4244,4349
1499875922,4244,4347
1499876521,4249,4352
1499877721,4251,4354
1499878922,4250,4353
1499879521,4251,4354
1499880122,4247,4349
1499881321,4250,4352
1499882522,4253,4355
1499883121,4260,4362
1499883722,4260,4362
1499884321,4263,4365
1499884921,4265,4367
1499886722,4266,4368
1499887922,4263,4364
1499888522,4266,4367
1499890322,4265,4366
1499890922,4267,4368
1499891521,4266,4367
1499893922,4270,4371
1499894522,4273,4374
1499895722,4272,4373
1499896922,4274,4375
1499897521,4254,4350
1499898121,4257,4354
1499899321,4254,4350
1499899921,4255,4351
1499900522,4258,4354
1499901122,4257,4353
1499901722,4265,4361
1499902322,4263,4359
1499902921,4267,4363
1499903521,4267,4363
1499904122,4268,4364
1499904721,4271,4367
1499905322,4268,4364
1499906522,4266,4361
1499907121,4269,4364
1499907723,4270,4365
1499908922,4265,4360
1499910121,4266,4361
1499910722,4263,4358
1499911321,4276,4371
1499911921,4279,4374
1499912522,4282,4377
1499913121,4284,4379
1499913722,4288,4383
1499914922,4285,4380
1499915522,4299,4394
1499916122,4300,4395
1499917321,4300,4395
1499917921,4300,4395
1499918521,4301,4396
1499919721,4306,4401
1499920321,4310,4405
1499920922,4316,4411
1499921521,4321,4416
1499922122,4317,4411
1499922722,4321,4415
1499923322,4323,4417
1499923921,4323,4417
1499924522,4325,4419
1499925122,4324,4418
1499925721,4329,4423
1499926321,4333,4427
1499926921,4336,4430
1499928121,4338,4430
1499928721,4334,4426
1499929322,4336,4428
1499929921,4346,4438
1499930522,4347,4439
1499931121,4348,4440
1499931722,4350,4441
1499933521,4352,4443
1499934122,4350,4441
1499934722,4353,4444
1499935322,4354,4446
1499935922,4350,4442
1499936522,4355,4447
1499937121,4356,4448
1499937721,4359,4451
1499938922,4359,4451
1499939522,4364,4456
1499940122,4364,4456
1499942522,4369,4461
1499943722,4361,4453
1499944321,4366,4458
1499944922,4363,4455
1499946121,4364,4456
1499946722,4368,4460
1499947321,4368,4460
1499947922,4368,4460
1499948521,4370,4462
1499949721,4371,4463
1499950921,4370,4462
1499951521,4372,4464
1499952121,4371,4463
1499953322,4373,4465
1499954521,4375,4467
1499955122,4374,4466
1499955721,4377,4469
1499956322,4380,4472
1499956922,4383,4475
1499957522,4387,4479
1499958121,4384,4476
1499958722,4389,4481
1499959321,4401,4493
1499959922,4402,4494
1499960521,4398,4490
1499961722,4400,4492
1499962322,4398,4490
1499962921,4401,4493
1499963522,4402,4494
1499964121,4406,4498
1499964721,4410,4502
1499966522,4411,4502
1499967722,4415,4506
1499968322,4418,4509
1499968922,4422,4513
1499969522,4423,4514
1499970121,4426,4517
1499970721,4429,4520
1499971321,4422,4513
1499971921,4423,4514
1499973122,4414,4505
1499973721,4415,4506
1499974321,4420,4510
1499974922,4421,4511
1499975521,4425,4515
1499976122,4429,4519
1499977322,4431,4521
1499977922,4432,4522
1499978521,4436,4526
1499979122,4437,4527
1499979722,4433,4523
1499980321,4432,4522
1499980922,4427,4516
1499981521,4429,4518
1499982122,4434,4523
1499983322,4438,4527
1499983922,4441,4530
1499985122,4451,4540
1499985722,4453,4542
1499986922,4448,4536
1499987521,4452,4540
1499988121,4453,4541
1499988721,4457,4545
1499989322,4456,4544
1499989921,4449,4537
1499990521,4451,4539
1499991121,4455,4543
1499991722,4444,4532
1499992321,4450,4538
1499992923,4451,4539
1499993522,4454,4542
1499994122,4460,4548
1499994722,4464,4552
1499995323,4465,4553
1499995922,4467,4555
1499996521,4465,4553
1499997122,4466,4554
1499997721,4469,4557
1499998322,4468,4556
1499998922,4469,4557
1499999522,4468,4556
1500000121,4468,4556
1500001322,4465,4553
1500002522,4479,4567
1500003121,4482,4570
1500003722,4483,4571
1500004321,4485,4573
1500004922,4485,4574
1500005521,4489,4578
1500006121,4491,4580
1500006722,4498,4587
1500008522,4500,4589
1500009121,4502,4591
1500009722,4503,4592
1500010922,4499,4589
1500011521,4500,4590
1500012121,4508,4598
1500013322,4513,4603
1500013921,4514,4604
1500014522,4518,4608
1500015122,4517,4607
1500015721,4516,4606
1500016922,4509,4599
1500017521,4510,4600
1500018122,4512,4602
1500018722,4514,4604
1500019321,4519,4609
1500020522,4516,4606
1500021122,4519,4609
1500021721,4522,4612
1500022922,4525,4615
1500023522,4532,4622
1500024121,4533,4623
1500024722,4533,4623
1500025321,4531,4621
1500025921,4529,4619
1500026521,4534,4624
1500027121,4535,4625
1500027721,4534,4624
1500028322,4536,4626
1500028922,4533,4623
1500030721,4533,4623
1500031321,4536,4626
1500031922,4535,4625
1500032521,4531,4621
1500033122,4532,4622
1500033721,4533,4623
1500034321,4529,4619
1500034922,4530,4620
1500035521,4531,4621
1500036121,4530,4620
1500036721,4530,4619
1500037322,4530,4619
1500037921,4532,4621
1500038522,4531,4620
1500039122,4529,4618
1500039722,4531,4620
1500040321,4527,4616
1500040922,4534,4623
1500042121,4535,4624
1500042722,4536,4625
1500043321,4537,4626
1500044522,4535,4624
1500045122,4540,4629
1500045722,4537,4626
1500046322,4540,4629
1500046922,4540,4629
1500047522,4544,4633
1500048121,4546,4635
1500048722,4547,4636
1500049321,4548,4637
1500049921,4545,4634
1500050522,4544,4633
1500051122,4545,4634
1500051722,4549,4638
1500052322,4551,4640
1500052921,4547,4634
1500054121,4540,4626
1500054722,4551,4637
1500055321,4552,4638
1500056521,4552,4638
1500057121,4553,4639
1500057722,4557,4643
1500058921,4553,4639
1500059522,4555,4641
1500060122,4556,4642
1500060721,4558,4644
1500061321,4560,4646
1500062522,4559,4645
1500063121,4558,4644
1500063722,4558,4644
1500064922,4562,4648
1500066122,4566,4652
1500067321,4562,4648
1500067922,4563,4649
1500068522,4555,4641
1500069721,4568,4654
1500070321,4570,4655
1500070921,4571,4656
1500071522,4570,4655
1500072121,4570,4655
1500073322,4569,4654
1500074521,4566,4651
1500075121,4567,4652
1500075722,4556,4641
1500076322,4559,4644
1500076922,4563,4648
1500077521,4566,4651
1500078122,4576,4661
1500078722,4578,4663
1500079322,4580,4665
1500080522,4583,4668
1500081121,4586,4671
1500081721,4587,4672
1500082921,4588,4673
1500083522,4588,4673
1500084122,4593,4678
1500084721,4589,4674
1500085321,4590,4675
1500085921,4592,4677
1500086521,4589,4674
1500087121,4588,4673
1500087722,4586,4671
1500088922,4587,4672
1500090122,4591,4676
1500091321,4575,4660
1500092521,4575,4660
1500093121,4577,4662
1500093721,4568,4653
1500094322,4571,4656
1500094922,4572,4657
1500096722,4573,4658
1500097321,4569,4655
1500097921,4570,4656
1500098521,4569,4655
1500099122,4571,4657
1500099722,4572,4658
1500100322,4578,4664
1500100922,4579,4665
1500102122,4580,4666
1500102722,4581,4667
1500103321,4582,4668
1500103922,4590,4677
1500104521,4591,4678
1500105122,4591,4678
1500105721,4597,4684
1500106321,4600,4687
1500108122,4596,4683
1500109322,4597,4684
1500109922,4599,4686
1500110522,4600,4687
1500111122,4599,4686
1500111721,4599,4688
1500112922,4595,4684
1500113522,4596,4685
1500115321,4596,4685
1500116522,4598,4687
1500117122,4609,4698
1500118322,4623,4712
1500118922,4623,4712
1500120122,4626,4715
1500120722,4625,4715
1500122521,4628,4719
1500123122,4632,4723
1500123721,4636,4727
1500124921,4637,4728
1500125522,4638,4729
1500126122,4641,4732
1500126722,4644,4735
1500127322,4654,4745
1500128522,4657,4748
1500129722,4656,4747
1500130322,4659,4750
1500130922,4664,4755
1500131522,4669,4760
1500132122,4666,4757
1500132722,4668,4759
1500133322,4669,4760
1500133921,4666,4757
1500134521,4664,4755
1500135721,4666,4757
1500136922,4668,4759
1500138122,4673,4764
1500138722,4671,4761
1500139322,4672,4762
1500139922,4673,4763
1500140521,4676,4766
1500141722,4675,4765
1500142921,4679,4769
1500144121,4671,4761
1500144721,4672,4762
1500145322,4676,4766
1500145922,4674,4764
1500146521,4676,4766
1500147722,4680,4770
1500148322,4684,4774
1500148921,4686,4776
1500149521,4686,4776
1500150121,4687,4777
1500151321,4693,4783
1500152521,4696,4786
1500153121,4703,4793
1500153722,4704,4794
1500154921,4703,4793
1500155522,4705,4795
1500156121,4703,4793
1500156721,4704,4794
1500157322,4708,4799
1500158522,4706,4797
1500159121,4708,4799
1500159721,4713,4804
1500160922,4711,4802
1500162122,4708,4799
1500163322,4711,4802
1500164521,4709,4800
1500165722,4711,4802
1500166922,4710,4801
1500167521,4712,4803
1500168121,4721,4813
1500168721,4722,4814
1500169322,4721,4813
1500170521,4721,4812
1500171722,4722,4813
1500172321,4729,4820
1500172922,4731,4822
1500173521,4729,4820
1500174122,4731,4822
1500175321,4732,4823
1500175922,4729,4820
1500176522,4731,4820
1500177722,4729,4818
1500178922,4730,4819
1500180121,4733,4822
1500181322,4730,4819
1500181922,4729,4817
1500182521,4730,4818
1500183123,4729,4817
1500183722,4736,4824
1500184321,4737,4825
1500185522,4739,4827
1500186122,4741,4829
1500187922,4741,4829
1500189121,4742,4830
1500189722,4740,4829
