DateTime,Entries,UniqueIPs
1499979122,80,80
1499979722,80,80
1499980321,80,80
1499980922,80,80
1499981521,80,80
1499982122,80,80
1499983322,80,80
1499983922,80,80
1499985122,80,80
1499985722,80,80
1499986922,80,80
1499987521,80,80
1499988121,80,80
1499988721,80,80
1499989322,80,80
1499989921,80,80
1499990521,80,80
1499991121,80,80
1499991722,80,80
1499992321,80,80
1499992923,80,80
1499993522,80,80
1499994122,80,80
1499994722,80,80
1499995323,80,80
1499995922,80,80
1499996521,80,80
1499997122,80,80
1499997721,80,80
1499998322,80,80
1499998922,80,80
1499999522,80,80
1500000121,80,80
1500001322,80,80
1500002522,80,80
1500003121,80,80
1500003722,80,80
1500004321,80,80
1500004922,80,80
1500005521,80,80
1500006121,80,80
1500006722,80,80
1500007321,80,80
1500008522,80,80
1500009121,80,80
1500009722,80,80
1500010922,80,80
1500011521,80,80
1500012121,80,80
1500012722,80,80
1500013322,80,80
1500013921,80,80
1500014522,80,80
1500015122,80,80
1500015721,80,80
1500016322,80,80
1500016922,80,80
1500017521,80,80
1500018122,80,80
1500018722,80,80
1500019321,80,80
1500020522,80,80
1500021122,80,80
1500021721,80,80
1500022922,80,80
1500023522,80,80
1500024121,80,80
1500024722,80,80
1500025321,80,80
1500025921,80,80
1500026521,80,80
1500027121,80,80
1500027721,80,80
1500028322,80,80
1500028922,80,80
1500030121,80,80
1500030721,80,80
1500031321,80,80
1500031922,80,80
1500032521,80,80
1500033122,80,80
1500033721,80,80
1500034321,80,80
1500034922,80,80
1500035521,80,80
1500036121,80,80
1500036721,80,80
1500037322,80,80
1500037921,80,80
1500038522,80,80
1500039122,80,80
1500039722,80,80
1500040321,80,80
1500040922,80,80
1500042121,80,80
1500042722,80,80
1500043321,80,80
1500044522,80,80
1500045122,80,80
1500045722,80,80
1500046322,80,80
1500046922,80,80
1500047522,80,80
1500048121,80,80
1500048722,80,80
1500049321,80,80
1500049921,80,80
1500050522,80,80
1500051122,80,80
1500051722,80,80
1500052322,80,80
1500052921,80,80
1500054121,80,80
1500054722,80,80
1500055321,80,80
1500056521,80,80
1500057121,80,80
1500057722,80,80
1500058921,80,80
1500059522,80,80
1500060122,80,80
1500060721,80,80
1500061321,80,80
1500062522,80,80
1500063121,80,80
1500063722,80,80
1500064922,80,80
1500065522,80,80
1500066122,80,80
1500066722,80,80
1500067321,80,80
1500067922,80,80
1500068522,80,80
1500069122,80,80
1500069721,80,80
1500070321,80,80
1500070921,80,80
1500071522,80,80
1500072121,80,80
1500072721,80,80
1500073322,80,80
1500073922,80,80
1500074521,80,80
1500075121,80,80
1500075722,80,80
1500076322,80,80
1500076922,80,80
1500077521,80,80
1500078122,80,80
1500078722,80,80
1500079322,80,80
1500080522,80,80
1500081121,80,80
1500081721,80,80
1500082921,80,80
1500083522,80,80
1500084122,80,80
1500084721,80,80
