DateTime,Entries,UniqueIPs
1498612555,4062,4062
1498616155,4207,4207
1498619755,4317,4317
1498625155,4482,4482
1498628755,4604,4604
1498632355,4730,4730
1498635956,4852,4852
1498639555,4963,4963
1498643155,5068,5068
1498646755,5192,5192
1498650355,5321,5321
1498653956,5422,5422
1498657556,5522,5522
1498661155,5623,5623
1498664755,5702,5702
1498668355,5809,5809
1498671955,5911,5911
1498675556,6006,6006
1498679155,6112,6112
1498682756,6211,6211
1498686356,6303,6303
1498689955,6399,6399
1498693555,6488,6488
1498697156,3985,3985
1498700756,4119,4119
1498704355,4233,4233
1498707956,4332,4332
1498711556,4432,4432
1498715155,4526,4526
1498718756,4657,4657
1498722355,4773,4773
1498725956,4891,4891
1498729556,5037,5037
1498733155,5165,5165
1498736755,5264,5264
1498740356,5384,5384
1498743955,5505,5505
1498747556,5636,5636
1498751156,5776,5776
1498754755,5863,5863
1498758356,5974,5974
1498761956,6087,6087
1498765556,6164,6164
1498769156,6262,6262
1498772756,6358,6358
1498776356,6444,6444
1498779955,6526,6526
1498783555,4074,4074
1498787155,4171,4171
1498790755,4262,4262
1498794355,4402,4402
1498797956,4515,4515
1498801555,4623,4623
1498805156,4734,4734
1498808756,4850,4850
1498812356,4962,4962
1498815955,5093,5093
1498819556,5195,5195
1498823156,5317,5317
1498826756,5421,5421
1498830356,5541,5541
1498833956,5656,5656
1498837555,5754,5754
1498841156,5867,5867
1498844756,6535,6535
1498848356,6722,6722
1498851956,6855,6855
1498855556,6978,6978
1498859156,7112,7112
1498862756,7237,7237
1498866356,7359,7359
1498869956,4968,4968
1498873556,5098,5098
1498877156,5245,5245
1498880756,5370,5370
1498884356,5513,5513
1498887956,5654,5654
1498891557,5812,5812
1498895157,5956,5956
1498898756,6074,6074
1498902357,6220,6220
1498905956,6376,6376
1498909556,6513,6513
1498913157,6642,6642
1498916756,6758,6758
1498920356,6863,6863
1498923957,6983,6983
1498927557,7092,7092
1498931156,7190,7190
1498934756,7323,7323
1498938356,7449,7449
1498941956,7596,7596
1498945557,7719,7719
1498949156,7841,7841
1498952756,7975,7975
1498956357,4872,4872
1498959957,5037,5037
1498963557,5217,5217
1498967157,5373,5373
1498970756,5511,5511
1498974356,5639,5639
1498977957,5750,5750
1498981557,5940,5940
1498985156,6054,6054
1498988756,6186,6186
1498992356,6344,6344
1498995957,6489,6489
1498999557,6642,6642
1499003157,6792,6792
1499006756,6961,6961
1499010356,7056,7056
1499013957,7168,7168
1499017557,7283,7283
1499021157,7397,7397
1499024757,7505,7505
1499028357,7681,7681
1499031957,7799,7799
1499035556,7917,7917
1499039157,8022,8022
1499042757,5060,5060
1499046357,5220,5220
1499049957,5346,5346
1499053557,5491,5491
1499057156,5621,5621
1499060757,5755,5755
1499064357,5906,5906
1499067957,6139,6139
1499071557,6395,6395
1499075157,6546,6546
1499078757,6691,6691
1499082357,6886,6886
1499085957,7056,7056
1499089557,7221,7221
1499093157,7354,7354
1499096757,7501,7501
1499100357,7638,7638
1499103957,7809,7809
1499107557,7959,7959
1499111157,8078,8078
1499114757,8194,8194
1499118357,8318,8318
1499121957,8546,8546
1499125557,8742,8742
1499129157,5603,5603
1499132757,5751,5751
1499136357,5877,5877
1499139957,6302,6302
1499143557,6449,6449
1499147157,6624,6624
1499150757,6789,6789
1499154357,6935,6935
1499157957,7130,7130
1499161557,7267,7267
1499165157,7395,7395
1499168758,7533,7533
1499172357,7656,7656
1499175958,7780,7780
1499179558,7920,7920
1499183158,8032,8032
1499186757,8179,8179
1499190358,8269,8269
1499193958,8380,8380
1499197558,8488,8488
1499201157,8650,8650
1499204757,8770,8770
1499208357,8893,8893
1499211957,9031,9031
1499215558,5416,5416
1499219157,5516,5516
1499222758,5632,5632
1499226358,5752,5752
1499229958,5905,5905
1499233558,6067,6067
1499237157,6199,6199
1499240758,6402,6402
1499244358,6597,6597
1499247958,6769,6769
1499251558,6970,6970
1499255157,7200,7200
1499258757,7394,7394
1499262358,7605,7605
1499265957,7800,7800
1499269557,7956,7956
1499273157,8103,8103
1499276758,8279,8279
1499280358,8448,8448
1499283958,8550,8550
1499287558,8655,8655
1499291158,8783,8783
1499294758,8889,8889
1499298357,8989,8989
1499301958,5611,5611
1499305558,5795,5795
1499309158,5914,5914
1499312758,6030,6030
1499316358,6174,6174
1499319958,6342,6342
1499323558,6527,6527
1499327158,6714,6714
1499330758,6886,6886
1499334358,7085,7085
1499337958,7288,7288
1499341558,7472,7472
1499345158,7615,7615
