DateTime,Entries,UniqueIPs
1455541219,191064,191064
1455627619,190790,190790
1455714019,190712,190712
1455800419,190886,190886
1455886820,187910,187910
1455973220,187868,187868
1456059619,187493,187493
1456146018,187188,187188
1456232419,187400,187400
1456318818,187532,187532
1456405218,187507,187507
1456491619,187747,187747
1456578019,188028,188028
1456664419,187739,187739
1456750818,187574,187574
1456837219,187407,187407
1456923619,187581,187581
1457010019,187687,187687
1457096419,188343,188343
1457182819,188554,188554
1457269219,188764,188764
1457355619,188815,188815
1457442019,188978,188978
1457528419,189723,189723
1457614818,189669,189669
1457701219,190011,190011
1457787619,190502,190502
1457874019,190865,190865
1457960419,190908,190908
1458046819,192104,192104
1458133219,192463,192463
1458219619,192401,192401
1458306018,193017,193017
1458392419,193588,193588
1458478819,194022,194022
1458565219,194132,194132
1458651619,194248,194248
1458738019,194708,194708
1458824419,194911,194911
1458910818,195193,195193
1458997219,195761,195761
1459083618,195638,195638
1459170018,195372,195372
1459256418,195715,195715
1459342818,196074,196074
1459429218,196391,196391
1459515619,196426,196426
1459602019,196464,196464
1459688419,196187,196187
1459774819,196010,196010
1459861219,195996,195996
1459947618,196147,196147
1460034019,196240,196240
1460120418,196142,196142
1460206819,196344,196344
1460293218,195691,195691
1460379619,194619,194619
1460466019,194125,194125
1460552418,193886,193886
1460638819,193882,193882
1460725219,193298,193298
1460811619,193266,193266
1460898019,192961,192961
1460984419,192495,192495
1461070819,192248,192248
1461157219,192226,192226
1461243619,191810,191810
1461330019,191476,191476
1461416420,191238,191238
1461502820,190553,190553
1461589220,189907,189907
1461675619,191299,191299
1461762019,190913,190913
1461848421,190485,190485
1461934819,189964,189964
1462021220,189537,189537
1462107620,188580,188580
1462194022,188351,188351
1462280421,188073,188073
1462366821,187882,187882
1462453220,187779,187779
1462539621,187386,187386
1462626021,188599,188599
1462712422,188107,188107
1462798821,187825,187825
1462885221,187589,187589
1462971621,188061,188061
1463058021,187745,187745
1463317221,186743,186743
1463403621,186555,186555
1463490020,186673,186673
1463576421,186361,186361
1463662821,186277,186277
1463749222,186434,186434
1463835622,186408,186408
1463922022,185832,185832
1464008421,185234,185234
1464094821,184595,184595
1464181222,184505,184505
1464267622,184042,184042
1464354021,183500,183500
1464440423,183655,183655
1464526822,183431,183431
1464613222,183419,183419
1464699622,183029,183029
1464786021,182754,182754
1464872422,182013,182013
1464958822,182047,182047
1465045221,181382,181382
1465131622,180671,180671
1465218022,180042,180042
1465304422,179142,179142
1465390823,178866,178866
1465477222,178485,178485
1465563622,178242,178242
1465650012,177771,177771
1465736412,176041,176041
1465822812,174464,174464
1465909211,173867,173867
1465995611,173456,173456
1466082012,172615,172615
1466168412,171732,171732
1466254811,170920,170920
