DateTime,AddedIPs,RemovedIPs
1497885364,0,1
1497888963,6,4
1497895279,0,3
1497896159,6,5
1497903364,20,4
1497910565,9,5
1497917764,4,6
1497924962,4,5
1497932182,1,5
1497939362,3,2
1497946563,5,2
1497953760,3,5
1497960962,3,6
1497968167,4,0
1497973564,0,2252
1497974474,1,0
1497975367,6,5
1497978966,1,0
1497982569,6,1
1497983466,1,0
1497986162,1,0
1497989766,4,3
1497993362,1,0
1497996962,3,8
1498000563,1,0
1498004162,1,3
1498011360,6,5
1498018575,5,6
1498022160,0,1
1498025762,2,2
1498032963,4,6
1498040159,5,5
1498047360,2,8
1498050070,0,2
1498050960,1,0
1498054558,6,4
1498060870,0,2322
1498061763,2,4
1498068960,4,10
1498076163,4,3
1498079764,1,0
1498080663,0,2
1498083363,5,4
1498086074,2531,0
1498086961,41,0
1498090562,4,5
1498094159,1,0
1498097763,1,5
1498104975,4,6
1498108565,0,1
1498112157,2,2
1498119358,4,4
1498126561,5,3
1498133757,3,3
1498136476,1219,0
1498137361,1,0
1498140960,9,1
1498148162,2,8
1498151763,1,1
1498155366,7,5
1498162564,5,5
1498169763,4,2
1498176961,7,7
1498184194,2,4
1498191376,3,2
1498198561,2,4
1498205765,4,2
1498212962,2,6
1498216559,2,0
1498220163,4,1
1498223762,1,0
1498227365,2,3
1498230963,1644,0
1498234565,3,2
1498236361,0,2
1498238162,2,0
1498241766,5,5
1498245361,2,0
1498248961,29,4
1498256159,5,10
1498263363,2,3
1498270564,2,3
1498278666,3,3
1498284974,3,3
1498292174,7,3
1498299372,2,5
1498306569,7,6
1498313769,8,1
1498317371,0,1
1498320094,1852,0
1498320973,3,4
1498328171,5,5
1498335372,4,1
1498342575,4,7
1498349768,4,3
1498356971,3,3
1498362653,1,0
1498364207,7,7
1498371372,3,4
1498378589,2,3
1498385782,1,4
1498389384,1,0
1498392983,6,5
1498400186,6,2
1498401084,0,1
1498407380,5,3
1498410104,1452,0
1498410984,9,0
1498414584,2,5
1498421789,5,6
1498428982,2,3
1498436189,7,3
1498443390,2,4
1498450604,7,3
1498454186,1,0
1498457787,2,5
1498464988,1,6
1498472181,5,3
1498479400,12,4
1498486611,6,4
1498494704,7,10
1498501000,1151,6
1498508202,3,6
1498515401,4,5
1498522604,7,2
1498529800,5,4
1498537027,4,1
1498544198,2,5
1498551404,6,8
1498558601,5,7
1498565806,7,5
1498573006,4,3
1498579329,1023,0
1498580203,65,2742
1498581101,0,364
1498582000,0,2
1498587399,9,3
1498594597,3,4
1498601799,6,4
1498608996,6,4
1498616201,4,6
1498623430,4,1
1498630597,2,6
1498637794,4,4
1498645006,6,4
1498652198,3,9
1498659402,2,4
1498663003,1,0
1498665730,1559,0
1498666622,4,7
1498673802,3,6
1498680999,4,2
1498684599,1,0
1498688200,7,6
1498695402,4,4
1498702599,0,4
1498709821,4,8
1498713403,3,0
1498717001,0,5
1498724202,3,0
1498728699,1,0
1498731400,3,11
1498744937,0,4
1498745808,10,2
1498753007,5,6
1498754797,0,1
1498760207,0,5
1498767399,3,6
1498769199,38,0
1498774606,3,4
1498781800,3,3
1498789004,3,5
1498796231,4,2
1498799808,1,0
1498803405,5,7
1498805211,1378,0
1498810607,3,1
1498817810,5,4
1498825008,4,0
1498832205,4,4
1498834016,462,0
1498835806,1,0
1498839409,3,4
1498841218,0,1
1498842126,0,1
1498843009,113,0
1498846610,8,6
1498853812,4,4
1498861009,6,4
1498864611,0,3
1498868210,5,5
1498870932,336,0
1498872713,46,0
1498875418,13,7
1498876310,43,0
1498879910,55,0
1498882640,5,1
1498889811,2,4
1498897012,5,3
1498900604,1,0
1498904207,3,8
1498911406,4,0
