DateTime,Entries,UniqueIPs
1497852963,11428,11428
1497860166,11423,11423
1497867363,11426,11426
1497870965,11427,11427
1497874563,11425,11425
1497881764,11432,11432
1497884471,9390,9390
1497885364,9389,9389
1497888963,9391,9391
1497895279,9388,9388
1497896159,9389,9389
1497903364,9405,9405
1497910565,9409,9409
1497917764,9407,9407
1497924962,9406,9406
1497932182,9402,9402
1497939362,9403,9403
1497946563,9406,9406
1497953760,9404,9404
1497960962,9401,9401
1497968167,9405,9405
1497973564,7153,7153
1497974474,7154,7154
1497975367,7155,7155
1497978966,7156,7156
1497982569,7161,7161
1497983466,7162,7162
1497986162,7163,7163
1497989766,7164,7164
1497993362,7165,7165
1497996962,7160,7160
1498000563,7161,7161
1498004162,7159,7159
1498011360,7160,7160
1498018575,7159,7159
1498022160,7158,7158
1498025762,7158,7158
1498032963,7156,7156
1498040159,7156,7156
1498047360,7150,7150
1498050070,7148,7148
1498050960,7149,7149
1498054558,7151,7151
1498060870,4829,4829
1498061763,4827,4827
1498068960,4821,4821
1498076163,4822,4822
1498079764,4823,4823
1498080663,4821,4821
1498083363,4822,4822
1498086074,7353,7353
1498086961,7394,7394
1498090562,7393,7393
1498094159,7394,7394
1498097763,7390,7390
1498104975,7388,7388
1498108565,7387,7387
1498112157,7387,7387
1498119358,7387,7387
1498126561,7389,7389
1498133757,7389,7389
1498136476,8608,8608
1498137361,8609,8609
1498140960,8617,8617
1498148162,8611,8611
1498151763,8611,8611
1498155366,8613,8613
1498162564,8613,8613
1498169763,8615,8615
1498176961,8615,8615
1498184194,8613,8613
1498191376,8614,8614
1498198561,8612,8612
1498205765,8614,8614
1498212962,8610,8610
1498216559,8612,8612
1498220163,8615,8615
1498223762,8616,8616
1498227365,8615,8615
1498230963,10259,10259
1498234565,10260,10260
1498236361,10258,10258
1498238162,10260,10260
1498241766,10260,10260
1498245361,10262,10262
1498248961,10287,10287
1498256159,10282,10282
1498263363,10281,10281
1498270564,10280,10280
1498278666,10280,10280
1498284974,10280,10280
1498292174,10284,10284
1498299372,10281,10281
1498306569,10282,10282
1498313769,10289,10289
1498317371,10288,10288
1498320094,12140,12140
1498320973,12139,12139
1498328171,12139,12139
1498335372,12142,12142
1498342575,12139,12139
1498349768,12140,12140
1498356971,12140,12140
1498362653,12141,12141
1498364207,12141,12141
1498371372,12140,12140
1498378589,12139,12139
1498385782,12136,12136
1498389384,12137,12137
1498392983,12138,12138
1498400186,12142,12142
1498401084,12141,12141
1498407380,12143,12143
1498410104,13595,13595
1498410984,13604,13604
1498414584,13601,13601
1498421789,13600,13600
1498428982,13599,13599
1498436189,13603,13603
1498443390,13601,13601
1498450604,13605,13605
1498454186,13606,13606
1498457787,13603,13603
1498464988,13598,13598
1498472181,13600,13600
1498479400,13608,13608
1498486611,13610,13610
1498494704,13607,13607
1498501000,14752,14752
1498508202,14749,14749
1498515401,14748,14748
1498522604,14753,14753
1498529800,14754,14754
1498537027,14757,14757
1498544198,14754,14754
1498551404,14752,14752
1498558601,14750,14750
1498565806,14752,14752
1498573006,14753,14753
1498579329,15776,15776
1498580203,13099,13099
1498581101,12735,12735
1498582000,12733,12733
1498587399,12739,12739
1498594597,12738,12738
1498601799,12740,12740
1498608996,12742,12742
1498616201,12740,12740
1498623430,12743,12743
1498630597,12739,12739
1498637794,12739,12739
1498645006,12741,12741
1498652198,12735,12735
1498659402,12733,12733
1498663003,12734,12734
1498665730,14293,14293
1498666622,14290,14290
