DateTime,AddedIPs,RemovedIPs
1498392193,3,0
1498395795,2,4
1498402993,4,1
1498406593,1,1
1498410195,1,0
1498417334,3,3
1498420936,1,3
1498424595,1,0
1498428195,0,1
1498431795,2,3
1498435394,1,1
1498438995,1,4
1498442534,1,0
1498446195,4,1
1498449796,0,3
1498453336,1,2
1498457017,0,1
1498460535,2,1
1498467795,0,3
1498471335,2,1
1498474995,1,2
1498477943,4,0
1498482200,2,1
1498485800,2,6
1498489400,4,0
1498496601,2,2
1498500201,2,2
1498503800,1,0
1498507400,1,0
1498511000,1,1
1498514540,1,0
1498518140,5,4
1498521800,1,0
1498529000,3,5
1498532600,3,0
1498536200,1,2
1498543400,1,5
1498546941,3,0
1498550541,1,4
1498554201,2,1
1498557801,1,0
1498561401,2,0
1498564941,4,0
1498568601,0,1
1498572201,2,0
1498575801,2,5
1498579401,4,0
1498583001,3,0
1498586601,3,2
1498589781,1,0
1498590201,0,3
1498593742,1,0
1498597341,4,0
1498600943,1,2
1498604550,3,0
1498608143,2,0
1498611804,0,1
1498615403,2,1
1498619002,3,0
1498622603,0,4
1498629804,1,4
1498633344,3,2
1498636943,1,0
1498640543,0,3
1498644202,1,0
1498647803,0,4
1498654944,1,5
1498658543,0,1
1498662253,1,1
1498665804,1,0
1498669403,2,7
1498672945,2,0
1498676543,1,6
1498683753,2,1
1498687404,1,2
1498690958,1,0
1498694604,2,3
1498698203,0,1
1498705410,3,3
1498709005,1,3
1498716205,0,7
1498719803,2,0
1498726945,0,2
1498730605,3,2
1498734144,0,1
1498737805,2,0
1498739011,1,3
1498745011,1,0
1498748611,2,2
1498749057,0,1
1498752212,1,0
1498755811,0,5
1498763013,1,0
1498770152,1,4
1498773753,1,0
1498777412,2,1
1498781012,1,1
1498784552,0,3
1498788212,1,0
1498791812,3,1
1498795352,1,5
1498798952,1,0
1498802612,1,6
1498806152,1,0
1498816953,1,4
1498820613,1,0
1498824153,2,13
1498827813,1,2
1498831413,2,0
1498838554,1,2
1498842154,2,0
1498845753,3,2
1498849354,1,4
1498852954,0,3
1498856614,3,0
1498860153,2,0
1498863813,1,3
1498870954,0,1
1498874613,3,1
1498878153,4,2
1498881813,0,5
1498885354,0,3
1498889015,1,8
1498892554,3,0
1498896213,1,1
1498899754,0,2
1498903354,3,2
1498906955,1,0
1498910554,2,1
1498914154,1,0
1498917754,1,4
1498921354,1,0
1498925014,1,1
1498928614,3,2
1498932154,0,3
1498935754,2,0
1498939054,1,1
1498939354,0,3
1498942955,2,0
1498946554,1,1
1498950214,1,9
1498953814,0,1
1498957354,1,2
1498961015,2,0
1498964555,4,3
1498971754,1,4
1498975354,0,4
1498978954,3,2
1498982556,0,2
1498989826,1,0
1498993355,3,1
1498997015,2,0
1499000555,1,1
1499004156,1,2
1499011355,1,2
1499014955,0,1
1499018555,0,5
1499022155,0,2
1499025817,1,0
1499029355,1,0
1499032955,4,7
1499040216,2,2
1499047355,1,0
1499050955,7,1
1499054615,7,1
1499058155,1,3
1499061755,0,5
1499065356,1,1
1499069015,0,3
1499072624,2,0
1499076155,0,3
1499079859,2,3
1499083356,4,1
1499086957,2,0
1499090615,1,1
1499097757,2,0
1499101416,1,4
1499104957,1,0
1499108617,2,1
1499112156,1,2
1499115763,1,0
1499119418,0,3
1499122957,4,0
1499126556,2,4
1499133818,2,2
1499137357,3,4
1499144556,1,0
1499148157,1,2
1499151759,2,2
1499155357,0,2
1499159018,1,0
1499166217,1,1
1499169757,0,1
1499173418,1,0
1499180617,5,2
1499184217,2,0
1499187818,2,2
1499195018,4,2
1499202160,2,3
1499205819,3,0
1499209358,0,2
1499212958,0,2
1499216558,1,2
1499220218,0,3
1499223818,3,4
1499227358,2,0
1499234559,6,2
1499238219,5,2
1499245359,2,1
1499248959,0,1
1499252559,1,0
1499256159,2,2
1499259849,1,1
1499263388,2,0
1499266930,1,1
1499270590,3,2
1499274190,4,0
1499277790,2,2
1499281390,1,2
1499284930,3,0
1499288590,0,1
1499292190,1,5
1499295790,1,3
1499299390,0,1
1499306590,1,2
1499310190,1,0
1499313790,3,2
1499317390,0,4
1499320990,0,2
1499324531,1,1
1499328191,0,1
1499331731,1,4
1499335331,0,2
1499338991,2,0
1499342591,2,0
1499346191,1,0
1499349731,1,0
1499353331,3,2
1499356991,1,0
1499360591,4,4
1499364131,6,0
1499367791,1,2
1499371391,2,4
1499374991,1,3
1499378531,3,2
1499382191,1,1
1499385791,2,2
1499392931,0,2
1499396592,2,0
1499400192,0,1
1499403792,0,6
1499407392,1,0
1499410932,1,2
1499414592,1,0
1499418132,2,0
1499421792,1,0
1499425392,2,1
1499428932,1,0
1499436192,4,3
1499439798,1,0
1499443398,1,2
1499446998,2,0
1499450598,3,2
1499454198,0,1
1499457798,1,0
1499461398,1,2
1499464939,1,0
1499468599,1,4
1499475799,0,3
1499479339,1,1
1499482999,1,2
1499486539,0,1
1499493739,1,3
1499497399,3,0
1499500999,3,0
1499504600,1,2
1499511739,0,2
1499515339,0,2
1499519000,2,2
1499522539,2,0
1499526200,0,3
1499529801,3,2
1499533340,1,0
1499537001,3,1
1499540661,2,4
1499544141,2,0
1499547740,0,1
1499551401,3,2
1499555000,1,1
1499558600,5,21
1499562200,1,0
1499565801,0,1
1499569341,2,5
1499572941,1,8
1499576602,1,0
1499580141,0,4
1499583800,1,2
1499587402,1,6
1499594602,0,1
1499598141,1,2
1499601802,1,3
1499605341,1,2
1499608942,0,5
1499616142,1,0
1499619801,0,4
1499623401,1,0
1499627002,2,1
1499630601,1,0
1499634202,0,1
1499637802,2,0
1499641341,2,2
1499645002,2,1
1499648602,0,2
1499655742,1,3
1499659342,4,3
1499663001,0,2
1499670202,2,3
1499673802,0,2
1499677402,2,2
1499684542,2,1
1499691743,3,3
1499695404,1,0
1499699003,2,0
1499702543,3,5
1499706202,1,0
1499709743,1,0
1499720604,1,1
1499724202,5,6
1499727742,3,1
1499731342,2,0
1499735004,1,1
1499738543,1,1
1499742204,2,0
1499745803,0,2
1499753003,0,1
1499756544,0,3
1499760204,2,1
1499764369,3,2
1499767403,0,1
1499770946,0,1
1499774603,2,0
