DateTime,Entries,UniqueIPs
1498410195,2026,2109
1498417334,2026,2109
1498420936,2024,2107
1498424595,2025,2108
1498428195,2024,2107
1498431795,2023,2106
1498435394,2023,2106
1498438995,2020,2103
1498442534,2021,2104
1498446195,2024,2107
1498449796,2021,2104
1498453336,2020,2103
1498457017,2019,2102
1498460535,2020,2103
1498467795,2017,2100
1498471335,2018,2101
1498474995,2017,2100
1498477943,2021,2104
1498482200,2022,2105
1498485800,2018,2101
1498489400,2022,2105
1498496601,2022,2105
1498500201,2022,2105
1498503800,2023,2106
1498507400,2024,2107
1498511000,2024,2107
1498514540,2025,2108
1498518140,2026,2109
1498521800,2027,2110
1498529000,2025,2108
1498532600,2028,2111
1498536200,2027,2110
1498543400,2023,2106
1498546941,2026,2109
1498550541,2023,2106
1498554201,2024,2107
1498557801,2025,2108
1498561401,2027,2110
1498564941,2031,2114
1498568601,2030,2113
1498572201,2032,2115
1498575801,2029,2112
1498579401,2033,2116
1498583001,2036,2119
1498586601,2037,2120
1498589781,2038,2121
1498590201,2035,2118
1498593742,2036,2119
1498597341,2040,2123
1498600943,2039,2122
1498604550,2042,2125
1498608143,2044,2127
1498611804,2043,2126
1498615403,2043,2127
1498619002,2046,2130
1498622603,2043,2126
1498629804,2040,2123
1498633344,2041,2124
1498636943,2042,2125
1498640543,2039,2122
1498644202,2040,2123
1498647803,2036,2119
1498654944,2032,2115
1498658543,2031,2114
1498662253,2031,2114
1498665804,2032,2115
1498669403,2027,2110
1498672945,2029,2112
1498676543,2024,2107
1498683753,2025,2108
1498687404,2024,2107
1498690958,2025,2108
1498694604,2024,2107
1498698203,2025,2106
1498705410,2024,2106
1498709005,2022,2104
1498716205,2015,2097
1498719803,2017,2099
1498726945,2015,2097
1498730605,2016,2098
1498734144,2015,2097
1498737805,2017,2099
1498739011,2015,2097
1498745011,2016,2098
1498748611,2016,2098
1498749057,2015,2097
1498752212,2016,2098
1498755811,2011,2093
1498763013,2012,2094
1498770152,2009,2091
1498773753,2010,2092
1498777412,2011,2093
1498781012,2011,2093
1498784552,2008,2090
1498788212,2009,2091
1498791812,2011,2093
1498795352,2007,2089
1498798952,2008,2090
1498802612,2003,2085
1498806152,2004,2086
1498816953,2001,2083
1498820613,2002,2084
1498824153,1999,2073
1498827813,2000,2072
1498831413,2002,2074
1498838554,2001,2073
1498842154,2003,2075
1498845753,2004,2076
