DateTime,Entries,UniqueIPs
1498546941,928,928
1498550541,930,930
1498554201,932,932
1498557801,933,933
1498561401,934,934
1498564941,929,929
1498568601,930,930
1498572201,929,929
1498575801,931,931
1498579401,933,933
1498583001,934,934
1498586601,935,935
1498589781,935,935
1498590201,934,934
1498593742,933,933
1498597341,935,935
1498600943,934,934
1498604550,933,933
1498608143,934,934
1498611804,933,933
1498615403,934,934
1498619002,935,935
1498622603,930,930
1498626144,929,929
1498629804,926,926
1498633344,924,924
1498636943,923,923
1498640543,924,924
1498644202,924,924
1498647803,924,924
1498651403,924,924
1498654944,924,924
1498658543,923,923
1498662253,921,921
1498665804,920,920
1498669403,922,922
1498672945,925,925
1498676543,924,924
1498680203,923,923
1498683753,924,924
1498687404,926,926
1498690958,926,926
1498694604,925,925
1498701811,920,920
1498705410,918,918
1498709005,914,914
1498712543,914,914
1498716205,913,913
1498719803,911,911
1498723349,910,910
1498726945,911,911
1498730605,910,910
1498734144,910,910
1498737805,909,909
1498739011,911,911
1498741411,917,917
1498745011,921,921
1498748611,927,927
1498752212,926,926
1498755811,926,926
1498759411,923,923
1498763013,923,923
1498770152,923,923
1498773753,921,921
1498777412,916,916
1498781012,917,917
1498784552,916,916
1498788212,916,916
1498791812,917,917
1498795352,919,919
1498798952,920,920
1498802612,921,921
1498806152,922,922
1498809812,921,921
1498813412,920,920
1498816953,921,921
1498820613,922,922
1498824153,922,922
1498827813,922,922
1498831413,923,923
1498835013,922,922
1498838554,923,923
1498842154,925,925
1498845753,930,930
1498849354,929,929
1498852954,926,926
1498856614,929,929
1498860153,928,928
1498863813,926,926
1498867353,932,932
1498870954,932,932
1498874613,943,943
1498878153,944,944
1498881813,941,941
1498889015,943,943
1498892554,943,943
1498896213,944,944
1498899754,945,945
1498903354,944,944
1498906955,946,946
1498910554,948,948
1498914154,949,949
1498917754,950,950
1498921354,952,952
1498925014,953,953
1498928614,951,951
1498932154,950,950
1498935754,953,953
1498939054,952,952
1498939354,950,950
1498942955,951,951
1498946554,949,949
1498950214,949,949
1498953814,949,949
1498957354,948,948
1498961015,949,949
1498964555,949,949
1498971754,947,947
1498978954,946,946
1498982556,948,948
1498986219,946,946
1498989826,944,944
1498993355,945,945
1498997015,944,944
1499000555,945,945
1499004156,944,944
1499007756,943,943
