DateTime,AddedIPs,RemovedIPs
1498199596,112,212
1498203393,97,109
1498207223,60,62
1498211067,121,77
1498215197,122,172
1498219041,200,212
1498222965,183,201
1498226676,234,183
1498230558,113,110
1498234366,48,40
1498238223,146,105
1498242041,52,76
1498245900,86,109
1498249765,190,222
1498253580,199,202
1498257422,90,74
1498261225,93,59
1498265067,51,43
1498268953,80,81
1498272741,49,70
1498276600,52,61
1498280538,94,58
1498284532,98,88
1498288647,101,123
1498292492,163,255
1498296505,123,57
1498300378,59,30
1498304201,112,83
1498308052,106,80
1498311860,36,51
1498315712,155,175
1498319589,188,276
1498323400,188,190
1498327267,194,188
1498330950,204,194
1498334933,195,203
1498339051,231,195
1498342875,201,232
1498346732,201,200
1498350502,131,141
1498354386,66,40
1498358207,110,75
1498362077,87,85
1498365882,97,87
1498369745,58,81
1498373542,37,34
1498377411,82,63
1498381343,51,38
1498385089,121,104
1498388936,80,102
1498392791,62,65
1498396611,56,35
1498400473,25,15
1498404264,75,68
1498408122,73,44
1498411990,60,36
1498423479,151,79
1498427401,52,77
1498431172,91,96
1498435009,21,40
1498438911,27,48
1498442681,22,32
1498446534,9,14
1498450358,18,23
1498458044,23,72
1498461871,14,37
1498465712,35,38
1498469587,38,26
1498473400,36,11
1498477226,29,13
1498481063,32,17
1498484935,53,47
1498488751,27,7
1498492582,36,75
1498496509,33,10
1498501846,36,24
1498506683,132,65
1498510367,59,58
1498514525,27,44
1498518299,8,17
1498522138,6,39
1498525961,14,13
1498529833,49,60
1498533638,85,62
1498537463,26,8
1498541314,13,64
1498545176,23,25
1498548999,95,163
1498552822,70,130
1498556660,102,125
1498560464,118,66
1498564360,88,86
1498568202,216,238
1498572143,141,182
1498575885,170,184
1498579728,224,169
1498583554,182,224
1498587242,175,175
1498591032,197,183
1498594853,245,195
1498598688,204,238
1498602519,213,213
1498606379,196,212
1498610097,198,197
1498613796,195,198
1498617624,107,83
1498621490,171,175
1498625309,219,214
1498629165,228,220
1498632979,231,228
1498636976,234,231
1498640926,225,234
1498644794,228,223
1498648605,211,230
1498652463,261,211
1498656277,206,260
1498660131,94,117
1498663971,151,98
1498667816,73,48
1498671674,95,168
1498675475,200,116
1498679353,172,235
1498683198,102,106
1498687345,171,130
1498691089,227,246
1498694932,219,228
1498698798,91,97
1498702873,128,147
1498706673,110,99
1498710792,210,203
1498714606,228,212
1498718472,218,228
1498722277,212,155
1498726152,85,117
1498729939,262,225
1498733813,184,255
1498737906,171,117
1498741735,66,88
1498745565,84,88
1498749411,115,83
1498753234,228,269
1498757084,216,143
1498761188,84,134
1498765035,221,251
1498768836,245,221
1498772684,235,244
1498776805,229,236
1498780636,240,229
1498784594,221,240
1498788535,253,221
1498792388,220,253
1498796232,226,220
1498800049,207,147
1498804127,229,207
1498807995,216,249
1498811813,159,125
1498815628,213,220
1498819483,216,144
1498823577,34,24
1498827789,74,57
1498831491,17,9
1498835323,42,105
1498842999,164,135
1498846877,44,2
1498850669,114,99
1498854537,55,58
1498858375,40,63
1498862199,14,20
1498866049,33,38
1498869897,11,44
1498873730,11,36
1498881400,73,73
1498885309,47,36
1498889325,40,60
1498893178,41,25
1498897264,73,34
1498901087,31,22
1498904926,39,75
1498908770,17,2
1498912581,20,86
1498916435,22,4
1498920281,58,89
1498924130,42,4
1498927971,61,51
1498931803,64,34
1498935684,68,31
1498939742,18,5
1498943568,13,31
1498947625,29,42
1498951473,39,48
1498955338,26,54
1498959266,39,57
1498963008,40,40
1498966859,41,47
1498970675,46,24
1498989884,100,141
1498993743,58,73
1498997820,54,22
1499009325,129,115
1499017238,127,101
1499021095,105,122
1499025174,105,180
1499029025,37,58
1499032913,48,60
1499036717,58,47
1499040522,101,64
1499044382,93,64
1499048203,83,97
1499052163,260,269
1499055868,138,88
1499059739,215,266
1499063555,360,294
1499067401,243,316
1499071248,258,173
1499075074,314,359
1499079178,326,326
1499087355,326,327
1499091177,220,217
1499095003,109,69
1499098853,49,46
1499102934,269,360
1499106766,346,281
1499110617,321,332
1499114459,325,325
1499118294,298,308
1499122140,337,324
1499125973,343,338
1499129836,127,169
1499133749,115,80
1499137492,56,34
1499141320,44,28
1499145158,101,121
1499149279,63,69
1499153069,57,54
1499156931,29,44
1499160774,83,83
1499164621,73,81
1499168452,91,82
1499172273,94,62
1499176374,340,337
1499180197,244,311
1499184145,110,66
1499187884,129,80
1499191726,68,74
1499195567,93,115
1499199408,314,337
1499203269,311,321
1499207125,218,247
1499210929,94,70
1499214785,72,45
1499218599,202,170
1499222476,259,326
