DateTime,AddedIPs,RemovedIPs
1498183989,163,160
1498187801,105,102
1498191681,209,166
1498195724,210,209
1498199599,213,210
1498203396,190,213
1498207225,184,190
1498211069,182,184
1498215201,174,182
1498219044,200,174
1498222970,188,200
1498226680,203,188
1498230563,218,203
1498234370,182,218
1498238227,170,182
1498242045,192,170
1498245907,186,192
1498249771,220,186
1498253590,212,220
1498257425,218,212
1498261230,237,218
1498265069,197,237
1498268956,206,197
1498272745,222,206
1498276606,231,222
1498280548,226,231
1498284536,253,225
1498288651,182,254
1498292494,178,182
1498296509,167,178
1498300382,244,167
1498304204,238,244
1498308054,205,238
1498311863,192,205
1498315717,177,192
1498319593,181,177
1498323406,184,181
1498327270,275,184
1498330955,269,275
1498334938,293,269
1498339054,290,293
1498342879,204,290
1498346735,198,204
1498350506,237,198
1498354390,253,237
1498358211,299,253
1498362082,277,299
1498365885,230,277
1498369748,212,230
1498373546,220,212
1498377415,208,220
1498381348,258,208
1498385095,253,258
1498388940,217,252
1498392795,206,218
1498396614,99,101
1498400476,3,1
1498404267,35,9
1498408129,159,44
1498411992,167,66
1498423482,8,14
1498427405,113,123
1498431176,114,115
1498435012,50,51
1498438916,2,4
1498442683,4,10
1498446537,2,2
1498450361,0,3
1498458046,8,16
1498461873,1,4
1498465715,16,21
1498469590,45,40
1498473403,33,31
1498477230,29,33
1498481066,56,55
1498484937,46,39
1498488754,39,47
1498492585,2,3
1498496512,0,1
1498501849,10,12
1498506686,167,137
1498510369,113,111
1498514528,9,10
1498518302,4,7
1498522141,2,2
1498525963,70,64
1498529836,158,150
1498533642,166,164
1498537465,43,45
1498541316,10,13
1498545180,3,4
1498549004,181,438
1498552825,160,183
1498556663,194,160
1498560468,201,194
1498564364,195,201
1498568208,197,194
1498572146,183,198
1498575889,164,183
1498579733,169,164
1498583558,174,169
1498587246,232,174
1498591038,220,232
1498594869,247,220
1498598700,224,243
1498602525,217,228
1498606383,186,217
1498610101,190,186
1498613802,184,190
1498617628,191,184
1498621495,179,191
1498625313,269,176
1498629170,284,272
1498632983,311,284
1498636980,282,311
1498640930,242,282
1498644799,202,242
1498648608,207,202
1498652467,203,207
1498656281,204,203
1498660138,203,204
1498663977,113,149
1498667821,219,167
1498671682,285,219
1498675480,284,285
1498679362,295,284
1498683202,273,294
1498687349,302,273
1498691093,258,303
1498694936,289,258
1498698803,215,289
1498702877,220,215
1498706677,200,220
1498710796,205,200
1498714611,203,205
1498718475,270,203
1498722280,286,270
1498726156,284,285
1498729945,266,285
1498733823,272,263
1498737910,205,275
1498741738,212,205
1498745568,234,212
1498749414,205,234
1498753239,221,205
1498757089,284,221
1498761191,292,284
1498765042,298,292
1498768842,308,298
1498772688,311,308
1498776808,218,311
1498780640,219,218
1498784600,218,219
1498788540,218,218
1498792391,219,218
1498796237,221,219
1498800054,278,220
1498804137,284,279
1498807999,298,284
1498811818,294,298
1498815634,299,294
1498819486,228,231
1498823581,4,3
1498827792,7,5
1498831494,1,1
1498835326,4,2
1498843003,95,36
1498846880,56,22
1498850673,67,36
1498854540,71,73
1498858377,70,76
1498862202,3,7
1498866051,3,5
1498869901,1,2
1498873733,2,6
1498881406,218,192
1498885313,293,277
1498889328,326,324
1498893181,328,329
1498897267,363,363
1498901090,16,16
1498904931,10,12
1498908772,4,7
1498912583,1,1
1498916439,20,21
1498920285,86,89
1498924135,82,85
1498927975,90,95
1498931807,59,66
1498935687,6,7
1498939745,1,3
1498943571,3,3
1498947630,4,6
1498951476,7,10
1498955346,7,14
1498959269,27,23
1498963011,63,56
1498966863,58,56
1498970679,69,69
1498989888,76,72
1498993747,70,76
1498997823,86,85
1499009327,77,88
1499017244,226,324
1499021101,241,309
1499025179,164,243
1499029033,114,99
1499032922,227,181
1499036723,282,227
1499040528,221,273
1499044387,194,189
1499048208,151,200
1499052166,247,150
1499055872,281,249
1499059742,257,263
1499063558,290,286
1499067404,297,297
1499071252,298,276
1499075078,314,324
1499079182,345,325
1499087359,342,345
1499091182,302,300
1499095006,258,299
1499098857,131,116
1499102937,297,307
1499106772,296,284
1499110621,294,294
1499114463,291,294
1499118297,283,283
1499122144,401,317
1499125978,408,401
1499129840,401,408
1499133754,394,399
1499137496,429,392
1499141324,428,426
1499145161,437,433
1499149283,305,380
1499153074,291,341
1499156936,185,178
1499160777,246,287
1499164625,180,159
1499168456,178,200
1499172278,256,170
1499176377,398,365
1499180203,382,398
1499184163,392,357
1499187887,273,353
1499191729,240,268
1499195570,231,226
1499199412,285,266
1499203273,304,302
1499207135,226,256
1499210935,399,305
1499214789,451,399
1499218603,390,425
1499222487,390,416
1499226235,367,368
1499230148,261,300
1499233968,389,349
1499237839,388,390
1499241689,188,258
1499245757,209,239
1499249569,218,196
1499253418,255,215
1499257279,309,290
1499261078,358,344
1499264977,389,383
1499269097,279,256
1499272850,352,389
1499277079,411,374
1499280801,292,360
1499284639,295,304
1499288535,305,305
1499292308,293,291
1499296160,297,297
1499299989,255,271
1499304079,240,247
1499307995,206,218
1499311752,427,301
1499315568,375,397
1499319696,403,405
1499323495,409,362
1499327357,42,44
1499335279,10,11
1499338950,13,14
1499342960,91,94
1499346778,77,80
1499350881,95,101
1499354683,1,1
1499370073,77,118
1499373889,71,61
1499377735,73,68
1499381588,19,14
1499385733,1,2
1499412780,1,4
1499416627,2,4
1499424285,3,3
1499439697,25,397
1499447297,93,0
1499451152,19,0
1499455013,26,0
1499458861,25,0
1499462674,40,0
1499466534,29,0
1499470633,43,0
1499474456,46,0
1499478273,27,0
1499489813,18,0
1499497480,31,6
1499501330,52,56
1499505179,72,71
1499508987,65,70
1499516663,23,22
1499520530,1,1
1499524378,2,4
1499528199,11,9
1499532035,40,55
1499535886,50,50
1499539727,54,52
1499543549,69,55
1499547383,2,2
1499555081,2,1
1499558952,1,1
1499562761,130,341
1499566599,145,209
1499570456,151,147
1499574267,134,151
1499578136,80,91
1499581980,128,123
1499585856,135,128
1499589652,123,135
1499593472,140,123
1499597339,148,140
1499601175,161,148
1499605009,160,161
1499608909,149,160
1499612695,143,149
1499616548,128,143
1499620449,128,128
1499624192,123,128
1499628060,150,123
1499631875,162,150
1499635721,177,162
1499639577,168,177
1499643401,123,168
1499647224,130,123
1499651068,123,130
1499654906,127,123
1499658774,141,124
1499662598,160,123
1499666496,162,181
1499670281,129,162
1499674120,130,129
1499677962,129,130
1499681790,126,129
1499685635,155,126
1499689465,152,155
1499693325,153,152
1499697175,130,153
1499701002,131,130
1499704767,129,131
1499708467,125,129
1499712290,157,125
1499716142,164,145
1499719968,114,73
1499723809,169,217
1499727781,129,169
1499731480,128,129
1499735335,130,128
1499739424,128,130
1499743269,101,108
1499747083,156,121
