DateTime,Entries,UniqueIPs
1497421719,7,7
1497425554,10,10
1497429400,13,13
1497433239,15,15
1497437070,22,22
1497440919,25,25
1497444765,29,29
1497448584,31,31
1497452548,32,32
1497456276,38,38
1497460146,42,42
1497479308,47,47
1497494658,51,51
1497498502,54,54
1497506185,57,57
1497510068,60,60
1497513891,61,61
1497517708,62,62
1497521564,66,66
1497525388,69,69
1497529265,71,71
1497533072,73,73
1497536914,74,74
1497540786,76,76
1497544591,140,140
1497548383,166,166
1497552066,215,215
1497555878,245,245
1497559714,246,246
1497563588,263,263
1497567423,279,279
1497571347,290,290
1497575322,293,293
1497579165,281,281
1497583277,273,273
1497587078,265,265
1497590940,264,264
1497594790,269,269
1497598606,269,269
1497602445,267,267
1497606269,272,272
1497610111,281,281
1497613996,276,276
1497618195,277,277
1497621893,278,278
1497625730,277,277
1497629851,276,276
1497633695,276,276
1497637467,273,273
1497641298,273,273
1497645198,273,273
1497649020,274,274
1497652898,274,274
1497656688,274,274
1497660514,272,272
1497664371,274,274
1497668204,275,275
1497675915,270,270
1497679772,269,269
1497683621,268,268
1497687453,268,268
1497695107,268,268
1497706861,269,269
1497710675,266,266
1497714517,262,262
1497722579,258,258
1497726290,255,255
1497738629,250,250
1497742348,249,249
1497750065,244,244
1497761583,235,235
1497765380,232,232
1497780790,230,230
1497792504,219,219
1497796373,214,214
1497804068,203,203
1497815531,189,189
1497819395,185,185
1497827097,180,180
1497838867,170,170
1497846801,161,161
1497866000,122,122
1497873766,110,110
1497881344,109,109
1497916364,106,106
1497924167,107,107
1497927901,106,106
1497932069,104,104
1497935844,104,104
1497939697,101,101
1497943494,102,102
1497951193,104,104
1497962991,113,113
1497966808,114,114
1497974635,114,114
1497982142,114,114
1497985955,113,113
1497989839,112,112
1497997765,115,115
1498001564,113,113
1498009256,109,109
1498017180,106,106
1498020998,105,105
1498028687,103,103
1498036439,100,100
1498040513,104,104
1498044587,107,107
1498048406,2,2
1498052479,3,3
1498056276,17,17
1498060124,20,20
1498067841,23,23
1498071662,24,24
1498079341,25,25
1498083439,26,26
1498087116,31,31
1498091098,32,32
1498095208,33,33
1498099035,35,35
1498102833,38,38
1498106663,39,39
1498110539,42,42
1498114370,44,44
1498118228,45,45
1498122137,46,46
1498126124,49,49
1498129983,50,50
1498134106,52,52
1498145839,54,54
1498153677,57,57
1498157354,58,58
1498161154,60,60
1498183992,62,62
1498187803,63,63
1498195727,64,64
1498199601,68,68
1498203399,69,69
1498211071,73,73
1498215203,75,75
1498222974,76,76
1498226684,80,80
1498230565,82,82
1498253598,83,83
1498257429,84,84
1498261235,85,85
1498265072,87,87
1498268958,89,89
1498272749,91,91
1498280558,92,92
1498284540,93,93
1498288655,94,94
1498296512,95,95
1498300385,118,118
1498304209,146,146
1498308058,147,147
1498315723,148,148
1498323411,149,149
1498327274,150,150
1498330959,152,152
1498334943,153,153
1498342883,152,152
1498346739,150,150
1498350511,148,148
1498354394,147,147
1498358216,146,146
1498362088,147,147
1498365888,146,146
1498369753,145,145
1498373550,145,145
1498385100,145,145
1498388945,145,145
1498400479,149,149
1498404270,144,144
1498408134,146,146
1498411996,148,148
1498423486,149,149
1498427409,152,152
1498431178,152,152
1498442687,151,151
1498458049,152,152
1498461876,152,152
1498465720,153,153
1498469593,154,154
1498473406,155,155
1498481068,156,156
1498484940,157,157
1498492588,157,157
1498496515,157,157
1498501852,157,157
1498506689,157,157
1498510372,157,157
1498514531,159,159
1498518305,160,160
1498522144,158,158
1498525967,158,158
1498529839,160,160
1498533645,160,160
1498537468,160,160
1498541319,156,156
1498549013,152,152
1498556669,150,150
1498560472,135,135
1498564369,131,131
1498568213,122,122
1498575894,120,120
1498579737,121,121
1498594880,123,123
1498606388,123,123
1498610105,124,124
1498613808,125,125
1498621501,130,130
1498625319,131,131
1498632988,132,132
1498644803,134,134
1498652472,135,135
1498656285,135,135
1498663981,137,137
1498667826,138,138
1498675485,139,139
1498679373,141,141
1498691097,142,142
1498698809,141,141
1498702885,139,139
1498706681,140,140
1498714616,141,141
1498718480,143,143
1498722285,142,142
1498726161,140,140
1498729953,138,138
1498733834,140,140
1498737914,143,143
1498741743,145,145
1498745573,144,144
1498749419,145,145
1498753244,146,146
1498757096,147,147
1498761195,147,147
1498765047,145,145
1498768847,143,143
1498772693,144,144
1498776813,145,145
1498780645,145,145
1498788545,145,145
1498792395,145,145
1498804149,141,141
1498808005,142,142
1498815640,144,144
1498819490,147,147
1498823585,143,143
1498827795,159,159
1498831498,193,193
1498835330,193,193
1498843007,194,194
1498850677,194,194
1498854544,191,191
1498862205,189,189
1498866055,188,188
1498869904,188,188
1498873736,188,188
1498881414,186,186
1498889333,186,186
1498893184,184,184
1498897271,181,181
1498901094,182,182
1498904936,185,185
1498908776,183,183
1498912587,181,181
1498916446,179,179
1498920291,180,180
1498927978,179,179
1498935690,179,179
1498939750,180,180
1498943575,180,180
1498947636,180,180
1498955357,178,178
1498963015,179,179
1498966868,181,181
1498970683,182,182
1498989891,172,172
1498993751,174,174
1498997827,172,172
1499009332,173,173
1499017250,172,172
1499025184,174,174
1499029043,175,175
1499032935,176,176
1499044392,174,174
1499048213,176,176
1499052170,175,175
1499055878,176,176
1499059746,177,177
1499063563,171,171
1499067408,167,167
1499071257,159,159
1499075083,154,154
1499079187,151,151
1499087363,134,134
1499091187,126,126
1499095011,124,124
1499098861,123,123
1499102941,123,123
1499106780,124,124
1499114467,125,125
1499118303,129,129
1499122149,132,132
1499125984,134,134
1499129844,135,135
1499133758,137,137
1499141329,138,138
1499145166,140,140
1499149287,141,141
1499153078,140,140
1499156945,136,136
1499160782,138,138
1499164630,142,142
1499168462,146,146
1499172282,144,144
1499176383,141,141
1499180212,142,142
1499184185,143,143
1499187891,144,144
1499191734,144,144
1499195574,140,140
1499199416,139,139
1499203277,140,140
1499207143,137,137
1499210940,137,137
1499218611,136,136
1499222503,136,136
1499226243,140,140
1499230156,139,139
1499233974,142,142
1499237851,143,143
1499241696,145,145
1499245765,146,146
1499249576,146,146
1499253427,157,157
1499257296,159,159
1499261084,161,161
1499265002,160,160
1499269116,155,155
1499272861,156,156
1499277087,156,156
1499280810,158,158
1499284644,162,162
1499288546,162,162
1499296169,161,161
1499299994,158,158
1499304083,157,157
1499307999,154,154
1499311756,154,154
1499315574,157,157
1499319702,157,157
1499323500,158,158
1499327364,159,159
1499335283,163,163
1499338954,166,166
1499342965,165,165
1499346785,162,162
1499350885,161,161
1499354687,158,158
1499370077,162,162
1499373895,163,163
1499377741,162,162
1499381591,163,163
1499397191,162,162
1499405103,161,161
1499412787,160,160
1499416632,161,161
1499420491,160,160
1499424289,156,156
1499439699,5,5
1499447298,14,14
1499455014,15,15
1499466535,19,19
1499489814,24,24
1499497482,25,25
1499501332,26,26
1499508989,27,27
1499516665,28,28
1499520532,32,32
1499532037,34,34
1499535888,35,35
1499539729,36,36
1499543551,37,37
1499555083,38,38
1499558953,39,39
1499578139,40,40
1499581983,41,41
1499585861,42,42
1499593476,45,45
1499605011,46,46
