DateTime,AddedIPs,RemovedIPs
1498230573,11,5
1498234380,7,8
1498238239,8,11
1498242060,15,13
1498245937,10,9
1498249798,15,4
1498253623,7,2
1498257437,3,3
1498261246,3,0
1498265080,11,4
1498268966,5,5
1498272758,2,2
1498276631,2,5
1498280584,6,3
1498284550,6,5
1498288665,5,1
1498292506,1,4
1498296525,5,6
1498300394,11,9
1498304219,3,6
1498308065,11,5
1498311880,4,3
1498315734,5,11
1498319608,10,8
1498323421,5,2
1498327282,3,2
1498330967,5,2
1498334953,5,6
1498339067,5,7
1498342891,3,3
1498346746,2,2
1498350519,3,7
1498354403,6,12
1498358226,4,12
1498362101,5,5
1498365896,2,1
1498369762,7,5
1498373559,11,10
1498377426,7,10
1498381366,5,5
1498385109,10,6
1498388954,4,4
1498392809,6,3
1498396623,4,6
1498400485,2,4
1498404277,8,7
1498408145,4,2
1498412002,2,4
1498423494,24,19
1498427417,4,7
1498431185,5,8
1498435021,5,14
1498438936,3,4
1498442693,4,3
1498446546,7,8
1498450371,5,2
1498458056,9,7
1498461882,1,0
1498465730,6,3
1498469601,5,0
1498473414,7,6
1498477240,5,4
1498481076,6,3
1498484948,0,5
1498488763,3,4
1498492596,2,5
1498496521,5,4
1498501860,5,5
1498506696,8,6
1498510380,13,11
1498514538,8,4
1498518312,1,1
1498522151,1,7
1498525974,2,2
1498529846,3,1
1498533653,3,2
1498537474,3,3
1498541327,2,5
1498545194,3,2
1498549029,10,11
1498552838,6,8
1498556681,3,3
1498560482,5,6
1498564380,5,8
1498568231,8,7
1498572158,5,3
1498575903,4,4
1498579748,9,16
1498583571,5,3
1498587262,7,7
1498591062,6,5
1498594918,9,5
1498598745,6,5
1498602546,5,2
1498606403,7,7
1498610114,3,2
1498613823,5,6
1498617644,6,11
1498621517,1,5
1498625331,3,3
1498629185,5,6
1498633000,4,3
1498637006,2,6
1498640944,5,4
1498644812,8,3
1498648622,7,0
1498652482,4,3
1498656295,6,4
1498660167,4,4
1498663994,4,13
1498667835,4,5
1498671711,9,5
1498675502,7,6
1498679400,15,7
1498683220,7,4
1498687380,5,6
1498691109,4,4
1498694956,2,1
1498698824,7,7
1498702896,4,3
1498706690,3,8
1498710810,6,6
1498714625,5,5
1498718492,5,1
1498722297,5,11
1498726172,6,2
1498729971,6,5
1498733863,4,0
1498737924,5,6
1498741755,2,1
1498745585,7,4
1498749429,5,12
1498753255,3,4
1498757111,4,5
1498761207,10,7
1498765060,5,4
1498768860,12,6
1498772707,3,3
1498776823,4,2
1498780655,6,5
1498784621,7,8
1498788555,3,4
1498792407,2,1
1498796250,4,3
1498800073,9,2
1498804171,2,2
1498808020,4,3
1498811836,3,5
1498815655,7,5
1498819497,3,13
1498823592,4,4
1498827803,4,3
1498831506,4,8
1498835339,8,10
1498843015,12,5
1498846892,4,2
1498850689,11,4
1498854553,7,4
1498858389,4,5
1498862213,2,3
1498866063,4,3
1498869915,3,6
1498873743,3,2
1498881425,3,11
1498885333,4,4
1498889342,6,3
1498893195,5,4
1498897279,7,11
1498901102,4,4
1498904946,8,9
1498908785,6,14
1498912595,3,4
1498916459,3,3
1498920300,11,7
1498924161,2,7
1498927988,6,3
1498931826,4,6
1498935698,10,3
1498939758,5,5
1498943583,3,3
1498947651,5,4
1498951487,4,4
1498955377,5,4
1498959283,2,5
1498963024,1,2
1498966881,4,6
1498970693,1,4
1498989902,28,39
1498993761,6,9
1498997837,3,2
1499009342,16,14
1499017265,11,15
1499021120,14,12
1499025196,23,14
1499029065,5,3
1499032959,5,7
1499036744,6,12
1499040549,4,10
1499044404,5,15
1499048223,3,7
1499052180,2,9
1499055895,5,1
1499059757,6,4
1499063572,2,6
1499067421,0,3
1499071273,7,7
1499075093,5,5
1499079196,11,3
1499087376,14,10
1499091200,6,11
1499095020,8,7
