DateTime,AddedIPs,RemovedIPs
1493364053,1,0
1493387164,1,0
1493390967,1,0
1493402221,1,0
1493433441,1,0
1493495597,1,0
1493518851,2,0
1493545954,1,0
1493553744,2,0
1493561334,1,0
1493565630,1,0
1493573605,1,0
1493585082,2,0
1493596604,1,0
1493600504,1,0
1493612237,1,0
1493619889,1,0
1493650601,1,0
1493654531,1,0
1493658541,1,0
1493662382,1,0
1493666205,1,0
1493670073,4,0
1493693090,1,0
1493704615,1,0
1493746861,1,0
1493762201,1,0
1493773753,1,0
1493785278,2,0
1493789071,1,0
1493827869,3,0
1493835581,1,0
1493839317,2,0
1493847027,5,0
1493854840,1,0
1494168780,5,0
1494172570,1,0
1494176518,1,0
1494187969,1,0
1494203568,1,0
1494215095,1,0
1494234631,1,0
1494253729,3,0
1494257624,1,0
1494269096,1,0
1494272922,1,0
1494276787,1,0
1494280609,1,0
1494288297,1,0
1494296040,2,0
1494299812,1,0
1494303661,1,0
1494319021,1,0
1494330528,2,0
1494334379,2,0
1494353809,1,0
1494357657,1,0
1494361480,1,0
1494365330,1,0
1494396127,1,0
1494407575,1,0
1494415243,1,0
1494419075,2,0
1494434348,3,0
1494441886,1,0
1494457308,1,0
1494465182,1,0
1494480547,1,0
1494484385,1,0
1494492050,1,0
1494495876,1,0
1494503581,1,0
1494507402,3,0
1494515084,1,0
1494522775,3,0
1494526598,1,0
1494530481,2,0
1494549878,2,0
1494553715,2,0
1494557573,2,0
1494561423,2,0
1494572933,1,0
1494584452,1,0
1494595972,2,0
1494599805,1,0
1494603633,1,0
1494611343,1,0
1494622908,1,0
1494626932,2,0
1494634625,1,0
1494678384,2,0
1494689816,2,0
1494697477,2,0
1494701322,1,0
1494716706,1,0
1494720568,3,0
1494789891,3,0
1494839824,2,0
1494866902,1,0
1494870796,1,0
1494920992,3,1
1494963480,9,6
1494990429,1,3
1494994215,1,1
1495009586,0,1
1495067557,0,1
1495079125,1,1
1495094550,1,1
1495098292,1,0
1495109816,0,1
1495259138,1,0
1495313396,2,0
1495328727,0,1
1495344077,0,2
1495390157,1,0
1495397871,1,1
1495420392,0,1
1495431881,2,0
1495435729,1,1
1495451091,0,2
1495470293,0,1
1495481796,4,1
1495485642,0,1
1495489493,0,1
1495527904,1,0
1495535581,0,1
1495547091,2,269
1495554760,2,0
1495558600,1,0
1495562539,1,0
1495566292,1,0
1495570137,1,0
1495573979,1,0
1495585461,1,0
1495612353,2,0
1495646978,1,0
1495650861,1,0
1495658469,3,0
1495696977,1,0
1495700707,2,0
1495704543,1,0
1495727831,1,0
1495731759,1,0
1495743405,1,0
1495747234,1,0
1495754949,1,0
1495762601,1,0
